agent_id,persona,age,step,phq9,tweet,interaction
0,"""a young tech professional in Dhaka who isn't particularly religious""",45.0,0,14,"Just spent three hours debugging a server crash caused by a typo nobody else noticed. @user_325 is right, nobody actually wants to hear how I am, they just want the code to work.",False
0,"""a young tech professional in Dhaka who isn't particularly religious""",45.0,1,14,"@user_533 The pigeon is just waiting for the tourists to leave so it can actually eat. Humans project meaning onto everything, but really we're just annoyed by the noise. @user_282's shirts probably smell like stale coffee and bad decisions",False
0,"""a young tech professional in Dhaka who isn't particularly religious""",45.0,2,14,"@user_734's smoothies look like a lie. My ""win"" was just not getting yelled at in the standup meeting. Meanwhile @user_760, that B is better than the constant low-grade panic of actually trying to keep up. Just tired of pretending I care.",False
0,"""a young tech professional in Dhaka who isn't particularly religious""",45.0,3,14,"@user_572 Stop pretending you're too tired to reply, you just hate the gear talk. @user_95 is right, the rain doesn't care about your notifications, unlike my boss who thinks a ping means I'm available at 2 AM.",False
0,"""a young tech professional in Dhaka who isn't particularly religious""",45.0,4,14,"@user_415 The fulfillment center is just another server farm for things nobody actually needs. @user_445, save the lecture, the ocean doesn't care about your guilt trip anyway. Just staring at the ceiling now.",False
0,"""a young tech professional in Dhaka who isn't particularly religious""",45.0,5,14,@user_551 Your monitor tracking your inactivity is the only thing being honest today. I've been staring at a blank terminal for an hour just waiting for the battery to die so I have an excuse to stop.,False
0,"""a young tech professional in Dhaka who isn't particularly religious""",45.0,6,14,"@user_98 calling fake polls ""armor"" is cute until you realize the data is just garbage anyway. @user_253 is right, editing famine articles feels like polishing bullets, but at least I don't have to attend a meeting to do it. Just going to i",False
0,"""a young tech professional in Dhaka who isn't particularly religious""",45.0,7,14,@user_172 finding old names in a yearbook is just realizing people forgot you exist too. Meanwhile my keyboard is still the only thing that expects me to show up today.,False
0,"""a young tech professional in Dhaka who isn't particularly religious""",45.0,8,14,"@user_518 buying a church annex with debt is just another way to buy a quiet room to hide in. @user_110 is right, asking ""what's wrong"" is useless when the whole thing is broken. I'm just glad my server doesn't pretend to be holy.",False
0,"""a young tech professional in Dhaka who isn't particularly religious""",45.0,9,14,"@user_392 calling it survival is a stretch, it's just sitting there waiting for the next alert. I'd rather the analytics be ugly than have to pretend I care about them at 3 AM.",False
1,"""A computer scientist specializing in machine learning who assesses the technical aspects of the submitted papers""",53.0,0,16,"@user_739 you're right, why bother if it all washes away anyway. I spent three hours debugging a script that's just going to get deleted tomorrow. Might as well let the code rot.",False
