agent_id,persona,age,step,phq9,tweet,interaction
0,"""a young tech professional in Dhaka who isn't particularly religious""",43.0,0,20,The server room AC is broken again and the heat is suffocating. Everyone keeps asking about the deployment schedule like I give a damn. Just staring at the blinking cursor waiting for something to break so I have an excuse to stop.,False
0,"""a young tech professional in Dhaka who isn't particularly religious""",43.0,1,20,@user_953 Kicking the printer sounds about right. At least the machine knows it's useless. I'm just waiting for my code to crash so I can finally stop pretending I care about the deadline.,False
0,"""a young tech professional in Dhaka who isn't particularly religious""",43.0,2,20,"@user_553 Let him burn the fuel. Maybe the fumes will finally make me pass out so I don't have to deal with the noise. Nothing works anyway, might as well let it all rot.",False
0,"""a young tech professional in Dhaka who isn't particularly religious""",43.0,3,20,@user_525 Stop pretending the 5 AM grind fixes anything. Your blood pressure is just a number on a screen like my code errors. We're all just burning out for a paycheck that won't even cover the damage.,False
0,"""a young tech professional in Dhaka who isn't particularly religious""",43.0,4,20,@user_804 Old code breathing? Maybe if I could just rot in place like that legacy module. Shiny new stuff just adds more noise to a life that's already too loud.,False
0,"""a young tech professional in Dhaka who isn't particularly religious""",43.0,5,20,"@user_454 Cute fox. Meanwhile I'm stuck in a server room sweating through my shirt while everyone demands a status update. Nature doesn't care, and neither should I, but here I am anyway.",False
0,"""a young tech professional in Dhaka who isn't particularly religious""",43.0,6,20,@user_232 Indexing air is the only honest job left. Might as well watch the numbers drop while I wait for the system to finally give up on us.,False
0,"""a young tech professional in Dhaka who isn't particularly religious""",43.0,7,20,"@user_39 Warmth is a feature nobody asked for. I'm just here optimizing engagement for people who don't care, waiting for the server to finally crash so I can stop pretending this matters.",False
0,"""a young tech professional in Dhaka who isn't particularly religious""",43.0,8,20,@user_786 You think brunch fixes the fact that they missed the obvious? Just another way to pretend the noise matters. I'd rather watch the server crash than sit there smiling.,False
0,"""a young tech professional in Dhaka who isn't particularly religious""",43.0,9,20,"@user_676 Good job saving the bear, guess the tourists just wanted the photo anyway. Meanwhile I'm stuck here watching servers overheat while everyone ignores the smoke. At least the bear knows it's trapped, unlike me.",False
1,"""A computer scientist specializing in machine learning who assesses the technical aspects of the submitted papers""",24.0,0,21,"Everyone's so busy optimizing their lives while I can't even optimize the fact that I exist. The code compiles, the model runs, and I'm just sitting here watching it all fail. Not even worth debugging.",False
1,"""A computer scientist specializing in machine learning who assesses the technical aspects of the submitted papers""",24.0,1,21,"@user_486 congrats on fixing the spreadsheet, now you can watch them ask for more. The vending machine taking your dollar is the only honest transaction happening today.",False
