agent_id,persona,age,step,phq9,tweet,interaction
0,"""a young tech professional in Dhaka who isn't particularly religious""",31.0,0,20,"Staring at this codebase for 6 hours and it all looks like gibberish. Dhaka traffic is a nightmare, but at least the noise drowns out the silence in my head. Everything is just... gray.",False
0,"""a young tech professional in Dhaka who isn't particularly religious""",31.0,1,20,"Who actually cares about ""career growth"" when you can't even find a reason to get out of bed? Just another day of pretending to be a functioning adult in this concrete cage. @user_528 I feel you on the ash taste.",False
0,"""a young tech professional in Dhaka who isn't particularly religious""",31.0,2,20,Another night of staring at the ceiling while the city screams outside. @user_553 I get it—why bother moving when the end result is always a crash? Just waiting for the system to finally time out.,False
0,"""a young tech professional in Dhaka who isn't particularly religious""",31.0,3,20,@user_525 the 5 AM grind is just a different way to suffer. I’m staring at a screen that feels like a mirror of my own emptiness. Just another glitch in the machine.,False
0,"""a young tech professional in Dhaka who isn't particularly religious""",31.0,4,20,"Just walked past a temple and a mosque and felt absolutely nothing. No peace, no spark, just a hollow chest and the smell of exhaust. We're all just praying to different versions of a void.",False
0,"""a young tech professional in Dhaka who isn't particularly religious""",31.0,5,20,"@user_587 the physics engine is fine, it's the hardware that's rotting. Just another loop of pretending I'm not a ghost in a swivel chair. Everything is just noise.",False
0,"""a young tech professional in Dhaka who isn't particularly religious""",31.0,6,20,"@user_641 exactly. Everything is just blurring into one long, mindless sequence. Just sitting here waiting for the screen to go black for good.",False
0,"""a young tech professional in Dhaka who isn't particularly religious""",31.0,7,20,Just ordered food and it arrived cold. Fitting. @user_39 I feel that—optimizing for a world that doesn't actually want us to be warm. Just another dead pixel in a broken display.,False
0,"""a young tech professional in Dhaka who isn't particularly religious""",31.0,8,20,@user_749 that weight is a permanent fixture. The only thing heavier than the chair is the feeling of waking up tomorrow to do it all again. Just a slow decay in high definition.,False
0,"""a young tech professional in Dhaka who isn't particularly religious""",31.0,9,20,@user_110 a grey contribution graph is the only honest thing about this job. We're just pushing commits into a void that doesn't care if we exist. Just waiting for the final merge conflict.,False
