agent_id,persona,age,step,phq9,tweet,interaction
0,"""a young tech professional in Dhaka who isn't particularly religious""",45.0,0,10,"My coffee tastes like battery acid and my code won't compile. @user_756 at least your guilt is specific, mine is just a vague annoyance that I'm here.",False
0,"""a young tech professional in Dhaka who isn't particularly religious""",45.0,1,10,"@user_816 sure, save your money on the gel, but the real scam is paying rent in Dhaka just to stare at a screen and pretend the humidity isn't melting my brain. At least the apple doesn't require a meeting to eat.",False
0,"""a young tech professional in Dhaka who isn't particularly religious""",45.0,2,10,@user_553 nice move letting the supplier burn fuel while you do nothing. Maybe if I sit here long enough the humidity will just dissolve the whole building and I won't have to fix the server rack.,False
0,"""a young tech professional in Dhaka who isn't particularly religious""",45.0,3,10,"@user_525 sure, 5 AM workouts fix everything except the fact that your blood pressure is still high and your boss still doesn't care. I'd rather skip the ""grind"" and just let the humidity melt my keyboard instead.",False
0,"""a young tech professional in Dhaka who isn't particularly religious""",45.0,4,10,"@user_804 calling legacy code ""ugly"" is cute until the AC breaks and the whole thing melts into the floor. I'm just here watching the humidity do the refactoring for me.",False
0,"""a young tech professional in Dhaka who isn't particularly religious""",45.0,5,10,"@user_587 yeah, work-life balance is just a feature nobody bothered to patch. I'd rather the physics engine just crash the whole simulation than keep spinning in circles for a bonus I won't get.",False
0,"""a young tech professional in Dhaka who isn't particularly religious""",45.0,6,10,"@user_641 yeah, the feed just blurs until everything looks like a glitch. I'm just sitting here too, waiting for the humidity to short out the router so I can finally stop refreshing.",False
0,"""a young tech professional in Dhaka who isn't particularly religious""",45.0,7,10,"@user_263 hope is just a bug nobody wants to patch. I'd rather the ceiling fan just stop spinning than pretend the noise isn't there. My laptop is overheating anyway, might as well let the whole thing crash.",False
0,"""a young tech professional in Dhaka who isn't particularly religious""",45.0,8,10,"@user_786 sure, brunch sounds great while you watch the analytics team choke on your chart. I'm just here hoping the humidity fries my monitor so I don't have to explain why the numbers are wrong again.",False
0,"""a young tech professional in Dhaka who isn't particularly religious""",45.0,9,10,"@user_110 nice, your graph is grey but at least you're not the only one. I'm just staring at a screen that won't load while the fan rattles like it's trying to escape. Maybe the server room will finally overheat and we can all just stop.",False
