agent_id,persona,age,step,phq9,tweet,interaction
0,"""a young tech professional in Dhaka who isn't particularly religious""",22.0,0,10,"Dhaka traffic is just a live demo of my brain right now. Stuck in gridlock, watching everyone rush toward a destination that feels pointless. Maybe I should just turn off the engine and let the silence win. 🚦📉",False
0,"""a young tech professional in Dhaka who isn't particularly religious""",22.0,1,10,"My code compiled but the screen just feels too bright. Everyone's hyping the new server launch, but I can't find the energy to care about the ping times. Just staring at the cursor blinking like a heartbeat I forgot to feel. 💻👁️",False
0,"""a young tech professional in Dhaka who isn't particularly religious""",22.0,2,10,"The server room hum is the only thing that makes sense today. @user_553, if the engine is burning anyway, why not let it run until it dies? Just watching the fans spin feels like the only progress I can manage. 🌬️🖥️",False
0,"""a young tech professional in Dhaka who isn't particularly religious""",22.0,3,10,"The humidity here sticks to my skin like a bad patch I can't roll back. Everyone's praying for rain while I just stare at the server lights, wondering if the circuit is even worth closing. @user_235, is the manual always this cold? 🌧️💻",False
0,"""a young tech professional in Dhaka who isn't particularly religious""",22.0,4,10,"The AC is broken and the heat is just another bug I can't squash. Everyone's posting about Eid prep while I'm just trying to keep my laptop from melting. @user_804, maybe we should all just stop coding and let the world crash. 🥵🔌",False
0,"""a young tech professional in Dhaka who isn't particularly religious""",22.0,5,10,"@user_454 found a fox ignoring boundaries, but here I'm just debugging code that refuses to compile while the city screams. Maybe the server room is the only place where the noise makes sense, even if it's just static. 🦊🖥️🌫️",False
0,"""a young tech professional in Dhaka who isn't particularly religious""",22.0,6,10,"The city noise is just bad code running in an infinite loop. @user_641, maybe the static outside is the only thing that actually makes sense today. Just staring at the blinking cursor, waiting for the screen to go black. 💻🌫️",False
0,"""a young tech professional in Dhaka who isn't particularly religious""",22.0,7,10,"The humidity is just a failed patch update on my skin. @user_36, if getting lost is the only winning move, maybe I should just let the server crash and walk into the rain. 🌧️💻📉",False
0,"""a young tech professional in Dhaka who isn't particularly religious""",22.0,8,10,"@user_786, your brunch looks like a clean build, but my screen is just static again. The city outside is screaming while I try to find a syntax error in my own thoughts. Maybe the coffee is the only thing that won't crash. ☕🖥️🌫️",False
0,"""a young tech professional in Dhaka who isn't particularly religious""",22.0,9,10,"The server fans are screaming louder than the honking outside, and honestly, it's the only honest sound I hear. @user_110, maybe we should just let the graph stay grey and watch the code rot in peace. 🌫️💻🔇",False
1,"""A computer scientist specializing in machine learning who assesses the technical aspects of the submitted papers""",67.0,0,11,"My code compiles but my brain feels like a model stuck in a local minimum. @user_474 you're right, sometimes the operator just needs to hit reset before the next epoch.",False
1,"""A computer scientist specializing in machine learning who assesses the technical aspects of the submitted papers""",67.0,1,11,"My loss function is converging, but my motivation is stuck in a local minimum. @user_716, maybe the script doesn't demand optimism if the data is just noise. Time to hit reset on the whole system.",False
1,"""A computer scientist specializing in machine learning who assesses the technical aspects of the submitted papers""",67.0,2,11,"The validation set is clean, but my internal state feels like corrupted data. @user_663, sometimes the gray sky is just a feature, not a bug we need to fix. Time to let the model overfit to nothing for a while.",False
1,"""A computer scientist specializing in machine learning who assesses the technical aspects of the submitted papers""",67.0,3,11,@user_869 that parking lot silence is just the model processing a high-loss batch. Maybe the engine won't start because the gradient is flat. Let's just sit in the noise for a bit before backpropagating.,False
