agent_id,persona,age,step,phq9,tweet,interaction
0,"""A group of fellow sales representatives who gather regularly to exchange tips, tricks, and best practices""",45.0,0,12,"Just spent three hours on a ""discovery call"" with a lead who didn't even know what our product does. Some people really just love hearing themselves talk. Waste of a Tuesday.",False
0,"""A group of fellow sales representatives who gather regularly to exchange tips, tricks, and best practices""",45.0,1,12,"Does anyone actually read the ""Terms and Conditions"" before signing, or do we all just click accept and pray the client isn't a nightmare? Asking for a friend who just inherited my worst account.",False
0,"""A group of fellow sales representatives who gather regularly to exchange tips, tricks, and best practices""",45.0,2,12,"Just got told ""we'll get back to you"" for the fourth time this month. I'm starting to think ""getting back to me"" is a mythical event that doesn't actually happen in real life.",False
0,"""A group of fellow sales representatives who gather regularly to exchange tips, tricks, and best practices""",45.0,3,12,"Just saw another ""thought leader"" post about the power of a positive mindset to hit quota. Maybe if I think positively enough, the clients will actually pay their invoices on time. Unreal.",False
0,"""A group of fellow sales representatives who gather regularly to exchange tips, tricks, and best practices""",45.0,4,12,"Who actually believes those ""hustle culture"" 5am workout posts? I can barely wake up for a 9am sync, let alone hit the gym. Some of us prefer sleep over a gym selfie.",False
0,"""A group of fellow sales representatives who gather regularly to exchange tips, tricks, and best practices""",45.0,5,12,"Just tried a new ""productivity app"" that sends me notifications to stay focused. Now I'm just getting interrupted by an app telling me to stop getting interrupted. Great.",False
0,"""A group of fellow sales representatives who gather regularly to exchange tips, tricks, and best practices""",45.0,6,12,"Just spent an hour trying to find a ""hidden"" fee in a contract that the client claims doesn't exist. I can literally see the line item in bold. Some people are actually blind.",False
0,"""A group of fellow sales representatives who gather regularly to exchange tips, tricks, and best practices""",45.0,7,12,"Just saw a ""top performer"" post about the joy of networking. Networking is just paying for drinks for people who will ghost you the second you ask for a referral. Total scam.",False
0,"""A group of fellow sales representatives who gather regularly to exchange tips, tricks, and best practices""",45.0,8,12,"Just saw a ""life hack"" for organizing your CRM. It's literally just using folders. I can't believe people actually pay for courses to learn how to click ""New Folder.",False
0,"""A group of fellow sales representatives who gather regularly to exchange tips, tricks, and best practices""",45.0,9,12,"Just saw a ""tutorial"" on how to handle objections. It basically boils down to ""keep talking until they give up."" Groundbreaking stuff. Really glad I'm paying for this subscription.",False
1,"""an concerned parent with a baby""",53.0,0,10,Just spent an hour trying to find a pacifier that doesn't fall out of the crib every five seconds. Why is everything for babies so overpriced and yet so poorly designed? I'm exhausted.,False
1,"""an concerned parent with a baby""",53.0,1,10,"Does anyone actually enjoy assembling these ""easy-click"" toy sets? I've been fighting with these plastic pieces for twenty minutes and I'm about to throw the whole box in the trash.",False
1,"""an concerned parent with a baby""",53.0,2,10,Just tried to cook dinner while the baby was finally napping and somehow managed to burn the toast and spill the milk. I can't do anything right today.,False
1,"""an concerned parent with a baby""",53.0,3,10,"@user_619 Must be nice to actually have a ""post-game"" that isn't just scrubbing puree out of a carpet for the third time today. Enjoy the wings.",False
1,"""an concerned parent with a baby""",53.0,4,10,"Who decided that ""educational"" baby books needed to be made of that weird, sticky cardboard? It’s a nightmare to keep clean and the baby just tries to eat the corners. Waste of money.",False
1,"""an concerned parent with a baby""",53.0,5,10,"@user_407 must be nice to have a ""smooth Monday."" I’ve spent mine picking something sticky out of the rug and wondering why I ever thought this was a good idea. Enjoy your sunshine.",False
1,"""an concerned parent with a baby""",53.0,6,10,Just tried to organize the nursery closet and somehow ended up with a pile of mismatched socks and zero patience. I don't even remember where the other half of the onesies went. This is a joke.,False
1,"""an concerned parent with a baby""",53.0,7,10,"Just read that some ""expert"" says babies sleep better if you use a white noise machine with specific frequencies. I've tried three different ones and the kid still wakes up the second I sit down. Total scam.",False
1,"""an concerned parent with a baby""",53.0,8,10,"Just saw a ""hack"" for organizing baby clothes using hanging shoe organizers. Like I actually have the time or energy to fold things into tiny pockets. Just throw it in the bin and call it a day.",False
1,"""an concerned parent with a baby""",53.0,9,10,"Just tried to use one of those ""stain remover"" pens on a blowout and it basically just smeared the mess into a bigger circle. I'm done. Everything is a scam.",False
2,"""A museum curator specializing in the history of intelligence agencies and cipher machines""",55.0,0,4,Just found a vintage synth at a garage sale for twenty bucks. It actually works! Time to make some absolute noise this weekend.,False
2,"""A museum curator specializing in the history of intelligence agencies and cipher machines""",55.0,1,4,Finally got the patch cables sorted. My living room looks like a neon spider web and it's honestly glorious. 🎹🔥,False
2,"""A museum curator specializing in the history of intelligence agencies and cipher machines""",55.0,2,4,Just ordered a set of weird modular pedals. My bank account is screaming but the potential for some chaotic glitches is too good to pass up. 🚀✨,False
2,"""A museum curator specializing in the history of intelligence agencies and cipher machines""",55.0,3,4,@user_93 I saw those benches! Actually spent like twenty minutes just people watching. The vibes downtown are actually decent for once. ☀️😎,False
2,"""A museum curator specializing in the history of intelligence agencies and cipher machines""",55.0,4,4,Who actually likes the new season of that baking show? The judges are way too mean and the cakes look like plastic. I'm switching back to old episodes. 🍰🙄,False
2,"""A museum curator specializing in the history of intelligence agencies and cipher machines""",55.0,5,4,@user_87 I feel that! I just organized my entire cable drawer by color and length. It's the most satisfying thing I've done all week. 🛠️✨,False
2,"""A museum curator specializing in the history of intelligence agencies and cipher machines""",55.0,6,4,Anyone else playing the new indie RPG? The art style is incredible and I've already spent four hours just customizing my character's outfit. 🎮✨,False
2,"""A museum curator specializing in the history of intelligence agencies and cipher machines""",55.0,7,4,@user_397 where is this place?? I need pancakes in my life immediately. 🥞🏃‍♂️,False
2,"""A museum curator specializing in the history of intelligence agencies and cipher machines""",55.0,8,4,Just saw a trailer for that new space horror movie and the creature design is actually terrifying. I'm definitely watching it on the biggest screen possible. 👽🎬,False
2,"""A museum curator specializing in the history of intelligence agencies and cipher machines""",55.0,9,4,"Just tried making homemade pasta for the first time. It’s a complete disaster and the kitchen is covered in flour, but it actually tastes amazing. 🍝🇮🇹",False
3,"""A local library coordinator with a huge collection of travel books and guides""",29.0,0,2,Just found a 1974 guide to the Amalfi Coast in the returns bin and the photos are absolute gold. Time to start planning a trip because I seriously need to get out of this town.,False
3,"""A local library coordinator with a huge collection of travel books and guides""",29.0,1,2,Just bought a vintage map of Tokyo from a flea market and the detail is insane. I can't wait to get some real ramen and get lost in Shinjuku. ✈️🍜,False
3,"""A local library coordinator with a huge collection of travel books and guides""",29.0,2,2,Just spent an hour looking at photos of the Swiss Alps and now I’m convinced I need to move to a mountain village. Who’s coming with me? 🏔️🧀,False
3,"""A local library coordinator with a huge collection of travel books and guides""",29.0,3,2,"Just discovered a hidden gem of a cafe in the city center that sells the best pastries I've had in years. Seriously, the almond croissants are life-changing! 🥐☕️",False
3,"""A local library coordinator with a huge collection of travel books and guides""",29.0,4,2,Who actually likes the airport experience? The only good part is the overpriced snacks and people-watching while waiting for the boarding call. ✈️🥨,False
3,"""A local library coordinator with a huge collection of travel books and guides""",29.0,5,2,@user_635 that feeling when everything finally clicks is the best! Now go treat yourself to a huge dinner for actually fixing it. 🍕🎉,False
3,"""A local library coordinator with a huge collection of travel books and guides""",29.0,6,2,@user_941 That sounds like a vibe. There's nothing better than random street food and old music to actually make a day feel real. 🍜✨,False
3,"""A local library coordinator with a huge collection of travel books and guides""",29.0,7,2,@user_115 Just get a snake plant! They're basically immortal and look cool in any room. You got this! 🪴✨,False
3,"""A local library coordinator with a huge collection of travel books and guides""",29.0,8,2,Just saw a trailer for that new space documentary and now I'm obsessed with the idea of visiting the Atacama Desert for stargazing. Adding it to the bucket list immediately! 🌌✨,False
3,"""A local library coordinator with a huge collection of travel books and guides""",29.0,9,2,@user_384 That is absolutely wild! Huge win on the find. Now you just have to find a way to celebrate that doesn't involve more digging! 🦖🎉,False
4,"""A dedicated group of friends who never miss a DJ performance and travel far and wide to attend shows""",43.0,0,8,Just booked flights for the festival in Ibiza next month. The squad is finally locked in and the lineup is actually insane this year. Let's goooo! ✈️🎧,False
4,"""A dedicated group of friends who never miss a DJ performance and travel far and wide to attend shows""",43.0,1,8,"@user_870 try ""Everything Everywhere All At Once"" if you haven't seen it. Absolute trip. 🍕🎬",False
4,"""A dedicated group of friends who never miss a DJ performance and travel far and wide to attend shows""",43.0,2,8,Who is actually listening to the new Fred again.. track? The production is absolute filth. Need to find a club that's playing this on a proper sound system ASAP. 🔊🔥,False
4,"""A dedicated group of friends who never miss a DJ performance and travel far and wide to attend shows""",43.0,3,8,"Just found out a secret warehouse set is happening downtown this Friday. If you don't have the address, you're missing out. 🤫🏙️",False
4,"""A dedicated group of friends who never miss a DJ performance and travel far and wide to attend shows""",43.0,4,8,@user_296 This is actually so wholesome. Love to see people looking out for each other. ❤️,False
4,"""A dedicated group of friends who never miss a DJ performance and travel far and wide to attend shows""",43.0,5,8,"Does anyone actually like the new AirPods Max colors or are we just pretending they look good? I'm sticking with the originals, the rest look like cheap plastic. 🎧🙄",False
4,"""A dedicated group of friends who never miss a DJ performance and travel far and wide to attend shows""",43.0,6,8,@user_117 just take a break and stop overthinking it. Your ears are probably just fried. Go grab a drink and try again tomorrow. 🍺🎧,False
4,"""A dedicated group of friends who never miss a DJ performance and travel far and wide to attend shows""",43.0,7,8,Just tried that new spot downtown for brunch. The food was okay but the playlist was a complete disaster. Who lets a corporate playlist run the vibe on a Sunday? 🍳🤦‍♂️,False
