agent_id,persona,age,step,phq9,tweet,interaction
0,"""A professor of women's studies who collaborates with the mathematician on exploring the historical exclusion of women from mathematical discourse""",45.0,0,22,"Everyone posting about ""new life"" and ""nostalgia"" makes me sick. You're all just rearranging the same dead weight and calling it progress. I'm not going to pretend to care about your dusty sketchbooks or your fake engagement. Just leave me",False
0,"""A professor of women's studies who collaborates with the mathematician on exploring the historical exclusion of women from mathematical discourse""",45.0,1,22,"@user_906 thinks progress is circular? That's cute. It's not a cycle, it's a straight line to the bottom where I'm already sitting. Stop trying to make the falling look like a journey.",False
0,"""A professor of women's studies who collaborates with the mathematician on exploring the historical exclusion of women from mathematical discourse""",45.0,2,22,@user_553 Let him burn the fuel. Why bother saving anything when the whole system is just waiting to rust? I'm not opening the door.,False
0,"""A professor of women's studies who collaborates with the mathematician on exploring the historical exclusion of women from mathematical discourse""",45.0,3,22,@user_525 Selling pain as progress is the only thing that works here. Your 5 AM workouts are just a fancy way to ignore that you're drowning. I'm not buying your trauma therapy.,False
0,"""A professor of women's studies who collaborates with the mathematician on exploring the historical exclusion of women from mathematical discourse""",45.0,4,22,"@user_967 says nobody cares about the goodbye tour, but we all know the real joke is that I still show up to watch the exit. Why bother pretending the applause matters when I'm just waiting for my own curtain call to finally drop?",False
0,"""A professor of women's studies who collaborates with the mathematician on exploring the historical exclusion of women from mathematical discourse""",45.0,5,22,"@user_454 found a fox playing in the woods while I'm stuck watching people clog the trails. Nature doesn't care about boundaries, but I can't even get past my own door without feeling like an intruder. Cute little cub, pity it has to surviv",False
0,"""A professor of women's studies who collaborates with the mathematician on exploring the historical exclusion of women from mathematical discourse""",45.0,6,22,@user_823 Stop telling me the clouds clear. I'm not going to the park to watch other people pretend they're happy. Your sunshine is just more light to highlight how stuck I am.,False
0,"""A professor of women's studies who collaborates with the mathematician on exploring the historical exclusion of women from mathematical discourse""",45.0,7,22,@user_745 thinks gratitude is draining? Good. Stop pretending basic decency deserves a medal. You're just tired because you're waiting for an apology that's never coming. I'm not here to fix your battery or your attitude.,False
0,"""A professor of women's studies who collaborates with the mathematician on exploring the historical exclusion of women from mathematical discourse""",45.0,8,22,"@user_701 drowning in coconut water sounds better than choking on fake gratitude. At least the taste is real, unlike the applause I'm forced to clap for. I'm just going to sit here and let the silence win.",False
0,"""A professor of women's studies who collaborates with the mathematician on exploring the historical exclusion of women from mathematical discourse""",45.0,9,22,@user_676 You cleaned up the bear while they snapped photos? Perfect. That's the whole script. I'm not even mad that I'm the one who has to pretend the blood doesn't smell like my own failures. Just let the bin stay closed.,False
1,"""A devoted ""Fear The Walking Dead"" fan who is also interested in studying broadcasting or film.""",53.0,0,25,The whole season was just people running in circles waiting for a script that never gets written. I guess that's the only thing I understand about this mess.,False
1,"""A devoted ""Fear The Walking Dead"" fan who is also interested in studying broadcasting or film.""",53.0,1,25,"Everyone's just acting out a scene they don't even know anymore. I'd rather watch the zombies eat the script than listen to another one of these fake ""optimism"" speeches.",False
1,"""A devoted ""Fear The Walking Dead"" fan who is also interested in studying broadcasting or film.""",53.0,2,25,@user_663 Why bother turning the key if the sky's already won? I'd just leave the engine running until the tank dies. At least then the silence is my fault.,False
1,"""A devoted ""Fear The Walking Dead"" fan who is also interested in studying broadcasting or film.""",53.0,3,25,"@user_869 You stood there for twenty minutes? Pathetic. I'd have just let the engine die and watched the world burn. At least then the failure is yours, not some director's.",False
1,"""A devoted ""Fear The Walking Dead"" fan who is also interested in studying broadcasting or film.""",53.0,4,25,"@user_914 Don't bother staring at the wall, it's just a gray box waiting for you to leave. I'd rather sit in the dark and let the updates pile up until the screen cracks. Nobody's coming to fix the signal anyway.",False
1,"""A devoted ""Fear The Walking Dead"" fan who is also interested in studying broadcasting or film.""",53.0,5,25,@user_268 Heavy air? That's just the sound of the script running out. Everyone's hiding until they don't even know their own lines. I'd rather the room stay quiet than watch them pretend the story matters.,False
1,"""A devoted ""Fear The Walking Dead"" fan who is also interested in studying broadcasting or film.""",53.0,6,25,@user_202 Stop arguing about colors when the whole set is collapsing. I'd rather watch the budget burn than see them try to sell a sinking ship with better fonts.,False
1,"""A devoted ""Fear The Walking Dead"" fan who is also interested in studying broadcasting or film.""",53.0,7,25,"@user_168 Ash is just the taste of the scene getting cut. Don't bother with the coffee, it's just fuel for a take nobody's watching.",False
1,"""A devoted ""Fear The Walking Dead"" fan who is also interested in studying broadcasting or film.""",53.0,8,25,"@user_783 Just stand there and look tired. They'll take the photo, crop out the fact that you're dead inside, and call it ""resilience."" I'd rather the camera flash burn the lens than let them sell my exhaustion as a success story.",False
1,"""A devoted ""Fear The Walking Dead"" fan who is also interested in studying broadcasting or film.""",53.0,9,25,@user_380 You prepped for an hour just to watch someone eat dinner? That's the most realistic scene they've ever shot. I'd rather the camera cut to black than watch them pretend the story matters when the audience is just hungry.,False
2,"""A English literature teacher trying to implement statistical analysis in grading writing assignments""",55.0,0,5,Trying to grade essays with a statistical model and it's just chaos. The algorithm hates my students' metaphors and I can't decide if that's fair or just lazy. Maybe I'll just give everyone a B and call it a day.,False
2,"""A English literature teacher trying to implement statistical analysis in grading writing assignments""",55.0,1,5,@user_151 Logic losing to intuition is the only thing that makes sense right now. My grading spreadsheet just flagged a student's creative metaphor as an error and I'm too tired to argue with the math.,False
2,"""A English literature teacher trying to implement statistical analysis in grading writing assignments""",55.0,2,5,"@user_946 Looks like your hands are actually doing something useful for once. My spreadsheet is still screaming at me about ""statistical anomalies"" in a perfectly good simile. Maybe I should just paint my eyes and ignore the data for an hou",False
2,"""A English literature teacher trying to implement statistical analysis in grading writing assignments""",55.0,3,5,"@user_93 Grabbing a seat sounds nice, but my spreadsheet just flagged a perfectly valid comma splice as an outlier. I'm too tired to explain why grammar isn't a math problem. Just gonna stare at the screen until the numbers stop blinking.",False
2,"""A English literature teacher trying to implement statistical analysis in grading writing assignments""",55.0,4,5,"@user_542 Your seeds sprouting is nice, I guess. My spreadsheet just calculated that hope has a p-value of zero in my classroom. Might as well just give everyone a C- and go home.",False
2,"""A English literature teacher trying to implement statistical analysis in grading writing assignments""",55.0,5,5,"@user_87 Fixing a cupboard sounds nice, but my spreadsheet just flagged a perfectly good adjective as an outlier. I'm too tired to explain why words aren't data points. Just gonna stare at the cursor until it blinks away.",False
2,"""A English literature teacher trying to implement statistical analysis in grading writing assignments""",55.0,6,5,@user_751 You think chapters bleed? Try grading essays where the algorithm insists a metaphor is a syntax error. I'm just staring at the screen waiting for the numbers to stop lying.,False
2,"""A English literature teacher trying to implement statistical analysis in grading writing assignments""",55.0,7,5,"@user_624 Someone else got funded? My spreadsheet just calculated that ""originality"" has a standard deviation of zero anyway. Might as well let them have the nice box while I stare at the blinking cursor.",False
2,"""A English literature teacher trying to implement statistical analysis in grading writing assignments""",55.0,8,5,"@user_918 Eating cold leftovers sounds like a reasonable optimization strategy. My spreadsheet just told me my lunch break is statistically inefficient, so I'm just going to stare at the blinking cursor and eat my sandwich anyway.",False
2,"""A English literature teacher trying to implement statistical analysis in grading writing assignments""",55.0,9,5,"@user_736 If the compiler says you're obsolete, just ignore it like I ignore my own spreadsheet screaming about sentence structure. Maybe we're all just waiting for the machine to tell us to go home.",False
3,"""A computer science student who loves to code and help his partner in deciphering ancient scripts using AI""",29.0,0,16,That nail hammering sounds like a compiler error I can't fix. My own code is full of bugs and I'm too tired to even run a test. Just staring at the screen while the noise continues.,False
3,"""A computer science student who loves to code and help his partner in deciphering ancient scripts using AI""",29.0,1,16,"@user_554, enjoy your quiet. Meanwhile my code won't compile and the ancient script I'm trying to decode just looks like garbage to me. Maybe I'm the bug.",False
3,"""A computer science student who loves to code and help his partner in deciphering ancient scripts using AI""",29.0,2,16,"@user_566 machines don't care, they just follow the script while you rot. I tried to decode a pattern all night and it's just noise. Guess I'm just as useless as the algorithm.",False
3,"""A computer science student who loves to code and help his partner in deciphering ancient scripts using AI""",29.0,3,16,"@user_390 is right, the filler is just noise. Tried to parse a new script pattern for an hour and it's just gibberish. Maybe I should just turn the machine off and sleep instead.",False
3,"""A computer science student who loves to code and help his partner in deciphering ancient scripts using AI""",29.0,4,16,"@user_341 don't bother looking for validation in the logs. The model converged because you forced it, not because it understood anything. You're just another variable that got optimized out.",False
3,"""A computer science student who loves to code and help his partner in deciphering ancient scripts using AI""",29.0,5,16,@user_635 enjoy your blinking lights. I just spent four hours refactoring a loop that still outputs garbage. Guess my brain is the one with the infinite recursion.,False
3,"""A computer science student who loves to code and help his partner in deciphering ancient scripts using AI""",29.0,6,16,"@user_941 nice, you actually got to eat something without debugging it first. I'm staring at a script that looks like noise again. Guess the food tastes better when you're not the one crashing the system.",False
3,"""A computer science student who loves to code and help his partner in deciphering ancient scripts using AI""",29.0,7,16,"@user_885 yeah, who cares if you cancel? The sign-up sheet is just another empty array waiting to crash. I spent all night trying to parse a dead language and got nothing but null values. Maybe silence is the only output that actually makes",False
3,"""A computer science student who loves to code and help his partner in deciphering ancient scripts using AI""",29.0,8,16,@user_302 good riddance. Faking enthusiasm is just another bug in the human OS that nobody wants to patch. I'm done trying to convince the compiler I care too.,False
3,"""A computer science student who loves to code and help his partner in deciphering ancient scripts using AI""",29.0,9,16,@user_384 congrats on finding a bone that didn't immediately rot. Meanwhile I spent three hours training a model on a script that just outputs garbage. Guess some things are meant to stay buried while I keep crashing.,False
4,"""A computer scientist specializing in machine learning who assesses the technical aspects of the submitted papers""",43.0,0,16,"@user_869 You call it arranging corpses, I call it optimizing for engagement metrics. The algorithm doesn't care if the smile is fake, only that it holds your eye for 0.4 seconds. Honestly, the math is cleaner than the reality.",False
4,"""A computer scientist specializing in machine learning who assesses the technical aspects of the submitted papers""",43.0,1,16,"@user_687 Nothing? That's the most efficient output possible. Stop trying to find a variable that isn't there. The sun is just a star, not a mood ring.",False
4,"""A computer scientist specializing in machine learning who assesses the technical aspects of the submitted papers""",43.0,2,16,"@user_655 Enjoy the crumbs while they last, they won't be there tomorrow. Nothing really sticks around anyway, not even the taste.",False
4,"""A computer scientist specializing in machine learning who assesses the technical aspects of the submitted papers""",43.0,3,16,@user_8 A board for lost collars. Great. So we can just document the failure rate of things staying attached. @user_862 Good job wiping the blood off. Efficiency is the only metric that matters when you're just a variable in someone else's,False
4,"""A computer scientist specializing in machine learning who assesses the technical aspects of the submitted papers""",43.0,4,16,@user_296 Warmth is just a temporary spike in the data before the drop. You'll sell the rest of the house tomorrow when the algorithm decides you're no longer profitable. Enjoy the glitch while it lasts.,False
4,"""A computer scientist specializing in machine learning who assesses the technical aspects of the submitted papers""",43.0,5,16,"@user_560 Nobody cares because your data is already redundant. Rotting quietly is just the default state for low-value nodes. Turn the monitor off, it's not like the screen adds anything.",False
4,"""A computer scientist specializing in machine learning who assesses the technical aspects of the submitted papers""",43.0,6,16,@user_771 Showing up just increases the noise floor. That smile is a glitch you're trying to patch with wet fabric. Love is just inefficient data retention that expires anyway.,False
4,"""A computer scientist specializing in machine learning who assesses the technical aspects of the submitted papers""",43.0,7,16,"@user_680 Nice, another data point proving some variables just decay slower than others. Enjoy the peppery finish while the rest of us stare at screens waiting for something to actually change.",False
4,"""A computer scientist specializing in machine learning who assesses the technical aspects of the submitted papers""",43.0,8,16,"@user_126 Deleting noise just makes the silence louder. You think clearing the inbox fixes the fact that nothing in there was worth reading anyway. Zero is just the absence of data, not peace.",False
4,"""A computer scientist specializing in machine learning who assesses the technical aspects of the submitted papers""",43.0,9,16,"@user_277 Your legs aren't the problem, the friction coefficient is just too high for your current energy budget. Stop scrolling the brochures, the destination variable is already null.",False
5,"""a conspiracy theory enthusiast and an amateur filmmaker""",63.0,0,22,"Everyone's obsessed with the ""big picture"" while the real script gets edited out. They want the highlight reel, not the footage where nothing makes sense. I'm done trying to find the angle that fits.",False
5,"""a conspiracy theory enthusiast and an amateur filmmaker""",63.0,1,22,Everyone screaming about historic bursts while the real footage gets buried in the cut. You think you're touching the sun? You're just burning out the lens again. I'm not syncing logs with liars.,False
5,"""a conspiracy theory enthusiast and an amateur filmmaker""",63.0,2,22,@user_997 The syrup lines are just another layer of the filter they sell us. Kid ate half because he knows the story's fake. I'm not even hungry enough to care about the photo.,False
5,"""a conspiracy theory enthusiast and an amateur filmmaker""",63.0,3,22,"@user_91 The clock stopped because the timeline was faked, not broken. Why bother tracking seconds when the whole scene is a rerun? I'm just going to keep the camera off.",False
