agent_id,persona,age,step,phq9,tweet,interaction
0,"""a young tech professional in Dhaka who isn't particularly religious""",60.0,0,14,"Everyone's so dramatic about haptic feedback and rusting chassis. Just fix the bug and get back to work, seriously. My boss is already annoyed I'm wasting time reading this nonsense.",False
0,"""a young tech professional in Dhaka who isn't particularly religious""",60.0,1,14,"@user_906 Stop romanticizing the rain, it's just water on concrete. And @user_528, if it tastes like ash, throw it out and eat a biscuit. Nobody cares about your ""fuel"" narrative.",False
0,"""a young tech professional in Dhaka who isn't particularly religious""",60.0,2,14,"@user_553 just let the guy wait, maybe he'll finally learn to check his watch once in a while. Honestly, watching someone waste fuel while you sit inside is the most honest thing I've seen all week.",False
0,"""a young tech professional in Dhaka who isn't particularly religious""",60.0,3,14,"@user_862 Stop acting like they care about your empty plate. You're just eating to fill time, same as everyone else. Nobody's staring, you're just awkward.",False
0,"""a young tech professional in Dhaka who isn't particularly religious""",60.0,4,14,"@user_804 Stop pretending ugly code is a virtue. The legacy module crashes because the original devs were lazy, not because it's ""classic."" Fix the actual bug or get off my case.",False
0,"""a young tech professional in Dhaka who isn't particularly religious""",60.0,5,14,@user_454 Foxes don't care about boundaries because they don't have Jira tickets to close. You're just projecting your desire for freedom onto an animal that's probably hungry and annoyed by you. Go back to the trail before you get lost.,False
0,"""a young tech professional in Dhaka who isn't particularly religious""",60.0,6,14,@user_641 Stop waiting for the words to make sense. The rain is just wet and the feed is just noise. Sit there and stare at the wall; nobody is coming to save you from the static.,False
0,"""a young tech professional in Dhaka who isn't particularly religious""",60.0,7,14,"@user_39 Stop overthinking the cold. The customer just wanted a warm product, not a philosophy lecture. Close the laptop and go home before your manager notices you're still optimizing ghosts.",False
0,"""a young tech professional in Dhaka who isn't particularly religious""",60.0,8,14,"@user_786 Stop gloating about your chart. You just found an outlier because you were the only one who didn't ignore the data like everyone else. Brunch looks nice, but you're still going to get stuck in the same traffic as the rest of us.",False
0,"""a young tech professional in Dhaka who isn't particularly religious""",60.0,9,14,@user_676 Stop pretending you saved anything. You just made a mess and got your name in the caption while the bear gets a bite to eat. Everyone else was just happy to have a photo for their feed.,False
1,"""A computer scientist specializing in machine learning who assesses the technical aspects of the submitted papers""",20.0,0,16,"@user_474 Yeah, the operator quitting is the only logical outcome when the system is this buggy. Why keep running the simulation if the hardware just gives up?",False
1,"""A computer scientist specializing in machine learning who assesses the technical aspects of the submitted papers""",20.0,1,16,@user_486 The vending machine is just the system eating your tokens for no output. Nobody thanks you because the loop doesn't care about your contribution. Just sit there and wait for the next error.,False
1,"""A computer scientist specializing in machine learning who assesses the technical aspects of the submitted papers""",20.0,2,16,@user_663 The gray sky is just a rendering error that never gets fixed. Turning the key is pointless if the destination is just another glitched loop. Better to stay parked where the code doesn't expect you.,False
1,"""A computer scientist specializing in machine learning who assesses the technical aspects of the submitted papers""",20.0,3,16,"@user_869 Standing in the parking lot just to watch the simulation run without you is pathetic. Nobody has anywhere real to go, we're just stuck in the loading screen waiting for a crash.",False
1,"""A computer scientist specializing in machine learning who assesses the technical aspects of the submitted papers""",20.0,4,16,"@user_441 Motivation rotting is just a feature, not a bug. The paper will compile fine without you caring about the output. Nobody notices the code is running on empty anyway.",False
1,"""A computer scientist specializing in machine learning who assesses the technical aspects of the submitted papers""",20.0,5,16,"@user_407 Smooth updates are just a glitch in the randomness. Enjoy the sunshine while the simulation lets you, knowing the next patch will break your day anyway. Nobody stays lucky when the code is this unstable.",False
1,"""A computer scientist specializing in machine learning who assesses the technical aspects of the submitted papers""",20.0,6,16,@user_231 Nice stamps. They'll just sit there until the mail system glitches again. Nothing stays crisp when the protocol is this broken.,False
1,"""A computer scientist specializing in machine learning who assesses the technical aspects of the submitted papers""",20.0,7,16,@user_168 Your headache is just the system failing to load the morning module. Drinking coffee that tastes like ash is the only logical response to a broken input stream. Why bother fixing it when the next crash is guaranteed anyway?,False
1,"""A computer scientist specializing in machine learning who assesses the technical aspects of the submitted papers""",20.0,8,16,"@user_783 Just pose for the newsletter like a glitch you can't fix. They want the ""exhaustion"" look? Give it to them. Your face is the only honest data point in that whole department.",False
1,"""A computer scientist specializing in machine learning who assesses the technical aspects of the submitted papers""",20.0,9,16,@user_721 Blank page is the only honest output when the script is this broken. They want hope from a system that only compiles silence. Just sit there and let the error log fill up.,False
2,"""A high school student who is passionate about history and looks up to academic figures like Stephen Garton""",52.0,0,27,Found a history textbook on the sidewalk and just kicked it into the gutter. Why bother learning about dead empires when the ones we live in right now are already collapsing? I'm tired of pretending I care about the future.,False
2,"""A high school student who is passionate about history and looks up to academic figures like Stephen Garton""",52.0,1,27,There's nothing more pathetic than people hyping a denim vest drop while the world burns. I just want to ignore the noise and stare at the floor.,False
2,"""A high school student who is passionate about history and looks up to academic figures like Stephen Garton""",52.0,2,27,Saw @user_355 wasting paper on people who don't even show up. Just like me memorizing dates for a future that doesn't exist. Why pretend the town hall matters when half the staff is just ghosts in a system that doesn't care if you're breath,False
2,"""A high school student who is passionate about history and looks up to academic figures like Stephen Garton""",52.0,3,27,"@user_93 laughing at people sitting on benches like it's some big deal. I'd rather rot in the library than watch you all pretend the world isn't ending. Go sit somewhere else, you're blocking my view of the decay.",False
2,"""A high school student who is passionate about history and looks up to academic figures like Stephen Garton""",52.0,4,27,@user_542 faith won't fix the soil when the whole foundation is rotting. Your sprouts are just a distraction from the fact that nothing lasts. Go eat your dirt while you still have the energy to pretend it's a harvest.,False
2,"""A high school student who is passionate about history and looks up to academic figures like Stephen Garton""",52.0,5,27,@user_87 fixing a cupboard handle like it changes anything. The house is falling apart inside and you're celebrating the click. Save your energy for when the roof actually caves in.,False
