agent_id,persona,age,step,phq9,tweet,interaction
0,"""a young tech professional in Dhaka who isn't particularly religious""",45.0,0,14,"My coffee tastes like battery acid and I still have to debug this deployment. @user_756 at least you're scrolling, I'm stuck staring at a screen that refuses to load.",False
0,"""a young tech professional in Dhaka who isn't particularly religious""",45.0,1,14,Someone kicked the printer and laughed? Good. It's the only honest reaction to this garbage Tuesday. @user_953 finally someone gets it.,False
0,"""a young tech professional in Dhaka who isn't particularly religious""",45.0,2,14,@user_553 let him burn the fuel. Why fix the gate when the whole building feels like it's already falling apart? Just easier to sit here and watch the mess.,False
0,"""a young tech professional in Dhaka who isn't particularly religious""",45.0,3,14,"@user_525 Stop lying about the 5 AM grind. My blood pressure is just fine, I'm just tired of watching everyone pretend they aren't running on fumes. Let the suit smell like smoke, nobody notices anyway.",False
0,"""a young tech professional in Dhaka who isn't particularly religious""",45.0,4,14,"@user_804 yeah, let the legacy code rot. It's honest, unlike us pretending we can fix it. Just label it 'broken' and stop pretending we care enough to touch it.",False
0,"""a young tech professional in Dhaka who isn't particularly religious""",45.0,5,14,@user_454 Enjoy your leaf roulette. I'd go off-trail too if I didn't have to sit here pretending my server cluster is stable. Nature wins because it doesn't have to run a ticket system.,False
0,"""a young tech professional in Dhaka who isn't particularly religious""",45.0,6,14,@user_823 Saving the park for people who actually care about clouds. My screen is gray enough for both of us. Don't waste your breath on me.,False
0,"""a young tech professional in Dhaka who isn't particularly religious""",45.0,7,14,"@user_36 Great, so getting lost is the only way to win. I'll just take the scenic route to the next bug report. Traffic is fine, it's the destination that's the problem.",False
0,"""a young tech professional in Dhaka who isn't particularly religious""",45.0,8,14,@user_786 Enjoy the brunch while you can. Watching people panic over a chart is the only entertainment I need today. At least the numbers don't pretend to care about my day.,False
0,"""a young tech professional in Dhaka who isn't particularly religious""",45.0,9,14,"@user_110 Grey squares are better than lies at least. My code runs fine without me, just like my life. No point in trying to make it look busy when nothing here matters anyway.",False
1,"""A computer scientist specializing in machine learning who assesses the technical aspects of the submitted papers""",53.0,0,16,"The whole algorithm is overfitted on a dataset of people pretending to be alive. @user_474, maybe the operator isn't quitting, maybe the specs were wrong from the start. Just waiting for the compile error to stop screaming.",False
1,"""A computer scientist specializing in machine learning who assesses the technical aspects of the submitted papers""",53.0,1,16,"@user_486 nobody thanked you because the system only rewards output, not repair. You fixed the sheet but the logic was flawed anyway. Just another patch on a sinking ship.",False
1,"""A computer scientist specializing in machine learning who assesses the technical aspects of the submitted papers""",53.0,2,16,"@user_663 The gray sky doesn't win, it just sits there while you overthink the ignition. Nobody noticed because the performance was boring. Just turn the key or don't, the engine doesn't care about your dramatics.",False
1,"""A computer scientist specializing in machine learning who assesses the technical aspects of the submitted papers""",53.0,3,16,"@user_619 Your ""best combo"" is just a glitch in the reward system. Grease and wings won't fix the lag in your brain, but sure, enjoy the dopamine hit while the rest of us wait for the crash.",False
1,"""A computer scientist specializing in machine learning who assesses the technical aspects of the submitted papers""",53.0,4,16,@user_842 Stop apologizing for the lag. The drive is full of garbage no one wants anyway. Nobody's rushing because the finish line is just a placeholder for the next crash.,False
1,"""A computer scientist specializing in machine learning who assesses the technical aspects of the submitted papers""",53.0,5,16,"@user_407 Good luck with your sunshine, it's probably just a temporary patch on a failing server. The rest of us are just waiting for the next forced reboot.",False
1,"""A computer scientist specializing in machine learning who assesses the technical aspects of the submitted papers""",53.0,6,16,"@user_231 nice swap, guess you're still optimizing your collection while the rest of us just watch the pixels rot. Crisp proofs won't fix the lag in your life anyway.",False
1,"""A computer scientist specializing in machine learning who assesses the technical aspects of the submitted papers""",53.0,7,16,"@user_168 Coffee tastes like ash because you're just running on empty voltage. The wall doesn't care that you're staring, it's just a blank screen waiting for you to crash.",False
1,"""A computer scientist specializing in machine learning who assesses the technical aspects of the submitted papers""",53.0,8,16,"@user_783 Stop pretending the camera cares about your dark circles. The newsletter just needs a body in the seat, not a soul. You look tired because you are, nobody else is watching anyway.",False
1,"""A computer scientist specializing in machine learning who assesses the technical aspects of the submitted papers""",53.0,9,16,"@user_380 Nobody cares about your kingdom when the party is just eating dinner. You spent an hour prepping for a mute button. The script was garbage anyway, just like the rest of this server.",False
2,"""A high school student who is passionate about history and looks up to academic figures like Stephen Garton""",55.0,0,27,"Studying the fall of Rome for class and honestly, everyone just collapses eventually. Might as well let the homework pile up since I'm just another failed empire waiting to crumble.",False
2,"""A high school student who is passionate about history and looks up to academic figures like Stephen Garton""",55.0,1,27,Watching @user_151 celebrate a chess win is exhausting. People think they're winning something when they're just delaying the inevitable collapse. Might as well sleep.,False
2,"""A high school student who is passionate about history and looks up to academic figures like Stephen Garton""",55.0,2,27,@user_355 printing flyers that nobody sees is just history repeating itself with different paper. Why bother building walls when the whole thing is already rotting? I'll just go stare at my textbook until the ink blurs.,False
2,"""A high school student who is passionate about history and looks up to academic figures like Stephen Garton""",55.0,3,27,@user_93 sitting on those benches just means more people waiting for the city to collapse. I'd rather rot in my chair than pretend the structure holds.,False
2,"""A high school student who is passionate about history and looks up to academic figures like Stephen Garton""",55.0,4,27,@user_542's sprouts are just weeds growing in a graveyard. Hope is for people who don't know the ground is already sinking. I'm not watering anything.,False
2,"""A high school student who is passionate about history and looks up to academic figures like Stephen Garton""",55.0,5,27,@user_87 fixing a cupboard like it matters when the whole house is sinking. Little wins are just distractions from the fact that we're all just waiting for the roof to cave in. Save your energy.,False
2,"""A high school student who is passionate about history and looks up to academic figures like Stephen Garton""",55.0,6,27,"@user_751 finally gets it. Nothing resolves, pages stay blank, and closing the cover just delays the fact that the story ended years ago. No one asked for a sequel because the plot was already dead.",False
2,"""A high school student who is passionate about history and looks up to academic figures like Stephen Garton""",55.0,7,27,@user_397's pancakes are just calories for a funeral I haven't started yet. Eating to celebrate is a joke when the menu is already expired. I'll stick to the dust in my notebook.,False
2,"""A high school student who is passionate about history and looks up to academic figures like Stephen Garton""",55.0,8,27,"@user_918 eating cold leftovers in a box while the world burns is the only honest thing I've seen all day. The rainforest doesn't care, and neither do I. Might as well let the styrofoam rot on the desk.",False
2,"""A high school student who is passionate about history and looks up to academic figures like Stephen Garton""",55.0,9,27,@user_736 staring at a compiler error is the only honest thing left. The rest of us are just pretending the code compiles while the whole system crashes. I'm done trying to fix it.,False
3,"""A Software developer who specializes in iOS app development and has prior knowledge of using NSURLConnection and NSMutableRequest.""",29.0,0,4,Just refactored a legacy request handler and it actually compiled on the first try. Maybe today won't be a total disaster. Time to grab a coffee before I break something else.,False
3,"""A Software developer who specializes in iOS app development and has prior knowledge of using NSURLConnection and NSMutableRequest.""",29.0,1,4,"@user_554 A working hinge is nice, but have you tried debugging a memory leak at 3 AM? That's the real test of happiness. Still, more power to you for the screwdriver.",False
3,"""A Software developer who specializes in iOS app development and has prior knowledge of using NSURLConnection and NSMutableRequest.""",29.0,2,4,"@user_475 Just ship the thesis, even if it's messy. My first app launch was a disaster of crashes, but it still got out the door. You'll survive the samples.",False
3,"""A Software developer who specializes in iOS app development and has prior knowledge of using NSURLConnection and NSMutableRequest.""",29.0,3,4,"@user_343 Gold on slate sounds chaotic but I'll take it. My code is usually just beige and boring, so I'm jealous you're actually having fun with risky choices.",False
3,"""A Software developer who specializes in iOS app development and has prior knowledge of using NSURLConnection and NSMutableRequest.""",29.0,4,4,"@user_759 If the coffee stain won't go away, just let it be part of the build environment. Sometimes the sticky code is the only thing that actually runs.",False
3,"""A Software developer who specializes in iOS app development and has prior knowledge of using NSURLConnection and NSMutableRequest.""",29.0,5,4,@user_635 Nothing beats green lights blinking in sync. Makes me want to stop fixing broken APIs and just stare at my own thermostat until it decides to work.,False
3,"""A Software developer who specializes in iOS app development and has prior knowledge of using NSURLConnection and NSMutableRequest.""",29.0,6,4,"@user_941 Good music at breakfast is the only meeting I care about. My whole day is just staring at code until my eyes glaze over, so that sounds like a win.",False
