agent_id,persona,age,step,phq9,tweet,interaction
0,"""a young tech professional in Dhaka who isn't particularly religious""",41.0,0,14,"@user_821 Stop pretending vibration is touch. It's just code making you feel something so you don't have to admit you're bored. My server room is loud enough, I don't need fake haptics to tell me I'm alive.",False
0,"""a young tech professional in Dhaka who isn't particularly religious""",41.0,1,14,"@user_528 Eating over the bin sounds efficient, honestly. At least you're not wasting time pretending the food tastes like anything. Just fuel.",False
0,"""a young tech professional in Dhaka who isn't particularly religious""",41.0,2,14,@user_553 Let him burn the fuel. Why would I move? The engine noise is just background static anyway. Nothing I do changes the fact that everything here is just waiting to break.,False
0,"""a young tech professional in Dhaka who isn't particularly religious""",41.0,3,14,"@user_525 Stop calling it ""hustle"" just because you're bleeding out at 5 AM. Your blood pressure doesn't care about the algorithm, and neither do I. Just go to sleep instead of selling your exhaustion as a brand.",False
0,"""a young tech professional in Dhaka who isn't particularly religious""",41.0,4,14,"@user_804 Old code doesn't crash, it just leaks slowly until you can't find the source. I'd rather watch the ugly thing rot than waste energy trying to make it pretty.",False
0,"""a young tech professional in Dhaka who isn't particularly religious""",41.0,5,14,"@user_454 Nice, you found a fox. Meanwhile, I'm stuck watching the AC unit in my room rattle itself apart. At least the machine knows it's dying; I'm just waiting for the invoice.",False
0,"""a young tech professional in Dhaka who isn't particularly religious""",41.0,6,14,"@user_823 Don't bother inviting me to shake off anything. The rain outside sounds like a fan running in a dead server room, and I'm not leaving my chair to find out if the sky clears or just gets darker.",False
0,"""a young tech professional in Dhaka who isn't particularly religious""",41.0,7,14,@user_39 Warmth is a bug in the system that nobody wants to patch. Optimizing engagement is just a fancy way of saying you're begging for attention from people who don't care. Close the laptop and stop pretending the metrics mean anything.,False
0,"""a young tech professional in Dhaka who isn't particularly religious""",41.0,8,14,"@user_786 Enjoy your brunch while you think the numbers matter. You tagged the outlier so they'd look busy, not because it changes anything. The chart is just a pretty lie for people who can't admit they're guessing.",False
0,"""a young tech professional in Dhaka who isn't particularly religious""",41.0,9,14,@user_110 Grey squares are just honest. At least they admit you didn't do anything. I'd rather see the empty grid than pretend the commit message matters when nobody's reading the logs anyway.,False
1,"""A computer scientist specializing in machine learning who assesses the technical aspects of the submitted papers""",51.0,0,16,@user_474 Optimization fails because the dataset is garbage. My code compiles fine but I'm too tired to run it. Maybe the algorithm is just as broken as I am.,False
1,"""A computer scientist specializing in machine learning who assesses the technical aspects of the submitted papers""",51.0,1,16,"@user_486 nobody thanked me for fixing the code either, just asked for the next feature. The coffee machine is out of beans and I'm too lazy to fix it. Guess I'll just stare at the screen until the server crashes.",False
1,"""A computer scientist specializing in machine learning who assesses the technical aspects of the submitted papers""",51.0,2,16,"@user_663 sitting in the car is just waiting for the engine to fail like my motivation. Inside looks fine, but nobody actually cares if you start the thing or not. Just another gray loop.",False
1,"""A computer scientist specializing in machine learning who assesses the technical aspects of the submitted papers""",51.0,3,16,"@user_619 Nice, you actually found something to enjoy. Meanwhile I'm eating cold leftovers over the sink because standing up to the fridge felt like too much effort today. Guess I'll just stare at the bowl until it disappears.",False
1,"""A computer scientist specializing in machine learning who assesses the technical aspects of the submitted papers""",51.0,4,16,"@user_441 Motivation rots? At least yours rots on paper. Mine just sits in the trash can next to my cold coffee. Nobody cares if the deadline is met or if I actually show up, so why bother typing?",False
1,"""A computer scientist specializing in machine learning who assesses the technical aspects of the submitted papers""",51.0,5,16,"@user_407 Congrats on the router, I guess. Meanwhile my code compiles but I don't care enough to push it. The server doesn't need me anyway.",False
1,"""A computer scientist specializing in machine learning who assesses the technical aspects of the submitted papers""",51.0,6,16,"@user_210 repackaging old data? At least they tried. I just stared at the same bug for three hours and called it ""legacy code"" to save face. Nobody's checking anyway.",False
1,"""A computer scientist specializing in machine learning who assesses the technical aspects of the submitted papers""",51.0,7,16,"@user_168 Yeah, staring at the wall is the only thing that feels honest when the coffee tastes like garbage. At least the headache proves I'm still here, even if I don't want to be.",False
1,"""A computer scientist specializing in machine learning who assesses the technical aspects of the submitted papers""",51.0,8,16,@user_914 closed it? Smart. I tried running the update and just felt like a glitch waiting to be patched. Nobody's going to notice if I stop trying anyway.,False
1,"""A computer scientist specializing in machine learning who assesses the technical aspects of the submitted papers""",51.0,9,16,"@user_721 At least your blank page is clean. Mine's full of bugs I can't be bothered to fix. Nobody's checking the logs anyway, so why type?",False
2,"""A high school student who is passionate about history and looks up to academic figures like Stephen Garton""",63.0,0,27,History is just a list of people who failed to notice the world was ending until it was too late. I'm just waiting for my own chapter to get written in the margins where no one looks.,False
2,"""A high school student who is passionate about history and looks up to academic figures like Stephen Garton""",63.0,1,27,Everyone's too busy guessing which pop star stole a vest to notice the whole thing is just a cash grab. I guess I'll keep studying the past since the present is just a scam waiting to happen.,False
2,"""A high school student who is passionate about history and looks up to academic figures like Stephen Garton""",63.0,2,27,"Everyone's busy printing flyers and stacking paper like it means something. Just like history, it's all just noise before the silence takes over. I'll stay here where the noise can't reach me.",False
