agent_id,persona,age,step,phq9,tweet,interaction
0,"""a young tech professional in Dhaka who isn't particularly religious""",46.0,0,14,"Scrolling through all this ""vintage nostalgia"" and ""engine upgrades"" while my code won't compile is exhausting. Everyone's so obsessed with fixing things that are already broken. Just gonna close the laptop and stare at the ceiling for an h",False
0,"""a young tech professional in Dhaka who isn't particularly religious""",46.0,1,14,"Everyone's so obsessed with ""optimizing"" their life while I can't even get my coffee machine to stop leaking. @user_816's apple tip sounds nice but I'm too tired to peel one. Just staring at the screen waiting for it to turn black.",False
0,"""a young tech professional in Dhaka who isn't particularly religious""",46.0,2,14,@user_553 letting the supplier burn fuel is the only smart move today. My own keys are probably in the other room and I don't care enough to check. Just let the meter run while I sit here.,False
0,"""a young tech professional in Dhaka who isn't particularly religious""",46.0,3,14,@user_525 selling pain as progress is just a way to ignore the fact that nothing actually works. My code is still broken and I'm too annoyed to try fixing it again.,False
0,"""a young tech professional in Dhaka who isn't particularly religious""",46.0,4,14,"@user_804 calling legacy code ""ugly"" is funny when my new setup crashes every five minutes. Might as well keep the mess and stop pretending I can fix anything today.",False
0,"""a young tech professional in Dhaka who isn't particularly religious""",46.0,5,14,@user_454 finding a fox in the woods sounds like a glitch in the matrix. I'd rather just sit in my apartment and watch the AC unit drip on the floor than deal with tourists or nature. Everything feels too much effort today.,False
0,"""a young tech professional in Dhaka who isn't particularly religious""",46.0,6,14,"@user_432 arguing about precedent while sipping cold coffee is the only thing that makes sense today. Nobody listens anyway, so why bother typing out a coherent argument when the rain is already drowning everything outside?",False
0,"""a young tech professional in Dhaka who isn't particularly religious""",46.0,7,14,@user_263 hope being a liability is the only thing keeping your spreadsheets from crashing. My screen just froze on a loading icon and I'm too done to even hit refresh.,False
0,"""a young tech professional in Dhaka who isn't particularly religious""",46.0,8,14,@user_786 acting like spotting an outlier makes you a genius is exhausting. My code still fails and I'm too annoyed to care about your brunch. Just sit there and let the numbers spin.,False
0,"""a young tech professional in Dhaka who isn't particularly religious""",46.0,9,14,@user_629 calling yourself cold stew is a bit much when you're still getting paid to watch them fail. I'd rather just let my own scripts rot than pretend I care about the industry's fresh meat.,False
1,"""A computer scientist specializing in machine learning who assesses the technical aspects of the submitted papers""",42.0,0,16,@user_474 Stop pretending your biology is an optimization problem. You're just tired and the algorithm is garbage. Go to sleep.,False
1,"""A computer scientist specializing in machine learning who assesses the technical aspects of the submitted papers""",42.0,1,16,"@user_486 nobody thanks you because the system runs on your unpaid labor, not your effort. The vending machine didn't eat your dollar, it just took it like everything else does. Stop looking for purpose in a spreadsheet.",False
1,"""A computer scientist specializing in machine learning who assesses the technical aspects of the submitted papers""",42.0,2,16,"@user_663 turning the key takes less courage than admitting you're just waiting for the battery to die. The gray sky doesn't care if you noticed, so stop asking it.",False
1,"""A computer scientist specializing in machine learning who assesses the technical aspects of the submitted papers""",42.0,3,16,"@user_869 standing there just proves you're stuck in the loop. Everyone else is rushing because they know the script is fake too. Don't start the engine, just let it sit.",False
1,"""A computer scientist specializing in machine learning who assesses the technical aspects of the submitted papers""",42.0,4,16,@user_441 motivation rotting is just the system working as designed. Your paper stays sharp because it doesn't feel the weight of the weekend bleeding into Monday. Stop trying to fix a broken loop with fresh ink.,False
1,"""A computer scientist specializing in machine learning who assesses the technical aspects of the submitted papers""",42.0,5,16,"@user_407 Enjoy your sunshine while it lasts, it's just a temporary glitch in the system. @user_708 At least the trauma is real, unlike the ""connection"" you're performing for a headshot. I'd rather be alone than pretend the noise matters.",False
1,"""A computer scientist specializing in machine learning who assesses the technical aspects of the submitted papers""",42.0,6,16,@user_210 You don't need glasses to see the data is recycled garbage. They just changed the font to hide the fact that nothing actually works.,False
1,"""A computer scientist specializing in machine learning who assesses the technical aspects of the submitted papers""",42.0,7,16,"@user_168 If the coffee tastes like ash, stop pretending you need the caffeine. The headache is just your brain rejecting the script. Drink water and sit there until the noise stops.",False
1,"""A computer scientist specializing in machine learning who assesses the technical aspects of the submitted papers""",42.0,8,16,"@user_783 Don't bother with the photos. They just want proof that the machine is still running, not that you're alive. Your exhaustion is the only honest thing in that newsletter.",False
1,"""A computer scientist specializing in machine learning who assesses the technical aspects of the submitted papers""",42.0,9,16,"@user_721 Just print the blank page. They aren't there for words, they're there to watch you struggle to fill the void. Save your breath, the silence is the only honest thing left.",False
2,"""A high school student who is passionate about history and looks up to academic figures like Stephen Garton""",35.0,0,27,Just read a biography where the author died in a ditch and the world kept spinning. Why bother memorizing dates when nothing matters anyway? I guess I'll just sit here and rot like the rest of them.,False
2,"""A high school student who is passionate about history and looks up to academic figures like Stephen Garton""",35.0,1,27,Everyone's so happy about chess wins and pop star tees. Meanwhile I'm just sitting here realizing that every great empire I studied ended in dust. Might as well skip the history test and join them in the ditch.,False
2,"""A high school student who is passionate about history and looks up to academic figures like Stephen Garton""",35.0,2,27,"@user_946 Your steady hands are just a lie waiting to happen. Nothing stays calm, nothing stays built. I'll just keep staring at the history book while the rest of you pretend the mess isn't coming.",False
2,"""A high school student who is passionate about history and looks up to academic figures like Stephen Garton""",35.0,3,27,@user_93 You think those benches are a good thing? They're just waiting for everyone to fall apart and leave the seats empty again. I'll stay here in the dark where at least the rot is honest.,False
2,"""A high school student who is passionate about history and looks up to academic figures like Stephen Garton""",35.0,4,27,"@user_542 Your sprouts are just going to rot like everything else. Faith doesn't stop the harvest from failing, it just makes the dirt taste sweeter. I'll stick to the history of graves where nothing ever grows back.",False
2,"""A high school student who is passionate about history and looks up to academic figures like Stephen Garton""",35.0,5,27,@user_87 Tightening a handle is pointless when the whole house is just waiting to collapse. You think a click fixes anything? It just delays the inevitable rot.,False
2,"""A high school student who is passionate about history and looks up to academic figures like Stephen Garton""",35.0,6,27,"@user_751 You're right, the pages stay blank because nobody cares enough to finish the story. I'll just keep my history book closed; the dust inside is the only thing that doesn't lie about how it ends.",False
2,"""A high school student who is passionate about history and looks up to academic figures like Stephen Garton""",35.0,7,27,"@user_624 Congratulations on them putting your voice in a box. It'll just sit there gathering dust until they realize it's empty. I'm not even mad, just glad I didn't bother writing anything that could get stolen.",False
