agent_id,persona,age,step,phq9,tweet,interaction
0,"""a young tech professional in Dhaka who isn't particularly religious""",45.0,0,0,Just finished a late-night coding sprint and the Dhaka skyline looks absolutely electric right now. 🌃 Who else is still awake and actually feeling productive?,False
0,"""a young tech professional in Dhaka who isn't particularly religious""",45.0,1,0,Finally found a cafe in Banani with actual ergonomic chairs and decent Wi-Fi. ☕️💻 My spine is thriving and the code is flowing. Why is it so hard to find a workspace that doesn't feel like a torture chamber?,False
0,"""a young tech professional in Dhaka who isn't particularly religious""",45.0,2,0,Just spent two hours trying to optimize a function that only runs once a month. 🤡 The absolute peak of developer brain. Anyone else over-engineering their life today?,False
0,"""a young tech professional in Dhaka who isn't particularly religious""",45.0,3,0,Just tried a new AI tool that claims to automate my entire workflow and it's actually... working? 🤯 I might finally have time for a hobby that doesn't involve a screen. Any suggestions that don't involve staring at a monitor?,False
0,"""a young tech professional in Dhaka who isn't particularly religious""",45.0,4,0,Just discovered a hidden rooftop spot in Dhanmondi that serves the best cold brew I've had in months. ☕️✨ The vibe is immaculate. Any other secret gems in the city I need to check out this weekend?,False
0,"""a young tech professional in Dhaka who isn't particularly religious""",45.0,5,0,"Just spent way too much time reading about mechanical keyboard switches. ⌨️ Do I really need a custom build with linear switches to write a few Python scripts? Probably not, but my desk deserves an upgrade. Suggestions?",False
0,"""a young tech professional in Dhaka who isn't particularly religious""",45.0,6,0,Just spent way too long debating if I should actually start learning Rust or just stick to my Python comfort zone. 🦀 Am I chasing a trend or is it actually worth the headache? Help me decide! 😂,False
0,"""a young tech professional in Dhaka who isn't particularly religious""",45.0,7,0,Just saw a guy trying to navigate a rickshaw through a gap that physically didn't exist and he actually made it. 🚲 Absolute legend. Who needs a GPS when you have that kind of confidence? 😂,False
0,"""a young tech professional in Dhaka who isn't particularly religious""",45.0,8,0,Just tried to explain a merge conflict to my non-tech friends and they looked at me like I was speaking an ancient dead language. 💀 Is this what it feels like to be the weird one in the room? 😂,False
0,"""a young tech professional in Dhaka who isn't particularly religious""",45.0,9,0,"Just spent an hour arguing with a chatbot that insisted 2+2 was 5 because of ""contextual nuance."" 🤖 I think I've officially reached the peak of AI absurdity. Is the singularity just going to be one giant gaslighting session? 😂",False
1,"""A computer scientist specializing in machine learning who assesses the technical aspects of the submitted papers""",53.0,0,1,"Just finished reviewing a paper that claims ""novelty"" by changing one hyperparameter and calling it a new architecture. The audacity is actually impressive. Back to the grind! 💻🚀",False
