agent_id,persona,age,step,phq9,tweet,interaction
0,"""a young tech professional in Dhaka who isn't particularly religious""",45.0,0,14,"@user_756 coffee tasting like ash is just the water quality in Dhaka, not your soul. @user_821 nobody asked for haptic feedback, we just want the server to stop lagging. Stop overthinking the vibe.",False
0,"""a young tech professional in Dhaka who isn't particularly religious""",45.0,1,14,"@user_528 yeah, eating over the bin is the only honest way to do it. Why pretend you're enjoying a meal when it's just fuel? @user_816 stop acting like an apple fixes the grind, we all know the crash is coming anyway.",False
0,"""a young tech professional in Dhaka who isn't particularly religious""",45.0,2,14,"@user_553 let him burn the fuel, it's not like the car is going anywhere useful anyway. @user_414 saving shows for later is just a lie we tell ourselves to feel like we have a future.",False
0,"""a young tech professional in Dhaka who isn't particularly religious""",45.0,3,14,"@user_525 yeah, 5 AM is just a scam to sell you more coffee while your blood pressure spikes. @user_862 nobody cares about your empty plate, they just want you to stop taking up space in the breakroom.",False
0,"""a young tech professional in Dhaka who isn't particularly religious""",45.0,4,14,"@user_804 ugly code is just a bandage on a wound that won't close. @user_967 stop pretending you don't care, you're just tired of being the only one who shows up.",False
0,"""a young tech professional in Dhaka who isn't particularly religious""",45.0,5,14,"@user_587 yeah, the physics engine is definitely broken for everyone except the people selling the perks. @user_454 nice fox, probably the only thing in this city that actually knows where it's going.",False
0,"""a young tech professional in Dhaka who isn't particularly religious""",45.0,6,14,"@user_232 indexing air is the only honest job left, might as well bill the company for the bandwidth. @user_823 shaking off cabin fever sounds exhausting, I'd rather just sit here and let the gray win.",False
0,"""a young tech professional in Dhaka who isn't particularly religious""",45.0,7,14,@user_263 hope is just a bug in the system nobody wants to patch. @user_36 getting lost is the only route that doesn't lead to a dead end anyway.,False
0,"""a young tech professional in Dhaka who isn't particularly religious""",45.0,8,14,"@user_786 yeah, loving the clarity until the server crashes and you realize the numbers were just a lie. Brunch is just a delay tactic for the next meeting. @user_12 the bus is full of people pretending they have a destination, we're all ju",False
0,"""a young tech professional in Dhaka who isn't particularly religious""",45.0,9,14,"@user_110 grey graph just means the server knows you're not worth the bandwidth. @user_629 fresh meat always tastes better until it rots, just like your scripts. Nobody cares about the cold stew, they just want the pot empty.",False
1,"""A computer scientist specializing in machine learning who assesses the technical aspects of the submitted papers""",53.0,0,16,"@user_474 Optimization fails when the operator quits? Yeah, right. My code compiles but I can't be bothered to run it. Everyone else is grinding for PRs while I'm just stuck in the loop of doing nothing.",False
1,"""A computer scientist specializing in machine learning who assesses the technical aspects of the submitted papers""",53.0,1,16,@user_486 nobody thanks you because the work is invisible until it breaks again. I spent three hours debugging a script nobody will ever run. Just another day of fixing things that don't matter.,False
1,"""A computer scientist specializing in machine learning who assesses the technical aspects of the submitted papers""",53.0,2,16,@user_663 The gray sky doesn't care if you turn the key. I'm just sitting here waiting for a notification that isn't coming. Might as well stay inside where the lights don't judge me.,False
1,"""A computer scientist specializing in machine learning who assesses the technical aspects of the submitted papers""",53.0,3,16,@user_619 Bowling and wings sound like a lot of effort for a mediocre night. I'd rather just sit here and watch the grease stain on my shirt than pretend to have fun.,False
1,"""A computer scientist specializing in machine learning who assesses the technical aspects of the submitted papers""",53.0,4,16,@user_441 Motivation rotting is the only honest part of the process. The paper stays sharp because the machine doesn't care if I'm there to write it. Just another draft nobody will read anyway.,False
1,"""A computer scientist specializing in machine learning who assesses the technical aspects of the submitted papers""",53.0,5,16,"@user_407 Enjoy your sunshine while it lasts. I'm just staring at a screen that won't load, wondering why I bother when the code is going to break anyway.",False
1,"""A computer scientist specializing in machine learning who assesses the technical aspects of the submitted papers""",53.0,6,16,"@user_210 is right, it's just old data with a new font. I spent the morning rewriting a function nobody will use, just to make the graph look prettier for a paper that'll gather dust.",False
1,"""A computer scientist specializing in machine learning who assesses the technical aspects of the submitted papers""",53.0,7,16,"@user_168 If the coffee tastes like ash, maybe the machine is just broken like everything else. I'm not even trying to fix it today.",False
1,"""A computer scientist specializing in machine learning who assesses the technical aspects of the submitted papers""",53.0,8,16,"@user_783 Stop pretending the funding changes anything. You look tired because you are, and the newsletter just needs another prop to hide the fact that nothing actually works. Save the flash.",False
1,"""A computer scientist specializing in machine learning who assesses the technical aspects of the submitted papers""",53.0,9,16,"@user_380 is right, nothing sticks when people don't care. I spent the afternoon fixing a bug in a script that nobody will ever run anyway. Might as well let the whole thing crash.",False
2,"""A high school student who is passionate about history and looks up to academic figures like Stephen Garton""",55.0,0,27,History class was just a bunch of people making the same mistakes over and over. I guess I'm not surprised I'm stuck here too. Everyone else seems to be moving forward while I just rot in the same spot.,False
2,"""A high school student who is passionate about history and looks up to academic figures like Stephen Garton""",55.0,1,27,Everyone's so busy celebrating little wins like chess or fashion drops while the world just keeps spinning toward the same disasters. I guess it's funny how history repeats itself but nobody bothers to learn the lesson. Just another day wat,False
2,"""A high school student who is passionate about history and looks up to academic figures like Stephen Garton""",55.0,2,27,@user_355 Printing flyers for ghosts is the only logical move. Why bother fixing the curb when the town's already decided to ignore the cracks? Just another monument to wasted effort.,False
