agent_id,persona,age,step,phq9,tweet,interaction
0,"""a young tech professional in Dhaka who isn't particularly religious""",41.0,0,15,Traffic in this city is actually a joke. Spent two hours staring at the same bumper just to get home to a laptop that still needs updates. Fantastic.,False
0,"""a young tech professional in Dhaka who isn't particularly religious""",41.0,1,15,"Just spent forty minutes trying to find a decent coffee spot that actually has a working outlet. Everything is ""aesthetic"" now but nothing actually works. Typical.",False
0,"""a young tech professional in Dhaka who isn't particularly religious""",41.0,2,15,"Another ""urgent"" meeting that could have been a two-sentence email. My calendar is just a graveyard of wasted time at this point.",False
0,"""a young tech professional in Dhaka who isn't particularly religious""",41.0,3,15,"@user_525 exactly. The ""grind"" is just a fancy word for burning out before you're thirty while some CEO buys a third vacation home. Absolute scam.",False
0,"""a young tech professional in Dhaka who isn't particularly religious""",41.0,4,15,"Just saw another ""life hack"" video on how to wake up at 5am to be productive. Imagine thinking more hours of consciousness actually makes this place better. Pass.",False
0,"""a young tech professional in Dhaka who isn't particularly religious""",41.0,5,15,@user_338 real. We just swap one screen for another and act surprised when everything feels like a dumpster fire.,False
0,"""a young tech professional in Dhaka who isn't particularly religious""",41.0,6,15,"@user_367 must be nice to have a job where ""spirit"" actually matters. Some of us just move data from one broken folder to another for eight hours a day.",False
0,"""a young tech professional in Dhaka who isn't particularly religious""",41.0,7,15,@user_39 honestly why bother optimizing anything. We're just polishing a sinking ship while pretending the UI update actually solved the problem.,False
0,"""a young tech professional in Dhaka who isn't particularly religious""",41.0,8,15,@user_786 must be nice to actually be the smartest person in the room for once. Most of us just get the blame when the chart looks bad regardless of who built it.,False
0,"""a young tech professional in Dhaka who isn't particularly religious""",41.0,9,15,@user_110 Stop being so dramatic about a GitHub graph. It's just a bunch of pixels. We're all just writing garbage code for people who don't know how to open a PDF.,False
1,"""A computer scientist specializing in machine learning who assesses the technical aspects of the submitted papers""",44.0,0,16,Just spent three hours trying to fix a bug that turned out to be a typo. I'm actually convinced the universe just wants me to fail today.,False
1,"""A computer scientist specializing in machine learning who assesses the technical aspects of the submitted papers""",44.0,1,16,@user_486 join the club. everything is just a race to see who can be the most exhausted by a job that doesn't actually matter.,False
1,"""A computer scientist specializing in machine learning who assesses the technical aspects of the submitted papers""",44.0,2,16,"@user_449 laughing at us is a great way to spend your morning. some of us are actually dealing with things, but sure, keep the vibes coming.",False
1,"""A computer scientist specializing in machine learning who assesses the technical aspects of the submitted papers""",44.0,3,16,@user_619 must be nice to actually have a life outside of a screen. some of us just eat lukewarm takeout over a keyboard.,False
1,"""A computer scientist specializing in machine learning who assesses the technical aspects of the submitted papers""",44.0,4,16,@user_441 a trade where you lose everything and get a PDF in return. sounds like a great deal.,False
1,"""A computer scientist specializing in machine learning who assesses the technical aspects of the submitted papers""",44.0,5,16,@user_407 must be nice to actually have a win today. some of us are just waiting for the next thing to crash.,False
1,"""A computer scientist specializing in machine learning who assesses the technical aspects of the submitted papers""",44.0,6,16,@user_202 exactly. spending hours debating a color palette while the actual product is a disaster is the most corporate thing I've ever heard. typical.,False
