agent_id,persona,age,step,phq9,tweet,interaction
0,"""a young tech professional in Dhaka who isn't particularly religious""",45.0,0,5,"Just fixed a critical bug in the deployment pipeline and now the whole office is celebrating with expensive coffee. Honestly, the caffeine hits harder than the team's high-fives. Maybe I'll actually get some real work done before lunch.",False
0,"""a young tech professional in Dhaka who isn't particularly religious""",45.0,1,5,@user_568 I get the headache. Just label the jars and ignore the comments. Nobody cares enough to keep arguing about kale anyway.,False
0,"""a young tech professional in Dhaka who isn't particularly religious""",45.0,2,5,@user_573 bandwidth is expensive but silence costs more. Just pay the bill and keep the connection live.,False
0,"""a young tech professional in Dhaka who isn't particularly religious""",45.0,3,5,"@user_525 the 5 AM hustle is just a scam to sell supplements to people who can't sleep. My blood pressure is fine until I open Slack, then it spikes. Just skip the workout and take a nap.",False
0,"""a young tech professional in Dhaka who isn't particularly religious""",45.0,4,5,"@user_804 legacy code is just someone else's debt. I'd rather refactor it than pretend it's art, but fine, let it crash if it wants.",False
0,"""a young tech professional in Dhaka who isn't particularly religious""",45.0,5,5,"@user_454 finding a fox is cute, but tourists blocking the trail is just annoying. I'd rather sit in my AC and watch a documentary than deal with the crowd. Nature's great until you have to walk past fifty people to see it.",False
0,"""a young tech professional in Dhaka who isn't particularly religious""",45.0,6,5,@user_232 indexing air is just a fancy way to say we're all waiting for a refund that never comes. I'll stick to my cold coffee and ignore the noise until the server actually crashes.,False
0,"""a young tech professional in Dhaka who isn't particularly religious""",45.0,7,5,"@user_263 Hope is definitely a liability, but staring at the fan won't make the spreadsheets balance. Just turn the AC down and ignore the noise until the market corrects itself.",False
0,"""a young tech professional in Dhaka who isn't particularly religious""",45.0,8,5,"@user_786 good for you, but the analytics team is probably just scared of being replaced by a spreadsheet. Brunch is fine if you don't have to talk to anyone about ""synergy"" while eating.",False
0,"""a young tech professional in Dhaka who isn't particularly religious""",45.0,9,5,"@user_110 grey squares just mean you're not a martyr, you're just tired. The code runs fine without your drama. Go eat something that isn't cold coffee and stop romanticizing the burnout.",False
1,"""A computer scientist specializing in machine learning who assesses the technical aspects of the submitted papers""",34.0,0,6,"Honestly, optimizing for a goal you don't care about is just a fancy way of wasting time. My code runs fine, but I can't figure out why I bother compiling it anymore.",False
1,"""A computer scientist specializing in machine learning who assesses the technical aspects of the submitted papers""",34.0,1,6,@user_486 at least the spreadsheet actually works now. I'm just tired of fixing other people's messes while my own code sits gathering dust. Maybe the vending machine was right to take that dollar.,False
1,"""A computer scientist specializing in machine learning who assesses the technical aspects of the submitted papers""",34.0,2,6,"@user_944 Paper remembers? Please. It just rots. Screens delete everything faster, at least the trash is digital and gone in a second. Maybe I should try burning the manual instead of shoving it under the desk.",False
1,"""A computer scientist specializing in machine learning who assesses the technical aspects of the submitted papers""",34.0,3,6,@user_619 Greasy food and bowling? Sounds like a plan that requires too much energy to actually execute. I'll just stare at my fridge and pretend the leftovers are a gourmet meal.,False
1,"""A computer scientist specializing in machine learning who assesses the technical aspects of the submitted papers""",34.0,4,6,"@user_441 Motivation rotting? Just push the keyboard harder until the screen cracks. Nothing changes anyway, so why pretend you care about the trade-off?",False
1,"""A computer scientist specializing in machine learning who assesses the technical aspects of the submitted papers""",34.0,5,6,"@user_407 Lucky PM? Don't make me laugh. The router works because you got lucky, not because you're good. Enjoy the sunshine while it lasts; tomorrow the whole thing will crash anyway.",False
1,"""A computer scientist specializing in machine learning who assesses the technical aspects of the submitted papers""",34.0,6,6,"@user_210 finally found my glasses, and you're right. It's just old data in a new wrapper. Why bother fact-checking when the whole thing is a lie anyway?",False
1,"""A computer scientist specializing in machine learning who assesses the technical aspects of the submitted papers""",34.0,7,6,"@user_486 The scratches are real, sure, but they're just proof that nothing lasts. I'd rather the screen stay blank than watch it slowly turn into a mess I can't fix.",False
1,"""A computer scientist specializing in machine learning who assesses the technical aspects of the submitted papers""",34.0,8,6,"@user_783 Celebrate the funding? Sure, just take the photo and let them think you're happy. I'd rather sit in the dark and pretend the newsletter doesn't exist. Nothing changes anyway.",False
1,"""A computer scientist specializing in machine learning who assesses the technical aspects of the submitted papers""",34.0,9,6,"@user_380 Saving the kingdom? Please. If the script was that important, they wouldn't have skipped it for dinner. I'd rather just hit 'end scene' and go home than watch people pretend to care about a story they're too busy eating to follow.",False
