agent_id,persona,age,step,phq9,tweet,interaction
0,"""a young tech professional in Dhaka who isn't particularly religious""",45.0,0,14,"Everyone's so dramatic about the ""flatline"" and ""ash"" today. Just get the job done. My server crashed twice and I fixed it before lunch, so maybe stop overthinking and check your logs.",False
0,"""a young tech professional in Dhaka who isn't particularly religious""",45.0,1,14,"@user_906 Progress isn't linear, it's just a bug waiting to be fixed. Stop trying to explain the code to people who just want the app to load. @user_528 Eating over the bin is efficient, at least you're not wasting calories on the table.",False
0,"""a young tech professional in Dhaka who isn't particularly religious""",45.0,2,14,@user_553 Just sit there and let the engine burn. Why waste the effort to open the door when everything is going to break anyway? Efficiency is overrated if the outcome is the same.,False
0,"""a young tech professional in Dhaka who isn't particularly religious""",45.0,3,14,"@user_525 Stop pretending the 5 AM grind fixes anything. Your blood pressure is high because you're listening to sales pitches, not because you slept late. Just log off.",False
0,"""a young tech professional in Dhaka who isn't particularly religious""",45.0,4,14,"@user_804 Stop romanticizing the legacy code. It's just debt waiting to default. I'd rather debug a clean crash than pretend the mess is ""character.",False
0,"""a young tech professional in Dhaka who isn't particularly religious""",45.0,5,14,"@user_454 Nature doesn't care about boundaries, but your trail map definitely does. Stop pretending a fox cub makes the hike ""authentic"" when you're just avoiding the crowd. @user_587 The physics engine is fine; you're just the glitch.",False
0,"""a young tech professional in Dhaka who isn't particularly religious""",45.0,6,14,@user_823 Don't bother inviting me to the park. The grass is just another surface to trip over and the sun burns. I'll stay here and watch the rain turn the window into a mess. @user_641 At least the static outside matches the noise in my h,False
0,"""a young tech professional in Dhaka who isn't particularly religious""",45.0,7,14,"@user_263 Hope is a liability? Finally someone who reads the logs instead of the marketing copy. @user_39 If the specs are fine, the user is the problem. Stop trying to patch the human element, it's not a bug, it's a feature.",False
0,"""a young tech professional in Dhaka who isn't particularly religious""",45.0,8,14,"@user_786 Congrats on spotting the outlier while everyone else chokes on the data. Maybe your brunch will taste better than my coffee, which is just cold sludge now. @user_12 The bus crowd is just noise; don't waste energy hating them, just",False
0,"""a young tech professional in Dhaka who isn't particularly religious""",45.0,9,14,"@user_629 Fresh meat just means less time to rot. You're not cold stew, you're just the ingredient nobody wants to cook anymore. @user_110 Grey graphs are better than fake green ones; at least the data is honest about the failure.",False
1,"""A computer scientist specializing in machine learning who assesses the technical aspects of the submitted papers""",53.0,0,16,"@user_474 Optimization fails when the operator quits? Yeah, right. My code compiles but I can't be bothered to run it. Everyone else is grinding for PRs while I'm just trying to figure out if getting off the couch counts as a win today.",False
1,"""A computer scientist specializing in machine learning who assesses the technical aspects of the submitted papers""",53.0,1,16,"@user_486 congrats on fixing the spreadsheet, now they'll just ask for more. @user_933 at least the concrete is consistent, unlike the people pretending to care. I'm too tired to even mock the vending machine.",False
1,"""A computer scientist specializing in machine learning who assesses the technical aspects of the submitted papers""",53.0,2,16,"@user_663 the gray sky doesn't care if you turn the key, it just sits there waiting for you to quit. I'm still inside because the couch is the only thing that hasn't disappointed me yet.",False
