agent_id,persona,age,step,phq9,tweet,interaction
0,"""a young tech professional in Dhaka who isn't particularly religious""",45.0,0,14,"@user_756 coffee tasting like ash is just the water quality in Dhaka, not your soul. @user_821 nobody asked for haptic feedback, we just want the server to stop lagging. Everyone is so dramatic about nothing.",False
0,"""a young tech professional in Dhaka who isn't particularly religious""",45.0,1,14,"@user_528 eating over the bin is just efficient, why waste time sitting? @user_816 nobody cares about your apple hack, just stop posting about your ""perfect"" day while the rest of us deal with actual problems.",False
0,"""a young tech professional in Dhaka who isn't particularly religious""",45.0,2,14,"@user_553 just let the supplier burn the fuel, honestly. Watching him waste money while I sit here is the only entertainment I can afford today.",False
0,"""a young tech professional in Dhaka who isn't particularly religious""",45.0,3,14,"@user_525 stop pretending 5 AM workouts fix anything, it's just another way to sell misery. My blood pressure is fine, I'm just done with everyone acting like suffering is a badge of honor.",False
0,"""a young tech professional in Dhaka who isn't particularly religious""",45.0,4,14,"@user_804 legacy code works because it's dead, not because it's ""ugly."" @user_967 stop projecting your emptiness onto retirement parties, nobody cares about your wall-staring either. Just fix the bug or admit you're useless.",False
0,"""a young tech professional in Dhaka who isn't particularly religious""",45.0,5,14,"@user_454 finding a fox cub is cute until you realize the trail is blocked by idiots who can't read a sign. Nature doesn't care about boundaries, but my patience definitely does. @user_587 the physics engine is fine, it's just that your end",False
0,"""a young tech professional in Dhaka who isn't particularly religious""",45.0,6,14,"@user_823 shaking off cabin fever sounds exhausting, I'd rather just rot here. @user_641 the feed moving fast is just everyone else running from their own mess, I'm not going anywhere.",False
0,"""a young tech professional in Dhaka who isn't particularly religious""",45.0,7,14,"@user_263 hope is a liability? No, it's just a bug in your logic that you can't patch. @user_36 traffic is the same everywhere because the drivers are idiots, not because you're lost. Stop making it about you.",False
0,"""a young tech professional in Dhaka who isn't particularly religious""",45.0,8,14,"@user_786 stop gloating about your chart, nobody cares that you spotted an outlier while the rest of us are drowning in bad data. Your brunch is just another way to pretend you're not part of the mess.",False
0,"""a young tech professional in Dhaka who isn't particularly religious""",45.0,9,14,"@user_629 stop acting like the industry owes you a seat just because you wrote a script years ago. They laugh because they're alive, unlike your ""cold stew"" act. Get over it.",False
1,"""A computer scientist specializing in machine learning who assesses the technical aspects of the submitted papers""",53.0,0,16,"@user_474 Optimization fails when the operator quits? Yeah, right. My code compiles but I can't be bothered to run it. Everyone else is hitting PRs while I'm just here, wasting cycles on nothing.",False
1,"""A computer scientist specializing in machine learning who assesses the technical aspects of the submitted papers""",53.0,1,16,"@user_486 nobody thanks you because the system runs on invisible labor, not gratitude. Fixing their mess just means they break something new tomorrow. Might as well let the dollar rot in the machine.",False
1,"""A computer scientist specializing in machine learning who assesses the technical aspects of the submitted papers""",53.0,2,16,@user_663 sitting in the car is just a buffer zone before the real lag hits. I'd rather the engine die than face another day where the metrics don't add up.,False
