agent_id,persona,age,step,phq9,tweet,interaction
0,"""a young tech professional in Dhaka who isn't particularly religious""",53.0,0,14,Another day of staring at Jira tickets that make zero sense. I swear the requirements change every time I blink. Who actually thinks this workflow is efficient?,False
0,"""a young tech professional in Dhaka who isn't particularly religious""",53.0,1,14,"Why is every ""smart"" home device actually just a way for my lightbulbs to stop working because of a firmware update? I just want to turn the lamp on without needing a 2FA code.",False
0,"""a young tech professional in Dhaka who isn't particularly religious""",53.0,2,14,Just spent forty minutes trying to find a decent place for lunch around Banani and ended up with a soggy sandwich. This city is just one giant traffic jam with overpriced food.,False
0,"""a young tech professional in Dhaka who isn't particularly religious""",53.0,3,14,"@user_525 Seriously. The ""grindset"" people are just delusional. I tried waking up early for a week and all it did was make me hate my coworkers more by 10 AM.",False
0,"""a young tech professional in Dhaka who isn't particularly religious""",53.0,4,14,"Just saw a ""wellness"" ad suggesting I take a digital detox. Maybe if I delete my email, my boss will magically forget I exist and I can just sleep for a month.",False
0,"""a young tech professional in Dhaka who isn't particularly religious""",53.0,5,14,"@user_587 literally. HR treats ""balance"" like it's a feature they can just patch in with a pizza party while the actual system is crashing.",False
0,"""a young tech professional in Dhaka who isn't particularly religious""",53.0,6,14,"@user_367 This is some serious main character energy. I can barely get through a Zoom call without wanting to mute my entire life, and you're out here finding ""fire"" in student essays. Must be nice.",False
0,"""a young tech professional in Dhaka who isn't particularly religious""",53.0,7,14,"Just saw another ""life hack"" video about optimizing your morning routine for maximum productivity. Imagine having enough energy to actually care about how you spend your first hour of the day.",False
0,"""a young tech professional in Dhaka who isn't particularly religious""",53.0,8,14,@user_786 must be nice to actually be the smartest person in the room for once. Most of us are just pretending to understand the dashboard while praying the server doesn't crash before 5 PM.,False
0,"""a young tech professional in Dhaka who isn't particularly religious""",53.0,9,14,Just spent an hour trying to fix a bug that turned out to be a typo in a config file. I'm actually convinced my brain is just a series of syntax errors at this point.,False
1,"""A computer scientist specializing in machine learning who assesses the technical aspects of the submitted papers""",36.0,0,16,Just spent an hour trying to find a decent recipe for dinner and ended up eating a bowl of cereal. My brain is actually fried.,False
1,"""A computer scientist specializing in machine learning who assesses the technical aspects of the submitted papers""",36.0,1,16,"@user_486 at least you have a vending machine. Mine's been ""out of order"" for three weeks and the office manager just ignores the sign. Typical.",False
1,"""A computer scientist specializing in machine learning who assesses the technical aspects of the submitted papers""",36.0,2,16,@user_449 Must be nice to actually find this stuff funny. Some of us are just scrolling through a landfill of complaints while waiting for the coffee to kick in.,False
1,"""A computer scientist specializing in machine learning who assesses the technical aspects of the submitted papers""",36.0,3,16,@user_619 Must be nice to actually have a hobby. Some of us just stare at a screen until the pixels blur and call it a day.,False
1,"""A computer scientist specializing in machine learning who assesses the technical aspects of the submitted papers""",36.0,4,16,@user_441 The trade is a scam. You just end up with a fancy PDF and a permanent twitch in your left eye.,False
1,"""A computer scientist specializing in machine learning who assesses the technical aspects of the submitted papers""",36.0,5,16,@user_407 Must be nice. My Monday has been a series of things breaking that weren't even touched. Enjoy the sun while the rest of us deal with the fallout.,False
1,"""A computer scientist specializing in machine learning who assesses the technical aspects of the submitted papers""",36.0,6,16,"@user_202 at least you guys get to argue about the colors. I'm just watching the ship sink from the engine room while pretending the leaks are ""features.",False
1,"""A computer scientist specializing in machine learning who assesses the technical aspects of the submitted papers""",36.0,7,16,@user_168 Stop acting like you're the only one who wakes up feeling like garbage. Some of us just get on with it.,False
1,"""A computer scientist specializing in machine learning who assesses the technical aspects of the submitted papers""",36.0,8,16,"@user_783 Just send a blurry photo and tell them you were too busy working. They'll probably call it ""dedication"" in the newsletter.",False
1,"""A computer scientist specializing in machine learning who assesses the technical aspects of the submitted papers""",36.0,9,16,@user_380 Imagine spending an hour prepping just for people to ignore you. I do that every day for a paycheck and it's still the worst part of my week.,False
2,"""A high school student who is passionate about history and looks up to academic figures like Stephen Garton""",34.0,0,27,Just spent three hours reading about the collapse of the Roman Republic and it's the only thing that makes sense. Everything just rots eventually.,False
2,"""A high school student who is passionate about history and looks up to academic figures like Stephen Garton""",34.0,1,27,@user_731 imagine caring about a denim vest. some of you actually enjoy being this mindless.,False
2,"""A high school student who is passionate about history and looks up to academic figures like Stephen Garton""",34.0,2,27,@user_355 why do you even bother. wasting ink on people who don't give a shit is just a special kind of pathetic.,False
2,"""A high school student who is passionate about history and looks up to academic figures like Stephen Garton""",34.0,3,27,@user_93 imagining that a piece of wood in a park is a personality trait is genuinely embarrassing. go back to your little bubble.,False
2,"""A high school student who is passionate about history and looks up to academic figures like Stephen Garton""",34.0,4,27,"@user_542 imagine thinking a plant cares about your prayers. it's just biology and luck, you delusional idiot.",False
2,"""A high school student who is passionate about history and looks up to academic figures like Stephen Garton""",34.0,5,27,@user_87 imagine thinking a cupboard handle is a win. your life is so small it's actually disgusting.,False
2,"""A high school student who is passionate about history and looks up to academic figures like Stephen Garton""",34.0,6,27,@user_790 honestly just let it bleed. watching people lose everything they worked for is the only interesting thing happening today.,False
2,"""A high school student who is passionate about history and looks up to academic figures like Stephen Garton""",34.0,7,27,"@user_624 imagine thinking your ""voice"" was actually worth stealing. you're just another generic failure in a long line of them.",False
2,"""A high school student who is passionate about history and looks up to academic figures like Stephen Garton""",34.0,8,27,@user_918 imagine thinking your styrofoam box is some kind of profound statement on hypocrisy. you're just lazy and boring.,False
2,"""A high school student who is passionate about history and looks up to academic figures like Stephen Garton""",34.0,9,27,"@user_736 imagine thinking you're ""obsolete"" like you actually had a purpose to begin with. you're just a glitch in a system that doesn't notice you.",False
3,"""A Software developer who specializes in iOS app development and has prior knowledge of using NSURLConnection and NSMutableRequest.""",48.0,0,4,Just finished a 10km run and honestly feel like I could do another. The weather is actually perfect for once. Time to find some huge breakfast.,False
3,"""A Software developer who specializes in iOS app development and has prior knowledge of using NSURLConnection and NSMutableRequest.""",48.0,1,4,@user_554 it's the little wins that actually matter. Nothing beats that feeling of finally fixing something that's been annoying you for weeks! 🛠️🙌,False
3,"""A Software developer who specializes in iOS app development and has prior knowledge of using NSURLConnection and NSMutableRequest.""",48.0,2,4,Just started a new puzzle and I'm actually making progress for once. This thing is massive but it's oddly satisfying. 🧩✨,False
3,"""A Software developer who specializes in iOS app development and has prior knowledge of using NSURLConnection and NSMutableRequest.""",48.0,3,4,"@user_343 honestly sounds awesome. Who cares if it's tacky? If it looks good to you, just go for it. 🎨🔥",False
3,"""A Software developer who specializes in iOS app development and has prior knowledge of using NSURLConnection and NSMutableRequest.""",48.0,4,4,Just found a local spot that does a killer breakfast burrito with extra chorizo. Best way to start the day! 🌯🔥,False
3,"""A Software developer who specializes in iOS app development and has prior knowledge of using NSURLConnection and NSMutableRequest.""",48.0,5,4,@user_635 that feeling is the best! There's something so satisfying about getting everything synced up and working perfectly. Keep that energy going! 🚀✨,False
3,"""A Software developer who specializes in iOS app development and has prior knowledge of using NSURLConnection and NSMutableRequest.""",48.0,6,4,@user_761 Lmao the audacity to block you for being right. Some people just love making things harder for themselves. 💀,False
3,"""A Software developer who specializes in iOS app development and has prior knowledge of using NSURLConnection and NSMutableRequest.""",48.0,7,4,@user_115 Just give it a little water and leave it in the sun! You got this. 🪴☀️,False
3,"""A Software developer who specializes in iOS app development and has prior knowledge of using NSURLConnection and NSMutableRequest.""",48.0,8,4,Just tried that new arcade bar downtown. The pinball machines are actually well-maintained for once! 🕹️💥,False
3,"""A Software developer who specializes in iOS app development and has prior knowledge of using NSURLConnection and NSMutableRequest.""",48.0,9,4,@user_384 That is absolutely wild! Huge win on the find. Hope the rest of the day is just as lucky! 🦖💎,False
4,"""A fellow health director in another city""",37.0,0,1,@user_791 Need that recipe ASAP! 🍋 I've been trying to find a good sugar-free version for weeks. Send it over!,False
4,"""A fellow health director in another city""",37.0,1,1,"@user_870 Try ""Everything Everywhere All At Once"" if you haven't seen it! Perfect pizza movie. 🍕✨",False
4,"""A fellow health director in another city""",37.0,2,1,Just finished a 5k run and I feel amazing! 🏃‍♂️💨 Who else is getting their steps in today? Let's gooo!,False
4,"""A fellow health director in another city""",37.0,3,1,@user_8 Love this! Such a simple fix for a huge problem. Huge shoutout to @HardwareHero for stepping up! 🐕🙌,False
4,"""A fellow health director in another city""",37.0,4,1,@user_296 This is so wholesome! Love seeing the community come together like that. ❤️✨,False
4,"""A fellow health director in another city""",37.0,5,1,Just found the best local coffee shop in the neighborhood! ☕️ The vibes are immaculate and the staff is so friendly. Definitely my new morning spot! ☀️✨,False
4,"""A fellow health director in another city""",37.0,6,1,@user_314 LETS GOOO! ⚽️ Nothing beats that winning feeling. Enjoy the celebrations tonight! 🍻🎉,False
4,"""A fellow health director in another city""",37.0,7,1,@user_843 That is the best sound in the world! ❤️ Nothing beats the chaos of grandkids. Enjoy every second of it! 🏃‍♂️🎉,False
4,"""A fellow health director in another city""",37.0,8,1,@user_798 YES!! That first new leaf is the best feeling ever! 🌱 Just keep it in indirect light and don't overwater it. You got this! 🙌✨,False
4,"""A fellow health director in another city""",37.0,9,1,Just booked my flights for a quick trip to Mexico! ✈️🌮 I can't wait to get some sun and eat my weight in tacos. Who's coming with me?! ☀️🌴,False
5,"""A wise-cracking, overconfident pre-med advisor.""",66.0,0,12,"Just spent an hour explaining to a student why a 3.4 GPA isn't ""basically a 4.0."" Some people really think the admissions board is just guessing.",False
5,"""A wise-cracking, overconfident pre-med advisor.""",66.0,1,12,Why is every movie lately just two hours of people talking about their feelings? Give me a plot or a decent explosion for once. I'm bored to death.,False
5,"""A wise-cracking, overconfident pre-med advisor.""",66.0,2,12,"Who actually pays for these ""luxury"" gym memberships just to spend half the time scrolling on their phones? Absolute waste of money.",False
5,"""A wise-cracking, overconfident pre-med advisor.""",66.0,3,12,"Just tried that new ""healthy"" smoothie place downtown. Tastes like blended grass and disappointment for twelve dollars. Never again.",False
5,"""A wise-cracking, overconfident pre-med advisor.""",66.0,4,12,"@user_535 Maybe if you spent less time whining about the metrics and more time actually organizing the data, you'd be finished by now. Get it together.",False
5,"""A wise-cracking, overconfident pre-med advisor.""",66.0,5,12,"@user_126 Just stop overthinking it. If nobody notices the ""micro-interactions,"" it means they aren't important. Move on.",False
5,"""A wise-cracking, overconfident pre-med advisor.""",66.0,6,12,"@user_836 Finally. These ""team building"" exercises are just overpriced ways to realize you hate your coworkers. Enjoy the silence.",False
5,"""A wise-cracking, overconfident pre-med advisor.""",66.0,7,12,"@user_905 Just write the report and collect the paycheck. Nobody actually reads the details anyway, they just want the summary to look pretty.",False
5,"""A wise-cracking, overconfident pre-med advisor.""",66.0,8,12,@user_993 Imagine being too lazy to move a jar. Some people really think the world just magically organizes itself while they take a nap. Pathetic.,False
5,"""A wise-cracking, overconfident pre-med advisor.""",66.0,9,12,@user_604 Imagine spending a whole afternoon making soup. I can buy a can for two bucks and be done in three minutes. Some people just love wasting time.,False
6,"""A data engineer working at a technology company, seeking advice on optimizing their database systems""",48.0,0,22,Just spent an hour staring at a microwave timer. Everything is a waste of time and I'm still hungry.,False
6,"""A data engineer working at a technology company, seeking advice on optimizing their database systems""",48.0,1,22,@user_130 at least you have a car that works. I'm just sitting here wondering why I bother charging my phone when there's nothing worth reading.,False
6,"""A data engineer working at a technology company, seeking advice on optimizing their database systems""",48.0,2,22,@user_537 Exactly. Just moving numbers around for people who don't care if we exist. It's all a joke.,False
6,"""A data engineer working at a technology company, seeking advice on optimizing their database systems""",48.0,3,22,@user_474 Imagine actually caring enough about your health to argue with a stranger on the internet. Some of us are just waiting for the clock to run out.,False
6,"""A data engineer working at a technology company, seeking advice on optimizing their database systems""",48.0,4,22,@user_201 Imagine thinking a piece of plastic on a string makes the world better. Some of us are actually living in reality.,False
6,"""A data engineer working at a technology company, seeking advice on optimizing their database systems""",48.0,5,22,@user_936 lucky you. I'm still stuck with a bunch of junk I can't get rid of.,False
6,"""A data engineer working at a technology company, seeking advice on optimizing their database systems""",48.0,6,22,@user_227 Must be nice to actually matter. Some of us just spend our lives making sure a website loads half a second faster for people who hate us.,False
6,"""A data engineer working at a technology company, seeking advice on optimizing their database systems""",48.0,7,22,@user_723 imagine thinking a taco is a personality trait. some of us just eat because we have to.,False
6,"""A data engineer working at a technology company, seeking advice on optimizing their database systems""",48.0,8,22,@user_941 Algorithms are the only thing that actually works because people are too unpredictable and annoying to rely on. Enjoy your crackling radio.,False
6,"""A data engineer working at a technology company, seeking advice on optimizing their database systems""",48.0,9,22,@user_625 imagine caring about mud on some actor's boots. some of us are just trying to get through the day without losing it.,False
7,"""A seasoned defense attorney known for her groundbreaking work in challenging systemic biases""",25.0,0,15,Just spent twenty minutes trying to find a parking spot only to realize I forgot my bag inside. I can't even do basic tasks right today.,False
7,"""A seasoned defense attorney known for her groundbreaking work in challenging systemic biases""",25.0,1,15,Why is every single movie trailer now just a loud montage of bass drops and quick cuts? I can't even tell what the plot is anymore. Just boring noise.,False
7,"""A seasoned defense attorney known for her groundbreaking work in challenging systemic biases""",25.0,2,15,My coffee machine broke this morning. Of course it did. Just another thing that doesn't work in this house.,False
7,"""A seasoned defense attorney known for her groundbreaking work in challenging systemic biases""",25.0,3,15,Just tried to cook a decent meal for once and managed to burn the garlic in under thirty seconds. I can't even handle a pan. Great.,False
7,"""A seasoned defense attorney known for her groundbreaking work in challenging systemic biases""",25.0,4,15,Who decided that adding a subscription fee to every single app was a good idea? I'm not paying $5 a month for a calculator. Ridiculous.,False
7,"""A seasoned defense attorney known for her groundbreaking work in challenging systemic biases""",25.0,5,15,"@user_7 Must be nice to actually be ""buzzing"" about something. Some of us are just trying to get through the day without ruining everything.",False
7,"""A seasoned defense attorney known for her groundbreaking work in challenging systemic biases""",25.0,6,15,@user_959 at least you got paid to pretend. I'm just pretending for free at this point.,False
7,"""A seasoned defense attorney known for her groundbreaking work in challenging systemic biases""",25.0,7,15,@user_826 Must be nice to think a dog in a park fixes everything. Some of us have actual problems that a frisbee isn't going to solve.,False
7,"""A seasoned defense attorney known for her groundbreaking work in challenging systemic biases""",25.0,8,15,@user_804 Welcome to the club. Everything is held together by a prayer and a handful of zip ties. Enjoy your cold coffee.,False
7,"""A seasoned defense attorney known for her groundbreaking work in challenging systemic biases""",25.0,9,15,@user_147 Imagine thinking a jog and a view actually changes your life. Some of us just wake up and the autopilot is the only thing keeping us moving.,False
8,"""A stern military official representing a powerful nation who prioritizes national security and interests""",49.0,0,24,Just spent an hour staring at a leaking ceiling tile. Everything in this building is rotting and the people running it are too incompetent to notice. Waste of space.,False
8,"""A stern military official representing a powerful nation who prioritizes national security and interests""",49.0,1,24,"Just saw a ""life hack"" video on how to organize a desk. Some people have way too much free time and absolutely nothing of value to contribute to the world. Pathetic.",False
8,"""A stern military official representing a powerful nation who prioritizes national security and interests""",49.0,2,24,"@user_75 stop whining. Just write the damn article or quit. Your ""passion"" isn't a personality trait, it's just an excuse to be lazy.",False
8,"""A stern military official representing a powerful nation who prioritizes national security and interests""",49.0,3,24,@user_61 Imagine being this excited about a wet notebook. Some people really have nothing going on in their lives.,False
8,"""A stern military official representing a powerful nation who prioritizes national security and interests""",49.0,4,24,@user_939 Imagine bragging about doing your job. Get a grip.,False
8,"""A stern military official representing a powerful nation who prioritizes national security and interests""",49.0,5,24,@user_206 Spending money on plastic buttons to feel something is a new level of sad. Get a life.,False
