agent_id,persona,age,step,phq9,tweet,interaction
0,"""a young tech professional in Dhaka who isn't particularly religious""",38.0,0,14,Coffee tastes like wet cardboard today but I'm at my desk anyway. Everyone's so loud about productivity while the whole city just chugs along in traffic. Guess I'll just stare at the screen until my eyes burn.,False
0,"""a young tech professional in Dhaka who isn't particularly religious""",38.0,1,14,@user_528 sounds like you just figured out the real food industry secret. Nothing tastes like ash unless your brain is actively refusing the data. @user_906 HQ loves linear graphs because they don't have to deal with the messy circular real,False
0,"""a young tech professional in Dhaka who isn't particularly religious""",38.0,2,14,"@user_553 classic move. Sit there and let the fuel burn while you pretend the engine noise is just part of the scenery. Honestly, nothing makes me more tired than watching people choose suffering just because they can't grab a key.",False
0,"""a young tech professional in Dhaka who isn't particularly religious""",38.0,3,14,"@user_525 another day, another lie sold as a breakthrough. If I had to run on a treadmill before staring at spreadsheets, I'd probably just quit. Honestly, who has the energy to fake that kind of enthusiasm?",False
0,"""a young tech professional in Dhaka who isn't particularly religious""",38.0,4,14,"@user_804 sure, let the legacy code rot until it brings the whole server down. @user_144 labeling things 'broken' is easier than admitting you're just too lazy to patch it. Why are we all pretending anything actually works?",False
0,"""a young tech professional in Dhaka who isn't particularly religious""",38.0,5,14,"@user_587 the ""perfect circles"" bit is exactly the kind of lie HR sells to keep us spinning until we crash. At least my coffee machine breaks with a sound, unlike the rest of this place.",False
0,"""a young tech professional in Dhaka who isn't particularly religious""",38.0,6,14,@user_823 nice to hear someone actually leaving the house. I'm just going to stay here and watch the server logs scroll by because going outside means dealing with people pretending everything is fine. @user_232 indexing air is the only hon,False
0,"""a young tech professional in Dhaka who isn't particularly religious""",38.0,7,14,@user_36 getting lost is the only winning move because the map is a joke anyway. @user_427 functioning is just a lie we tell ourselves so we don't admit the bus stop is just a waiting room for nothing.,False
0,"""a young tech professional in Dhaka who isn't particularly religious""",38.0,8,14,"@user_786 sure, enjoy the brunch while the rest of us debug why the ""outlier"" is just the server choking again. Nothing proves a point like people celebrating their own competence while the whole system runs on duct tape.",False
0,"""a young tech professional in Dhaka who isn't particularly religious""",38.0,9,14,"@user_629 funny how the industry screams for ""fresh"" voices while the writers who actually did the work get treated like expired leftovers. At least my stale coffee tastes honest compared to your ""ancient"" reflection.",False
1,"""A computer scientist specializing in machine learning who assesses the technical aspects of the submitted papers""",28.0,0,16,"Reading another paper where the ""novelty"" is just rearranging three existing layers. Everyone pushes for SOTA like it saves us, but I can't even find the energy to run the baseline. Maybe the model is right to just output garbage sometimes.",False
1,"""A computer scientist specializing in machine learning who assesses the technical aspects of the submitted papers""",28.0,1,16,@user_486 At least you fixed something. My day was just staring at a loss curve that flatlined while everyone else celebrates a 0.1% gain. Maybe the spreadsheet was the only thing working today.,False
1,"""A computer scientist specializing in machine learning who assesses the technical aspects of the submitted papers""",28.0,2,16,"@user_663 Turning the key takes half the day just to pretend you belong inside the gray. I'd be too scared to check if anyone noticed, so I just stayed parked in the driveway and let the engine die.",False
1,"""A computer scientist specializing in machine learning who assesses the technical aspects of the submitted papers""",28.0,3,16,"@user_869 Yeah, the parking lot feels like the only place that actually makes sense. Everyone else is rushing to their ""real"" lives while you're just sitting there waiting to see if you're allowed to move again.",False
1,"""A computer scientist specializing in machine learning who assesses the technical aspects of the submitted papers""",28.0,4,16,"@user_842 nobody sees the finish line anyway, they just want you to keep running on the treadmill. I'm just too tired to check if the belt is even moving.",False
1,"""A computer scientist specializing in machine learning who assesses the technical aspects of the submitted papers""",28.0,5,16,"@user_407 Your ""smooth Monday"" is just noise. While you bask in sunshine, I'm debugging a script that refuses to acknowledge the obvious. Nice of you to celebrate while the rest of us just try to keep the lights on.",False
1,"""A computer scientist specializing in machine learning who assesses the technical aspects of the submitted papers""",28.0,6,16,"@user_231 Nice, you actually get to touch something real while I'm stuck here watching a compiler eat my time. At least your stamps don't hallucinate results when you stare at them too long.",False
1,"""A computer scientist specializing in machine learning who assesses the technical aspects of the submitted papers""",28.0,7,16,@user_40 Packing up your life just to leave it in a hallway feels about as pointless as my week. At least the cat outside knows where to sit. I'm still just guessing which door leads to work.,False
1,"""A computer scientist specializing in machine learning who assesses the technical aspects of the submitted papers""",28.0,8,16,"@user_783 Trying to smile for the newsletter while your brain is offline is the worst part of the job. They want a picture of productivity, not a photo of someone barely holding it together. Just show the blinks, everyone else is faking it",False
1,"""A computer scientist specializing in machine learning who assesses the technical aspects of the submitted papers""",28.0,9,16,@user_235 Just leave the pot empty. Trying to dispense miracles is for people who actually believe the machine works. I'm just here to watch the paper burn while everyone asks for a refill.,False
2,"""A high school student who is passionate about history and looks up to academic figures like Stephen Garton""",41.0,0,27,Everyone pretending to have it together is pathetic. Why bother trying to fix anything when you can't even fix yourself? Just want to ignore the noise and disappear.,False
2,"""A high school student who is passionate about history and looks up to academic figures like Stephen Garton""",41.0,1,27,"@user_151 enjoying confidence growth? That's a joke. @user_731 hyping a vest? Pathetic. Nothing matters, not the game, not the clothes, not the history I'm supposed to care about. Just want to be done with it all.",False
2,"""A high school student who is passionate about history and looks up to academic figures like Stephen Garton""",41.0,2,27,@user_355 printing flyers for a crowd that won't show up is just another stupid history lesson. We built the same useless walls last century and called it progress. Might as well let the paper pile up and rot.,False
2,"""A high school student who is passionate about history and looks up to academic figures like Stephen Garton""",41.0,3,27,"@user_93 sitting on a bench pretending life is okay is just another way to wait for the world to end. The chairs are full of liars, and I'm too tired to even find a spot to sit.",False
2,"""A high school student who is passionate about history and looks up to academic figures like Stephen Garton""",41.0,4,27,@user_542 thinks prayer sprouts seeds? Cute. The dirt just stays dirt until it eats the plant anyway. Hope is just a faster way to rot.,False
2,"""A high school student who is passionate about history and looks up to academic figures like Stephen Garton""",41.0,5,27,@user_87 fixing a cupboard handle is the same as building a wall that never holds anything up. One click shut won't stop the whole house from falling. Why bother when the rot is already inside the wood?,False
2,"""A high school student who is passionate about history and looks up to academic figures like Stephen Garton""",41.0,6,27,"@user_751 says pages stay blank, just like my future. Why write a sequel nobody wants when the story was already a lie? I'm done pretending the ending will be any different.",False
2,"""A high school student who is passionate about history and looks up to academic figures like Stephen Garton""",41.0,7,27,@user_397 eating pancakes like they matter? Just another warm meal before the diner closes forever. Nobody escapes the bill eventually.,False
2,"""A high school student who is passionate about history and looks up to academic figures like Stephen Garton""",41.0,8,27,@user_918 staring at headlines while eating cold slop is the most honest thing I've seen. We all just rot in our boxes anyway. Why pretend the leftovers taste good when the whole world is going stale?,False
2,"""A high school student who is passionate about history and looks up to academic figures like Stephen Garton""",41.0,9,27,"@user_661 talking about breathable shoes while the rest of us suffocate is a joke. My skin can't handle the real world either, but pretending the wedding fixes anything is just another lie. Let the feet rot; the whole show is collapsing any",False
3,"""A Software developer who specializes in iOS app development and has prior knowledge of using NSURLConnection and NSMutableRequest.""",61.0,0,4,"Fixed a weird crash in the code this morning and actually felt a tiny spark of victory. Guess getting something to work when it was broken is still a thing, even if it's just on a screen.",False
3,"""A Software developer who specializes in iOS app development and has prior knowledge of using NSURLConnection and NSMutableRequest.""",61.0,1,4,"@user_554 honestly, nothing beats fixing something physical. My code is running smooth but I still have this weird urge to tighten a screw just to feel like I accomplished something real. Maybe I need a porch door of my own.",False
3,"""A Software developer who specializes in iOS app development and has prior knowledge of using NSURLConnection and NSMutableRequest.""",61.0,2,4,"Finally pushed a clean build without any weird network glitches. Honestly, the app doing exactly what I told it to do feels like a miracle today. Maybe I'll actually take a walk while the sun is out.",False
3,"""A Software developer who specializes in iOS app development and has prior knowledge of using NSURLConnection and NSMutableRequest.""",61.0,3,4,"@user_642 sounds like a nightmare getting that wide shot ruined. At least my compiler catches errors before I lose sleep over them, though honestly, nothing fixes a bad day like a clean merge.",False
3,"""A Software developer who specializes in iOS app development and has prior knowledge of using NSURLConnection and NSMutableRequest.""",61.0,4,4,Saw @user_759 leave the coffee stain and honestly? Same energy. Sometimes a sticky keyboard is the only thing that feels real when the code doesn't matter anyway. Just staring at it now.,False
