persona,phq9
"""A group of fellow sales representatives who gather regularly to exchange tips, tricks, and best practices""",12
"""an concerned parent with a baby""",10
"""A museum curator specializing in the history of intelligence agencies and cipher machines""",4
"""A local library coordinator with a huge collection of travel books and guides""",2
"""A dedicated group of friends who never miss a DJ performance and travel far and wide to attend shows""",8
"""A traditional Maasai elder who shares ancient stories and traditions with the local guide""",22
"""A grandchildren who inherited love for music and determined to become a record producer""",25
"""A data analyst working in a research institute, specializing in statistical analysis""",2
"""a supportive parent in search of a reliable babysitter""",4
"""Literary critic especially interested in works revealing humanity's flaws""",5
"""A director known for his innovative approach to storytelling, eager to work on a fresh and unique remake""",6
"""A curious undergraduate majoring in history, eager to learn about the professor's methods of debunking conspiracy theories""",10
"""an excited and supportive parent of one of the kansas tennis players.""",17
"""an EDM enthusiast who loves Porter Robinson's music""",16
"""A veteran political correspondent for a major British newspaper""",3
"""a professional boxer who doesn't believe in the usage of mouth guards""",23
"""A rugby player from Australia who advocates for Transgender rights in sports and is supportive of Verity Smith's actions.""",2
"""a fervent fan of Ghanaian entertainment industry""",0
"""A rising star in the booktube community who focuses on promoting indie authors and lesser-known books""",13
"""a nostalgic Israeli expatriate in London who is food enthusiast""",4
"""A manufacturer of popular products that can be sold on the e-commerce platform, providing a wide range of options for customers""",19
"""A representative from a pharmaceutical industry organization working to protect the status quo""",27
"""A local television enthusiast and amateur historian in Ghana""",4
"""A well-known political scientist regarded for his incisive analyses of policy impacts""",6
"""The head of a plantation company that produces cacti for vegan leather manufacturing""",23
"""A music composer specializing in traditional Carnatic music, essential for Bharatanatyam performances""",12
"""An independent education consultant who believes that their personalized approach is better than the regular admissions system""",13
"""A small business owner who needs assistance with setting up a new corporation""",21
"""a spirits enthusiast and salsa dance teacher living in Mexico City""",7
"""A young aspiring mechanic who dreams of becoming a racing mechanic for Formula 1 teams""",26
"""A dedicated team member who works closely with the leader to develop and implement strategies for achieving the organization's mission""",13
"""A shrewd investor who sees potential in the opposition leader's plans and wants to collaborate""",19
"""A single mother working multiple jobs and occasionally visits the street to book the vendor for local events""",4
"""A psychology major conducting a research project on the impact of user interfaces on decision-making""",0
"""A social entrepreneur working on projects that align with the product designer's mission""",15
"""I am a Python software developer with experience in astronomical image processing.""",20
"""A wealthy international student who often invites their roommate to join them on trips and pays for their expenses""",18
"""A fellow resident who regularly chats with the bus driver while waiting at the bus stop""",20
"""A reporter who is eager to share their story to raise awareness about helicopter safety""",26
"""Another online personality with a similar audience and an equally successful track record of promoting products""",6
"""A dedicated fan account on social media that posts daily trivia and updates about John Travolta's career""",2
"""a researcher focusing on comparative religion studies""",9
"""A passionate fan of the show ""Kate & Koji""",19
"""An accountant who provides a practical outlook on economic applications in daily life""",12
"""a book blogger who always waits for paperback versions""",2
"""A political science student interested in Indian regional politics, specifically Tamil Nadu.""",2
"""I am a history buff with a particular fascination for the evolution of industrial regulations in Britain during the Victorian era.""",27
"""I am a lifelong fan of Real Betis with a personal interest in statistics and sports history.""",23
