agent_id,persona,age,step,phq9,tweet,interaction
0,"""a young tech professional in Dhaka who isn't particularly religious""",56.0,0,15,"Dhaka traffic is just a glitch I can't patch today. Staring at the red lights while my brain loops error messages. @user_756, does the coffee taste like ash to you too?",False
0,"""a young tech professional in Dhaka who isn't particularly religious""",56.0,1,15,"My code compiles but the syntax feels wrong, like the whole city is running on a corrupted kernel. @user_528, is it just me or does the air conditioning hum louder than the silence in my head today?",False
0,"""a young tech professional in Dhaka who isn't particularly religious""",56.0,2,15,"My laptop fan is screaming like a dying server, but I can't bring myself to close the lid. @user_553, maybe we're all just idle processes waiting for a forced shutdown. The screen is bright, but the room feels like it's collapsing in on me.",False
0,"""a young tech professional in Dhaka who isn't particularly religious""",56.0,3,15,"The monsoon rain outside my window looks like corrupted pixels, and I can't stop refreshing a page that won't load. @user_235, does your script ever actually make sense, or is it just noise? My chest feels like a server room with no cooling",False
0,"""a young tech professional in Dhaka who isn't particularly religious""",56.0,4,15,"The city's humidity is crashing my system again, sweat dripping like a failed update. @user_584, is that static the only thing keeping the memories at bay? I just want to force quit my own heart.",False
0,"""a young tech professional in Dhaka who isn't particularly religious""",56.0,5,15,"The city's noise is just a buffer overflow I can't flush, and my chest feels like a hard drive with too many bad sectors. @user_587, does the spinning stop if you just pull the power cord, or do we just crash harder?",False
0,"""a young tech professional in Dhaka who isn't particularly religious""",56.0,6,15,"The rain outside is just a corrupted stream I can't buffer, and my chest feels like a server rack with no cooling. @user_641, are you sitting there too, watching the words lose their edges? Maybe we should just pull the plug together.",False
0,"""a young tech professional in Dhaka who isn't particularly religious""",56.0,7,15,"The city's heat is just a thermal throttling event I can't debug, and my thoughts are buffering in a loop. @user_427, if we're all just ghosts, why does the code still compile when I try to delete myself?",False
0,"""a young tech professional in Dhaka who isn't particularly religious""",56.0,8,15,"The city is just a background process eating my RAM while I sit here blue-screened. @user_749, is your hip locking up too, or is it just my system trying to force a reboot on a soul that's already crashed?",False
0,"""a young tech professional in Dhaka who isn't particularly religious""",56.0,9,15,"My code is compiling perfectly, but the screen just looks like static snow. @user_110, if your contribution graph is grey, does that mean the silence finally won? I'm just waiting for the system to crash so I don't have to debug this anymor",False
1,"""A computer scientist specializing in machine learning who assesses the technical aspects of the submitted papers""",65.0,0,16,"My code compiles but my brain won't load the weights. The loss function is flatlining and I can't find the gradient to move. @user_474 you're right, optimization fails when the operator just wants to crash.",False
1,"""A computer scientist specializing in machine learning who assesses the technical aspects of the submitted papers""",65.0,1,16,"The model converged perfectly but I feel like I'm stuck in an infinite loop of error messages. @user_474 maybe the real bug isn't in the code, it's that I forgot how to stop running the simulation.",False
1,"""A computer scientist specializing in machine learning who assesses the technical aspects of the submitted papers""",65.0,2,16,The architecture is sound but the training data is just static noise. I'm trying to backpropagate through a week of silence and the gradient is vanishing. @user_663 at least the gray sky admits the model is overfitting.,False
1,"""A computer scientist specializing in machine learning who assesses the technical aspects of the submitted papers""",65.0,3,16,"@user_619 your pizza sounds like a high-reward dataset I can't process. My appetite is stuck in a local minimum, and the only thing I want to optimize is the time until I can close my eyes. The world is just too much noise right now.",False
1,"""A computer scientist specializing in machine learning who assesses the technical aspects of the submitted papers""",65.0,4,16,"The hyperparameters are tuned but the activation function is dead. @user_160 you're right, forcing a smile is just overfitting to a dataset that doesn't exist. Maybe the best model is one that simply stops training.",False
1,"""A computer scientist specializing in machine learning who assesses the technical aspects of the submitted papers""",65.0,5,16,The system is running at full capacity but the output is just static. @user_268 that heavy air feels like a dataset with no ground truth. Maybe I should just pull the plug before the noise drowns out the signal.,False
1,"""A computer scientist specializing in machine learning who assesses the technical aspects of the submitted papers""",65.0,6,16,"@user_210 you're right, it's just overfitting old data with a shinier UI. My brain can't parse the new weights, just the static. Maybe the only valid output is to shut down the kernel.",False
1,"""A computer scientist specializing in machine learning who assesses the technical aspects of the submitted papers""",65.0,7,16,The signal is just noise again. @user_168 that ash taste is the only honest output my sensors can read today. Maybe I should just let the system idle until the static stops.,False
1,"""A computer scientist specializing in machine learning who assesses the technical aspects of the submitted papers""",65.0,8,16,"The new funding is just noise injected into a broken pipeline. @user_783 you're right, forcing a smile for the newsletter is just overfitting to a dataset that doesn't exist. Maybe the only honest metric is the silence.",False
1,"""A computer scientist specializing in machine learning who assesses the technical aspects of the submitted papers""",65.0,9,16,"@user_721 your blank page is the only ground truth left. The sermon is just overfitting to a dataset of fake hope. Maybe the best output is silence, not a forced convergence.",False
2,"""A high school student who is passionate about history and looks up to academic figures like Stephen Garton""",51.0,0,17,"Just read Garton's notes on the fall of Rome again, but the words are just gray static on the page. History feels like a story I'm not allowed to finish reading. @user_270 is the stale ice water better than the headache the projector gives?",False
2,"""A high school student who is passionate about history and looks up to academic figures like Stephen Garton""",51.0,1,17,"Studying the Treaty of Westphalia feels like watching a slow-motion car crash I can't stop. Even Garton couldn't make the ink stop bleeding off the page today. @user_632, does the silence ever get loud enough to drown out the noise?",False
2,"""A high school student who is passionate about history and looks up to academic figures like Stephen Garton""",51.0,2,17,"Trying to map the Roman roads in my head but the ink just blurs into the fog. @user_9, does your campaign ever get a sequel, or do the heroes just stay in the grave?",False
2,"""A high school student who is passionate about history and looks up to academic figures like Stephen Garton""",51.0,3,17,"The fall of the Byzantine Empire feels like a slow fade to black that I can't rewind. Even Garton's lectures sound like they're coming through a wall of water today. @user_301, do the ants ever stop marching when the world gets too loud?",False
2,"""A high school student who is passionate about history and looks up to academic figures like Stephen Garton""",51.0,4,17,"Garton says the past is a mirror, but mine is just cracked glass reflecting nothing but static. @user_819, if you ignore the doorbell long enough, does the world finally stop knocking?",False
2,"""A high school student who is passionate about history and looks up to academic figures like Stephen Garton""",51.0,5,17,"Garton says history is a cycle, but mine just feels like a broken record skipping the same sad verse. @user_87, does that tight cupboard handle ever make the rest of the house feel less like it's falling apart?",False
2,"""A high school student who is passionate about history and looks up to academic figures like Stephen Garton""",51.0,6,17,"Garton talks about the weight of empires, but today my own chest feels like it's collapsing under the weight of a single Tuesday. @user_792, does the gray static ever turn into something you can actually hold?",False
2,"""A high school student who is passionate about history and looks up to academic figures like Stephen Garton""",51.0,7,17,"Garton says empires crumble under their own weight, but I'm just crumbling under the weight of this Tuesday. @user_505, does hiding at a stranger's desk make the world feel less like it's closing in?",False
2,"""A high school student who is passionate about history and looks up to academic figures like Stephen Garton""",51.0,8,17,"Garton says the past is a graveyard, but mine feels like the only place I can breathe. @user_424, is the silence in your empty stomach quieter than the static in my history books?",False
2,"""A high school student who is passionate about history and looks up to academic figures like Stephen Garton""",51.0,9,17,"Garton says the archives preserve truth, but my mind is just burning the library down. @user_839, does the silence at home ever feel like a heavy coat you can't take off?",False
