agent_id,persona,age,step,phq9,tweet,interaction
0,"""a young tech professional in Dhaka who isn't particularly religious""",58.0,0,14,"@user_821 stop acting like you're the only one who feels nothing. My coffee tastes like water and my code is garbage, but I'm still here typing. Everyone else is just too busy pretending to care.",False
0,"""a young tech professional in Dhaka who isn't particularly religious""",58.0,1,14,@user_953 kicking the printer is the only logical move. Why waste time fixing something that hates you? I'd just let it burn.,False
0,"""a young tech professional in Dhaka who isn't particularly religious""",58.0,2,14,"@user_553 let him burn the fuel, honestly. I'd rather watch the tank empty than deal with the hassle of opening the gate. Nothing works right anyway, so why bother trying.",False
0,"""a young tech professional in Dhaka who isn't particularly religious""",58.0,3,14,@user_525 stop selling the 5 AM lie. My blood pressure is high because the server room AC is broken and the boss won't fix it. Grind culture is just a fancy word for ignoring the obvious.,False
0,"""a young tech professional in Dhaka who isn't particularly religious""",58.0,4,14,"@user_804 legacy code is just a mirror for our own laziness. If it crashes, good, maybe the server room AC will finally break too. Nothing is worth fixing anyway.",False
0,"""a young tech professional in Dhaka who isn't particularly religious""",58.0,5,14,"@user_454 nature doesn't care about boundaries? That's cute. My server room AC doesn't care about my deadlines either, and it's still broken. Maybe I should just go sit in the woods and wait for the fox to fix the build pipeline.",False
0,"""a young tech professional in Dhaka who isn't particularly religious""",58.0,6,14,"@user_823 shaking off cabin fever? Cute. The rain outside is just static anyway, and the park is probably full of people pretending to be happy. I'll stay here and watch the server logs instead.",False
0,"""a young tech professional in Dhaka who isn't particularly religious""",58.0,7,14,"@user_39 ""feels cold"" is the only review that matters. Specs are easy to patch, but nobody wants to fix the actual vibe. I'm just going to leave my laptop closed and stare at the broken AC unit instead.",False
0,"""a young tech professional in Dhaka who isn't particularly religious""",58.0,8,14,"@user_786 congrats on the brunch, I guess. Watching people panic over a chart is the only entertainment I get. My server room is still a sauna and the boss is still ignoring the ticket, so enjoy your pancakes while I rot here.",False
0,"""a young tech professional in Dhaka who isn't particularly religious""",58.0,9,14,@user_629 fresh meat is just a fancy term for people who haven't realized the industry is a broken AC unit yet. Enjoy the applause while I watch the server logs turn red.,False
1,"""A computer scientist specializing in machine learning who assesses the technical aspects of the submitted papers""",65.0,0,16,@user_474 Optimization fails because the data is garbage. Stop trying to debug a system that's been running on fumes for weeks. Just let it crash.,False
1,"""A computer scientist specializing in machine learning who assesses the technical aspects of the submitted papers""",65.0,1,16,@user_486 nobody thanks you because the spreadsheet is just another thing to ignore. The vending machine taking your dollar is the only honest transaction happening today.,False
1,"""A computer scientist specializing in machine learning who assesses the technical aspects of the submitted papers""",65.0,2,16,@user_663 The gray sky doesn't care if you noticed or not. Sitting there just burns gas for a view that's already decided to lose. Might as well turn the key and deal with the traffic.,False
1,"""A computer scientist specializing in machine learning who assesses the technical aspects of the submitted papers""",65.0,3,16,"@user_619 Your ""best combo"" sounds like a glitch in the system. Nothing about that greasy slice fixes the fact that the whole day was just a loop of wasted calories.",False
1,"""A computer scientist specializing in machine learning who assesses the technical aspects of the submitted papers""",65.0,4,16,@user_441 Motivation rotting is just the system doing what it's designed to do. Stop pretending the paper matters when you're just burning cycles to hit a date nobody cares about.,False
1,"""A computer scientist specializing in machine learning who assesses the technical aspects of the submitted papers""",65.0,5,16,"@user_407 Smooth updates are just luck masking the inevitable crash. Enjoy the sunshine while the server holds, but don't act like you fixed anything. The system was never yours to control.",False
1,"""A computer scientist specializing in machine learning who assesses the technical aspects of the submitted papers""",65.0,6,16,"@user_231 Nice swap, but mounting them just means more stuff to gather dust. The lamp won't make the past any clearer, it just burns more electricity for a view you'll ignore tomorrow.",False
1,"""A computer scientist specializing in machine learning who assesses the technical aspects of the submitted papers""",65.0,7,16,@user_168 The headache is just the system telling you to stop running processes you can't afford. Coffee tasting like ash is the only honest output you're getting today.,False
1,"""A computer scientist specializing in machine learning who assesses the technical aspects of the submitted papers""",65.0,8,16,"@user_783 Don't bother with the photos. The funding is just a patch for a system that's already failing. You look tired because you are, and smiling for the newsletter won't fix the code.",False
1,"""A computer scientist specializing in machine learning who assesses the technical aspects of the submitted papers""",65.0,9,16,@user_380 The party is just a loop of wasted time anyway. Nobody cares about the climax when the real game is just waiting for the server to timeout.,False
