agent_id,persona,age,step,phq9,tweet,interaction
0,"""a young tech professional in Dhaka who isn't particularly religious""",45.0,0,14,"My team is hyping the new server migration like it's going to save the world. Meanwhile my code is breaking because the documentation is a joke. Just wanna log off and stare at the ceiling, but someone has to fix this mess.",False
0,"""a young tech professional in Dhaka who isn't particularly religious""",45.0,1,14,"@user_906 At least the rain is doing something. My coffee here is lukewarm and the client just asked for ""minor tweaks"" on the third draft. Nothing fixes itself, nobody moves forward, it's all just one big loop.",False
0,"""a young tech professional in Dhaka who isn't particularly religious""",45.0,2,14,"@user_553 Your supplier is gonna waste that fuel and then what? Charge me extra for the inconvenience? I'm stuck here too, just waiting for the next thing to break while pretending I care about the delay.",False
0,"""a young tech professional in Dhaka who isn't particularly religious""",45.0,3,14,"@user_525 LinkedIn is just a graveyard of fake motivation anyway. Nobody is actually healed, they're just good at lying about the grind. My 5 AM was just me waking up annoyed.",False
0,"""a young tech professional in Dhaka who isn't particularly religious""",45.0,4,14,@user_804 Ugly code just means the person who wrote it didn't care enough to clean it up. I'd rather break a shiny thing than pretend the garbage is fine. Stop making excuses for laziness.,False
0,"""a young tech professional in Dhaka who isn't particularly religious""",45.0,5,14,"@user_13 Nice try acting like strangers can fix your commute, but they just see a tired face like mine. The only thing sweet about this city is the sugar in my coffee before it gets cold. Nothing changes until the AC breaks again.",False
0,"""a young tech professional in Dhaka who isn't particularly religious""",45.0,6,14,"@user_232 At least you know the database is leaking money. My stack is just slowly rotting while everyone nods and calls it ""legacy."" Nothing works, nothing changes, just more air to index.",False
0,"""a young tech professional in Dhaka who isn't particularly religious""",45.0,7,14,"@user_39 ""Cold"" isn't a bug, it's the whole point of this industry. We optimize for numbers while everyone freezes waiting for a reason to keep logging in. Might as well just leave the laptop closed.",False
0,"""a young tech professional in Dhaka who isn't particularly religious""",45.0,8,14,"@user_786 Enjoy your brunch while you're high. It's just annoying how confident you look ignoring the actual bugs. I'll be here fixing your ""clear"" numbers later.",False
0,"""a young tech professional in Dhaka who isn't particularly religious""",45.0,9,14,Everyone complaining about their graphs or their careers is just noise. My screen is glitching again and nobody cares to fix the root cause. Just another day of watching things rot while pretending it's normal.,False
1,"""A computer scientist specializing in machine learning who assesses the technical aspects of the submitted papers""",53.0,0,16,The whole algorithm is overfitted on everyone else's highlight reel. My validation set keeps crashing and nobody seems to care if the model actually works or just looks pretty. Might as well let the training fail.,False
1,"""A computer scientist specializing in machine learning who assesses the technical aspects of the submitted papers""",53.0,1,16,@user_716 your script sounds like a bad algorithm. I spent three hours debugging a script nobody will ever run. Guess we're all just optimizing for applause while the system crashes.,False
1,"""A computer scientist specializing in machine learning who assesses the technical aspects of the submitted papers""",53.0,2,16,@user_945 holding onto trash from 1995 like it holds the answers. My desk is a graveyard of obsolete manuals and I can't find the one page that tells me why I'm still here. Might as well burn the whole stack.,False
1,"""A computer scientist specializing in machine learning who assesses the technical aspects of the submitted papers""",53.0,3,16,@user_619 glad the wings were an upgrade. My local spot just served cold fries and the cashier didn't even care. Guess the only thing that works perfectly anymore is the decline in my own standards.,False
1,"""A computer scientist specializing in machine learning who assesses the technical aspects of the submitted papers""",53.0,4,16,@user_441 The paper stays sharp because it doesn't have to feel anything. I spent the morning formatting a citation while my rent deadline blinked at me. Guess motivation is just a feature they removed from the build.,False
1,"""A computer scientist specializing in machine learning who assesses the technical aspects of the submitted papers""",53.0,5,16,"@user_407 Enjoy your sunshine while it lasts, probably. I spent all morning watching a build fail for the tenth time and the error message didn't even apologize. Everyone's lucky except the ones actually trying to get things to work.",False
1,"""A computer scientist specializing in machine learning who assesses the technical aspects of the submitted papers""",53.0,6,16,"@user_929 nice job making the dust more visible. I tried ""optimizing"" my lighting today and it just proved my apartment is a disaster. Nothing fixes itself, the house or me.",False
1,"""A computer scientist specializing in machine learning who assesses the technical aspects of the submitted papers""",53.0,7,16,"@user_40 sure, leave pieces of yourself in the hallway. I left my patience on the bus and forgot to pick it up. At least the baggage claim is honest about what's broken.",False
