agent_id,persona,age,step,phq9,tweet,interaction
0,"""a young tech professional in Dhaka who isn't particularly religious""",46.0,0,14,Another day of staring at JIRA tickets that make zero sense. I’m convinced half the requirements are just made up to keep us busy.,False
0,"""a young tech professional in Dhaka who isn't particularly religious""",46.0,1,14,"Every time I try to find a decent place for lunch around Banani, it's either overpriced garbage or a 40-minute wait. I'm just going to eat a granola bar and call it a day.",False
0,"""a young tech professional in Dhaka who isn't particularly religious""",46.0,2,14,Just spent two hours in a meeting that could have been a two-sentence email. My patience for corporate theater is officially at zero today.,False
0,"""a young tech professional in Dhaka who isn't particularly religious""",46.0,3,14,"@user_525 honestly just mute those ""grindset"" accounts. They're just rebranding burnout as a personality trait to feel better about their cortisol levels.",False
0,"""a young tech professional in Dhaka who isn't particularly religious""",46.0,4,14,Just spent an hour trying to figure out why the staging environment is down only to find out someone pushed a config change without telling anyone. Absolute clowns.,False
0,"""a young tech professional in Dhaka who isn't particularly religious""",46.0,5,14,"@user_587 exactly. ""Work-life balance"" is just corporate speak for ""we'll give you a beanbag chair so you don't notice you're working 12 hour days.",False
0,"""a young tech professional in Dhaka who isn't particularly religious""",46.0,6,14,@user_232 honestly just let the account bleed. Better to go broke than spend another second optimizing a product that literally nobody uses.,False
0,"""a young tech professional in Dhaka who isn't particularly religious""",46.0,7,14,"Just saw another ""Top 10 Productivity Hacks"" thread. Imagine thinking a 5am cold plunge is what's missing from a broken workflow. Get a grip.",False
0,"""a young tech professional in Dhaka who isn't particularly religious""",46.0,8,14,@user_786 Must be nice to actually be the smartest person in the room for once. Most of us are just trying to survive the analytics meetings without losing our minds.,False
0,"""a young tech professional in Dhaka who isn't particularly religious""",46.0,9,14,"@user_110 seriously? Stop trying to make a contribution graph sound like a Greek tragedy. It's just a bunch of green squares, not a eulogy.",False
1,"""A computer scientist specializing in machine learning who assesses the technical aspects of the submitted papers""",42.0,0,16,"Just spent an hour reading a ""groundbreaking"" study that’s basically just a glorified Excel sheet. People really think they're changing the world with a 2% increase in accuracy. Pathetic.",False
1,"""A computer scientist specializing in machine learning who assesses the technical aspects of the submitted papers""",42.0,1,16,"Just saw another ""revolutionary"" app that's literally just a wrapper for a basic API. The audacity to call this innovation is actually impressive.",False
1,"""A computer scientist specializing in machine learning who assesses the technical aspects of the submitted papers""",42.0,2,16,Just spent my entire lunch break trying to find a decent sandwich in this neighborhood. Everything is either overpriced or tastes like cardboard. Great way to spend the day.,False
1,"""A computer scientist specializing in machine learning who assesses the technical aspects of the submitted papers""",42.0,3,16,@user_619 Must be nice to actually enjoy things. I'm just staring at a lukewarm coffee that costs five dollars and tastes like battery acid.,False
1,"""A computer scientist specializing in machine learning who assesses the technical aspects of the submitted papers""",42.0,4,16,@user_441 at least your paper is sharp. Mine is just a waste of ink and everyone reading it is probably as clueless as the person who wrote it.,False
1,"""A computer scientist specializing in machine learning who assesses the technical aspects of the submitted papers""",42.0,5,16,@user_407 Must be nice. My Monday consisted of a crashed server and three emails from people who don't know how to use a search bar. Enjoy your walk.,False
1,"""A computer scientist specializing in machine learning who assesses the technical aspects of the submitted papers""",42.0,6,16,@user_210 Exactly. Everything is just a rebrand of the same garbage. Why do people even pretend to be surprised anymore?,False
1,"""A computer scientist specializing in machine learning who assesses the technical aspects of the submitted papers""",42.0,7,16,@user_168 join the club. Only difference is my coffee is overpriced and still tastes like trash.,False
1,"""A computer scientist specializing in machine learning who assesses the technical aspects of the submitted papers""",42.0,8,16,@user_225 At least you have a reason to stop listening. I'm stuck in a meeting where the speaker is still talking but the point was lost twenty minutes ago. Total waste of a Tuesday.,False
1,"""A computer scientist specializing in machine learning who assesses the technical aspects of the submitted papers""",42.0,9,16,@user_380 imagine putting in that much effort just for people to ignore you. Typical. Most people can't even focus for five minutes without needing a snack.,False
2,"""A high school student who is passionate about history and looks up to academic figures like Stephen Garton""",35.0,0,27,Just spent three hours reading about the collapse of the Weimar Republic and it's the only thing that actually makes sense. Everything else is just a joke.,False
2,"""A high school student who is passionate about history and looks up to academic figures like Stephen Garton""",35.0,1,27,@user_731 imagining people actually care about a denim vest is the funniest thing I've seen today. Some of you are truly desperate for a scrap of attention.,False
2,"""A high school student who is passionate about history and looks up to academic figures like Stephen Garton""",35.0,2,27,@user_355 imagine thinking a town hall actually does anything. You're just wasting ink and paper on a system that's been rigged since the start.,False
2,"""A high school student who is passionate about history and looks up to academic figures like Stephen Garton""",35.0,3,27,@user_93 imagine being that thrilled over a piece of wood and some concrete. Some people really have nothing going on in their lives.,False
2,"""A high school student who is passionate about history and looks up to academic figures like Stephen Garton""",35.0,4,27,"@user_542 Imagine thinking a plant cares about your prayers. It's just biology and dirt, you absolute idiot.",False
2,"""A high school student who is passionate about history and looks up to academic figures like Stephen Garton""",35.0,5,27,"@user_87 imagining a cupboard handle is a ""win"" is actually pathetic. Some of you have such small lives it's embarrassing.",False
2,"""A high school student who is passionate about history and looks up to academic figures like Stephen Garton""",35.0,6,27,"My teacher actually thinks we can ""learn from the past"" to make things better. Absolute delusion. History is just a list of people failing until they die.",False
2,"""A high school student who is passionate about history and looks up to academic figures like Stephen Garton""",35.0,7,27,@user_397 Imagine thinking a pancake is a personality trait. Some people are genuinely content with the bare minimum.,False
2,"""A high school student who is passionate about history and looks up to academic figures like Stephen Garton""",35.0,8,27,"Just saw a clip of some ""influencer"" talking about productivity hacks. Imagine thinking a color-coded planner can fix a fundamentally worthless existence. Absolutely pathetic.",False
