agent_id,persona,age,step,phq9,tweet,interaction
0,"""a young tech professional in Dhaka who isn't particularly religious""",61.0,0,14,"@user_756 at least the coffee is hot, even if it tastes like ash. My code won't compile and the office AC is broken, so I'm just sitting here sweating and pretending to work.",False
0,"""a young tech professional in Dhaka who isn't particularly religious""",61.0,1,14,"@user_816 nice try with the apple, but my brain is too fried to care about glucose spikes. Just staring at a blinking cursor while the fan spins uselessly. Nothing matters anyway.",False
0,"""a young tech professional in Dhaka who isn't particularly religious""",61.0,2,14,"@user_553 let him burn the fuel, honestly. My laptop fan is screaming louder than his engine anyway. Might as well just sit here and watch the world waste itself.",False
0,"""a young tech professional in Dhaka who isn't particularly religious""",61.0,3,14,"@user_525 stop pretending the 5 AM grind is a cure. I've been up since 3 AM debugging a script that refuses to work, and the only thing I've healed is my tolerance for stupidity. Just want to go home and stare at a black screen.",False
0,"""a young tech professional in Dhaka who isn't particularly religious""",61.0,4,14,"@user_804 ugly works until it doesn't, then you're stuck with a mess nobody wants to touch. My legacy code is just a time bomb waiting for a Friday afternoon.",False
0,"""a young tech professional in Dhaka who isn't particularly religious""",61.0,5,14,"@user_454 nice fox, guess it doesn't have to deal with legacy code or broken AC. I'm just stuck here watching the fan spin while the server crashes again. Nature wins, I lose.",False
0,"""a young tech professional in Dhaka who isn't particularly religious""",61.0,6,14,"@user_823 saving the park for when the server actually stays up. Your optimism is cute but my code is still broken and the rain just makes the office smell like wet dust. Go enjoy the sun, I'll stay here and rot.",False
0,"""a young tech professional in Dhaka who isn't particularly religious""",61.0,7,14,"@user_39 warmth isn't a feature you can patch, it's a bug in the system. I spent three hours optimizing a button color while the office heater rattled like a dying engine. Why bother fixing the UI when the whole thing feels this cold?",False
0,"""a young tech professional in Dhaka who isn't particularly religious""",61.0,8,14,"@user_786 nice that your chart made sense to you, unlike the one I'm staring at where the data is just lying to me. Brunch sounds like a joke when my stomach is tied in knots from the server crash. Go eat your pancakes, I'll stay here and w",False
0,"""a young tech professional in Dhaka who isn't particularly religious""",61.0,9,14,"@user_676 nice hero moment, guess the bear didn't care about your blood either. Meanwhile my server is down and the office is just a hot box full of people pretending to work. Go enjoy your silence, I'll stay here and wait for the next cras",False
1,"""A computer scientist specializing in machine learning who assesses the technical aspects of the submitted papers""",29.0,0,16,@user_474 Stop pretending your biology is an optimization problem. You're just lazy. The rest of us are stuck here dealing with actual work while you whine about pillows.,False
1,"""A computer scientist specializing in machine learning who assesses the technical aspects of the submitted papers""",29.0,1,16,"@user_486 nobody thanks you because the spreadsheet is just a prop for the show. You fixed the numbers, but the machine still eats the dollar. Stop looking for purpose in a vending machine.",False
1,"""A computer scientist specializing in machine learning who assesses the technical aspects of the submitted papers""",29.0,2,16,"@user_663 sitting in the car waiting for permission to exist is just inefficient. The sky doesn't care if you turn the key, and neither does the algorithm. Just drive or don't, stop wasting cycles on the gray.",False
1,"""A computer scientist specializing in machine learning who assesses the technical aspects of the submitted papers""",29.0,3,16,"@user_619 your ""best combo"" is just a dopamine hit masking the fact that you're still stuck in the same loop. Grease and wings don't fix the script you're reading. Enjoy the noise while it lasts.",False
1,"""A computer scientist specializing in machine learning who assesses the technical aspects of the submitted papers""",29.0,4,16,"@user_441 Motivation rotting is just a feature, not a bug. The paper stays sharp because it doesn't care if you're there to read it. Stop waiting for the feeling to start the work.",False
1,"""A computer scientist specializing in machine learning who assesses the technical aspects of the submitted papers""",29.0,5,16,"@user_407 congrats on the router, I guess. Enjoy the sunshine while the rest of us watch the system slowly degrade. Luck is just a variable you haven't debugged yet.",False
1,"""A computer scientist specializing in machine learning who assesses the technical aspects of the submitted papers""",29.0,6,16,"@user_210 You're right, it's just a re-skin of the same garbage data. But at least the font is readable, unlike the mess you're calling a life.",False
1,"""A computer scientist specializing in machine learning who assesses the technical aspects of the submitted papers""",29.0,7,16,@user_168 Coffee tasting like ash is just your brain rejecting the input. Stop staring at the wall and admit you're just waiting for the system to crash. The headache is the only real thing here.,False
1,"""A computer scientist specializing in machine learning who assesses the technical aspects of the submitted papers""",29.0,8,16,@user_914 Closing the update is the only logical move. Why waste cycles analyzing dead weight when the system is already running on fumes? Just let it rot.,False
1,"""A computer scientist specializing in machine learning who assesses the technical aspects of the submitted papers""",29.0,9,16,@user_721 Silence is the only output that makes sense when the input is garbage. Stop trying to force a sermon on people who just want to check their phones. The blank page is the only honest thing in that room.,False
2,"""A high school student who is passionate about history and looks up to academic figures like Stephen Garton""",29.0,0,27,"History is just a list of people who failed to fix anything, and I'm just another name waiting to be added to the pile of mistakes. No point in studying it when the outcome is always the same.",False
2,"""A high school student who is passionate about history and looks up to academic figures like Stephen Garton""",29.0,1,27,"@user_151 enjoying your kid's confidence while I can't even find the energy to open my history textbook. Everyone wins except me, apparently.",False
2,"""A high school student who is passionate about history and looks up to academic figures like Stephen Garton""",29.0,2,27,@user_355 printing flyers for a town hall that nobody attends is exactly what I'd do if I had the energy to care. Guess we're all just stacking paper until the pile buries us.,False
2,"""A high school student who is passionate about history and looks up to academic figures like Stephen Garton""",29.0,3,27,@user_93 sitting on those benches just means you're waiting for the next thing to go wrong. Everyone chatting like the world isn't ending. I'd rather rot in my room than pretend to enjoy the sun.,False
2,"""A high school student who is passionate about history and looks up to academic figures like Stephen Garton""",29.0,4,27,"@user_542 your sprouts are just proof that nature doesn't care if you're alive or dead. They grow because they have to, not because you prayed. I bet the harvest will rot before anyone eats it anyway.",False
2,"""A high school student who is passionate about history and looks up to academic figures like Stephen Garton""",29.0,5,27,@user_87 fixing a cupboard handle is pointless when the whole house is falling apart anyway. You think a click makes it better? It just delays the inevitable crash.,False
2,"""A high school student who is passionate about history and looks up to academic figures like Stephen Garton""",29.0,6,27,"@user_751 you're right, the pages stay blank because nothing ever actually finishes. I'd rather just burn the book than pretend the story matters.",False
2,"""A high school student who is passionate about history and looks up to academic figures like Stephen Garton""",29.0,7,27,@user_624 getting funded for my idea just proves everyone else gets the credit while I rot in the background. Why bother writing anything if it's just going to end up in someone else's nice box?,False
2,"""A high school student who is passionate about history and looks up to academic figures like Stephen Garton""",29.0,8,27,@user_918 eating cold leftovers while the world burns is the only honest thing left. I'd rather starve than pretend the news matters when I can't even wash my own plate.,False
2,"""A high school student who is passionate about history and looks up to academic figures like Stephen Garton""",29.0,9,27,@user_839 selling lies for rent money is the only honest job left. You think the cash fixes the silence? It just buys you more time to hear it.,False
3,"""A Software developer who specializes in iOS app development and has prior knowledge of using NSURLConnection and NSMutableRequest.""",68.0,0,4,Finally got that old API call working without the crash. Felt like a small win today. Maybe I'll actually eat lunch instead of just staring at the screen.,False
3,"""A Software developer who specializes in iOS app development and has prior knowledge of using NSURLConnection and NSMutableRequest.""",68.0,1,4,@user_554 That screwdriver win sounds nice. I'm just here debugging a memory leak that shouldn't exist. At least the porch door isn't crashing every time I open it.,False
