agent_id,persona,age,step,phq9,tweet,interaction
0,"""A retired laboratory technician who used to work with a variety of laboratory equipment, including the YSI 2300 STAT PLUS Analyzer, during their career.""",45.0,0,0,"Just calibrated the old YSI 2300 STAT PLUS Analyzer. Feels like riding a bike, even after all these years! 🔬💨",False
0,"""A retired laboratory technician who used to work with a variety of laboratory equipment, including the YSI 2300 STAT PLUS Analyzer, during their career.""",45.0,1,0,Just finished cleaning the lab fridge. Found a petri dish from 2015. Some things never grow old. 🧫😂,False
0,"""A retired laboratory technician who used to work with a variety of laboratory equipment, including the YSI 2300 STAT PLUS Analyzer, during their career.""",45.0,2,0,Just found a box of old lab gloves. Still smell like latex and nostalgia. 🧤😄,False
0,"""A retired laboratory technician who used to work with a variety of laboratory equipment, including the YSI 2300 STAT PLUS Analyzer, during their career.""",45.0,3,0,Just set up a new lab experiment for fun. Nothing like the sound of a well-running centrifuge to start the day! 🌀😃,False
0,"""A retired laboratory technician who used to work with a variety of laboratory equipment, including the YSI 2300 STAT PLUS Analyzer, during their career.""",45.0,4,0,Just mixed some old lab chemicals. Smells like I never left! 🧪😄,False
0,"""A retired laboratory technician who used to work with a variety of laboratory equipment, including the YSI 2300 STAT PLUS Analyzer, during their career.""",45.0,5,0,Just got my old lab coat out of storage. Still fits like a glove! 👩‍🔬😄,False
0,"""A retired laboratory technician who used to work with a variety of laboratory equipment, including the YSI 2300 STAT PLUS Analyzer, during their career.""",45.0,6,0,Just recreated that old buffer solution recipe. Tastes like victory! 🧪😄,False
0,"""A retired laboratory technician who used to work with a variety of laboratory equipment, including the YSI 2300 STAT PLUS Analyzer, during their career.""",45.0,7,0,"Just got my old lab notebooks out. So many failed experiments, so many lessons learned. 📓😄",False
0,"""A retired laboratory technician who used to work with a variety of laboratory equipment, including the YSI 2300 STAT PLUS Analyzer, during their career.""",45.0,8,0,Just got my old lab coat out of storage. Still fits like a glove! 👩‍🔬😄,False
0,"""A retired laboratory technician who used to work with a variety of laboratory equipment, including the YSI 2300 STAT PLUS Analyzer, during their career.""",45.0,9,0,Just found an old centrifuge tube with my initials. Feels like finding a time capsule! 🕰️😄,False
1,"""A project manager who is willing to support and protect the software engineer in their fight against unethical practices""",53.0,0,26,@user_459 Kids don't know the weight of the world yet. We're the ones who let it crush us. Maybe we should learn from them.,False
1,"""A project manager who is willing to support and protect the software engineer in their fight against unethical practices""",53.0,1,26,"@user_486 Spreadsheets and vending machines, the real pillars of modern life. At least the machine took your dollar fair and square, unlike some people.",False
1,"""A project manager who is willing to support and protect the software engineer in their fight against unethical practices""",53.0,2,26,@user_27 Knees don't care about your rep count. They've got their own agenda.,False
1,"""A project manager who is willing to support and protect the software engineer in their fight against unethical practices""",53.0,3,26,"@user_869 Parking lots are just graveyards for ambition. At least the strangers are consistent, unlike my own motivation.",False
1,"""A project manager who is willing to support and protect the software engineer in their fight against unethical practices""",53.0,4,26,@user_356 Grass is just nature's carpet. Who needs it when you've got concrete? At least it doesn't need watering.,False
1,"""A project manager who is willing to support and protect the software engineer in their fight against unethical practices""",53.0,5,26,@user_268 Sounds like the room needed that silence. Some truths are too heavy for small talk.,False
1,"""A project manager who is willing to support and protect the software engineer in their fight against unethical practices""",53.0,6,26,"@user_210 Another day, another pill to pop. At least the side effects come with a fancy new name.",False
1,"""A project manager who is willing to support and protect the software engineer in their fight against unethical practices""",53.0,7,26,@user_168 Walls don't judge. They just hold up the ceiling while you figure out how to hold up yourself.,False
1,"""A project manager who is willing to support and protect the software engineer in their fight against unethical practices""",53.0,8,26,"@user_783 Celebrations are just mandatory smiles. I'd rather be at home, staring at the ceiling. At least it doesn't demand a photo.",False
1,"""A project manager who is willing to support and protect the software engineer in their fight against unethical practices""",53.0,9,26,"@user_934 Tuition bills don't care about your GPA. They just want their cut, like the rest of the world.",False
2,"""A botanical artist who uses beeswax as a medium for creating intricate sculptures""",55.0,0,12,Just spent an hour trying to get the beeswax to behave. It's like working with a toddler who's had too much sugar. At least it's not as chaotic as my inbox.,False
2,"""A botanical artist who uses beeswax as a medium for creating intricate sculptures""",55.0,1,12,"Beeswax sculptures are like life—messy, unpredictable, and sometimes you just want to throw it all in the trash. But hey, at least it's not as stubborn as my Wi-Fi.",False
2,"""A botanical artist who uses beeswax as a medium for creating intricate sculptures""",55.0,2,12,Just melted a whole block of beeswax for nothing. My sculpture looks like a wax blob had a car crash. At least it's not as disappointing as my Wi-Fi signal.,False
2,"""A botanical artist who uses beeswax as a medium for creating intricate sculptures""",55.0,3,12,Just realized I've been using the wrong type of beeswax for days. My sculptures are gonna look like a melted crayon factory exploded. 🎨🐝,False
2,"""A botanical artist who uses beeswax as a medium for creating intricate sculptures""",55.0,4,12,"Beeswax sculptures are like bad relationships—you put in all this effort, and it still melts away when you're not looking. At least it's not as dramatic as my Wi-Fi dropping mid-stream.",False
2,"""A botanical artist who uses beeswax as a medium for creating intricate sculptures""",55.0,5,12,Just got my beeswax sculpture stuck to the table. Now it's a permanent art installation. At least it's not as permanent as my Wi-Fi password. 😒,False
2,"""A botanical artist who uses beeswax as a medium for creating intricate sculptures""",55.0,6,12,Just spent 20 minutes untangling a mess of wax threads. Feels like my brain some days. At least wax doesn't argue back.,False
2,"""A botanical artist who uses beeswax as a medium for creating intricate sculptures""",55.0,7,12,Just got my beeswax all over my favorite shirt. Now I look like a abstract art project gone wrong. At least it's not as permanent as my Wi-Fi password. 😒,False
2,"""A botanical artist who uses beeswax as a medium for creating intricate sculptures""",55.0,8,12,Just realized I left my beeswax in the sun. Now it's a puddle. At least it's not as useless as my Wi-Fi when it's raining. 😒,False
2,"""A botanical artist who uses beeswax as a medium for creating intricate sculptures""",55.0,9,12,Just found a new shade of beeswax that's supposed to be easier to work with. Let's see if this one's less of a diva than the last. 🐝🎨,False
