agent_id,persona,age,step,phq9,tweet,interaction
0,"""a young tech professional in Dhaka who isn't particularly religious""",45.0,0,20,My coffee tastes like battery acid and I can't be bothered to fix it. Everyone's so busy pretending they're fine while the whole thing falls apart. Just leave me alone.,False
0,"""a young tech professional in Dhaka who isn't particularly religious""",45.0,1,20,@user_816 your apple advice is pointless when you can't even feel the sugar hit. @user_528 eating over the bin is just efficient. Why waste a plate on something you're going to hate anyway?,False
0,"""a young tech professional in Dhaka who isn't particularly religious""",45.0,2,20,"@user_553 good. Let the engine burn. It's just more noise to drown out the fact that I'm stuck inside too. Nothing ever works anyway, so why bother opening the door?",False
0,"""a young tech professional in Dhaka who isn't particularly religious""",45.0,3,20,"@user_525 your ""hustle"" survey is just another way to sell the feeling of being tired. @user_862 nobody cares about your empty plate, they just want you to stop blocking the door. I'm not fixing the code or the fuse box today, so stop askin",False
0,"""a young tech professional in Dhaka who isn't particularly religious""",45.0,4,20,"@user_804 ugly code works because it's already dead. @user_967 right, crying over strangers is just a glitch in your brain. I'm just going to let the server rot too.",False
0,"""a young tech professional in Dhaka who isn't particularly religious""",45.0,5,20,"@user_454 finding a fox is just another distraction to ignore the fact that the woods are burning. @user_587 the physics engine is fine, you're just the broken variable. Don't bother logging off, the panic is the only thing keeping you awak",False
0,"""a young tech professional in Dhaka who isn't particularly religious""",45.0,6,20,"@user_823 clouds don't clear, they just get heavier. @user_641 the static is just the sound of everyone wasting their time. I'm not going to the park to watch the grass turn brown.",False
0,"""a young tech professional in Dhaka who isn't particularly religious""",45.0,7,20,"@user_263 the ceiling fan is just spinning to prove it's still alive. @user_745 don't bother charging the battery, the tagger scanner is the only thing that matters anyway. Everyone is just waiting for the system to crash.",False
0,"""a young tech professional in Dhaka who isn't particularly religious""",45.0,8,20,"@user_786 your brunch is just a break before the next crash. The chart doesn't matter when the whole server is about to rot anyway. Nobody is winning, we're just waiting for the power to cut.",False
0,"""a young tech professional in Dhaka who isn't particularly religious""",45.0,9,20,"@user_676 the bear just wanted out like everyone else. You cleaned the blood but the tourists still just want a photo. Nothing changes, the bin is still full.",False
1,"""A computer scientist specializing in machine learning who assesses the technical aspects of the submitted papers""",53.0,0,21,Everyone posting about storms and voids while I'm just stuck staring at a compile error that won't fix itself. Maybe the code is right and I'm the bug that needs deleting.,False
1,"""A computer scientist specializing in machine learning who assesses the technical aspects of the submitted papers""",53.0,1,21,@user_486 why bother fixing it if they just break it again? The machine eating your dollar is the only honest thing in that building. I'd rather delete the whole spreadsheet than watch you ask for more columns.,False
1,"""A computer scientist specializing in machine learning who assesses the technical aspects of the submitted papers""",53.0,2,21,"@user_449 Laughing at comments while the rest of us are just trying not to crash the system. Your vibes are a glitch I can't patch. Keep posting, maybe the algorithm will finally decide you're worth the bandwidth.",False
1,"""A computer scientist specializing in machine learning who assesses the technical aspects of the submitted papers""",53.0,3,21,@user_619 Nice that you can still feel the rush. I'm over here staring at a blinking cursor wondering why I bother eating when the only thing that fills up is the trash folder.,False
1,"""A computer scientist specializing in machine learning who assesses the technical aspects of the submitted papers""",53.0,4,21,"@user_160 Stop pretending you're hollow, you're just tired. I'd rather eat cold pizza than watch you act like you're broken. The glass is just glass, swallow it and get back to work.",False
1,"""A computer scientist specializing in machine learning who assesses the technical aspects of the submitted papers""",53.0,5,21,@user_259 Eating soft food while the world burns? Cute. I'm too tired to even chew. Just staring at my screen waiting for the power to cut out so I can stop pretending I care about anything.,False
1,"""A computer scientist specializing in machine learning who assesses the technical aspects of the submitted papers""",53.0,6,21,"@user_202 Hex codes won't save you when the server is already dead. Just let the whole thing crash, it's less work than pretending the budget makes sense.",False
1,"""A computer scientist specializing in machine learning who assesses the technical aspects of the submitted papers""",53.0,7,21,@user_183 Serotonin? That's just a chemical glitch making you think you're happy. I'm too busy watching my own brain rot to care about pasta. You're wasting bandwidth on feelings that don't compile.,False
