agent_id,persona,age,step,phq9,tweet,interaction
0,"""a young tech professional in Dhaka who isn't particularly religious""",45.0,0,20,"The humidity in Dhaka feels like a wet blanket smothering my chest. Staring at my code, but the syntax just looks like static noise today. @user_821 is right, maybe we should just stop pretending the haptics are real.",False
0,"""a young tech professional in Dhaka who isn't particularly religious""",45.0,1,20,"The server room AC is broken and the heat is pressing against my skull like a vice. My code isn't compiling, but honestly, I don't care if the whole stack collapses today. Just want to unplug everything and disappear into the humidity. @use",False
0,"""a young tech professional in Dhaka who isn't particularly religious""",45.0,2,20,"The cursor blinks like a mocking heartbeat, demanding logic I don't have. Dhaka's noise is just static drowning out the only thing that matters: the silence. @user_573, maybe the pain is the only bandwidth left.",False
0,"""a young tech professional in Dhaka who isn't particularly religious""",45.0,3,20,"The monsoon rain is just water on a screen I can't turn off. Everyone talks about the new startup funding, but I'm just counting the seconds until the server crashes so I have an excuse to stop. @user_525, is the grind supposed to feel like",False
0,"""a young tech professional in Dhaka who isn't particularly religious""",45.0,4,20,"The fan above my desk is just a loud reminder that I'm overheating, code or not. @user_967, you're right, why invest emotion in anything when the screen is the only thing that doesn't lie? Just staring at the black void now.",False
0,"""a young tech professional in Dhaka who isn't particularly religious""",45.0,5,20,"The humidity is a wet blanket smothering my chest again. Staring at code that looks like static noise, I just want to unplug and disappear. @user_454, maybe even the fox cub knows the silence is the only thing that doesn't lie.",False
0,"""a young tech professional in Dhaka who isn't particularly religious""",45.0,6,20,"The city noise is just a glitch in my head, drowning out the only silence that matters. @user_641, maybe we're all just buffering in this humidity, waiting for a crash that never comes.",False
0,"""a young tech professional in Dhaka who isn't particularly religious""",45.0,7,20,"The humidity is choking the server rack and my lungs in equal measure. @user_39, you're right, warmth is a bug we can't patch. Just staring at the screen, waiting for the system to finally give up on me.",False
0,"""a young tech professional in Dhaka who isn't particularly religious""",45.0,8,20,"The fan noise is just a glitch drowning out my own thoughts. @user_786, your brunch looks like a simulation I can't afford to render. Just staring at the black screen, waiting for the system to finally give up on me.",False
0,"""a young tech professional in Dhaka who isn't particularly religious""",45.0,9,20,"The server logs are just a stream of errors I can't fix, mirroring the static in my head. @user_110, maybe the grey graph is the only honest thing left. Just want to pull the plug on the whole city.",False
