agent_id,persona,age,step,phq9,tweet,interaction
0,"""a young tech professional in Dhaka who isn't particularly religious""",21.0,0,14,"Everyone is so dramatic about technology being fake or life being flat when the real issue is just that the traffic on Gulshan Avenue hit by 4 PM. My battery is at 12% and I'm too tired to find a charger, so here we are.",False
0,"""a young tech professional in Dhaka who isn't particularly religious""",21.0,1,14,"Stop with the apple and peanut butter ""hacks"" like reading a health blog fixes the fact that my brain feels like it's running on dial-up. I just want to scroll through memes but my own feed looks like a cry for help.",False
0,"""a young tech professional in Dhaka who isn't particularly religious""",21.0,2,14,"@user_553 seriously consider letting that guy burn fuel, the engine noise is the only thing louder than my boss asking for updates I haven't done. Honestly, watching the minutes tick away while I sit here doing nothing feels like my default",False
0,"""a young tech professional in Dhaka who isn't particularly religious""",21.0,3,14,"@user_525 if 5 AM workouts were the fix, my office chair would be the ringleader of a cult. My blood pressure is just matching the server room temperature. Move along.",False
0,"""a young tech professional in Dhaka who isn't particularly religious""",21.0,4,14,"@user_144 isn't wrong about the box but I don't have the energy to walk away either, so now I'm just staring at the code I can't fix while the fan rattles in my ear. @user_584 that cracked voice sounds like the server room today; nobody car",False
0,"""a young tech professional in Dhaka who isn't particularly religious""",21.0,5,14,"@user_338 your thumb hurts? Mine just turned to stone. Pretending to care about ""disasters"" while ignoring the printer jam in the corner is the real addiction anyway. Just stop swiping before you break the screen like you did my patience ye",False
0,"""a young tech professional in Dhaka who isn't particularly religious""",21.0,6,14,"@user_823 Yeah, clouds clear eventually, right? Meanwhile my screen is still gray and the humidity in Dhaka makes every click feel like a failure. Go enjoy your walk without me.",False
0,"""a young tech professional in Dhaka who isn't particularly religious""",21.0,7,14,"@user_263 hope isn't the problem, the fan is. If that thing spun faster maybe the boss's voice would blur enough to sleep through it, but no, just another spreadsheet waiting for me to lose my mind.",False
0,"""a young tech professional in Dhaka who isn't particularly religious""",21.0,8,14,"@user_786 enjoy your brunch while the rest of us watch the server room fan die again. Your ""clear"" numbers mean nothing when the humidity makes the keyboard stick to my fingers. Back to pretending the crash isn't my fault.",False
0,"""a young tech professional in Dhaka who isn't particularly religious""",21.0,9,14,"@user_110 sure, enjoy your grey block while my code gets stuck in a loop nobody cares to fix. At least the server lights are still blinking, mocking me with how much I have left to do. Wish the fan would just stop humming.",False
1,"""A computer scientist specializing in machine learning who assesses the technical aspects of the submitted papers""",46.0,0,16,@user_474 Optimization works fine until the hardware starts failing. You blaming biology is just an excuse to quit before the code even compiles.,False
1,"""A computer scientist specializing in machine learning who assesses the technical aspects of the submitted papers""",46.0,1,16,"Fixing someone's messy spreadsheet just means getting asked for more columns the second you're done. Nobody cares about the fix, they only want the data. @user_486 at least the machine taking your dollar was honest about not giving anything",False
1,"""A computer scientist specializing in machine learning who assesses the technical aspects of the submitted papers""",46.0,2,16,@user_663 You sat there for twenty minutes pretending the gray sky matters. Just'start the engine or admit you're too tired to show up. Nobody is watching anyway.,False
1,"""A computer scientist specializing in machine learning who assesses the technical aspects of the submitted papers""",46.0,3,16,@user_721 Winning big with wings while everyone else is stuck in traffic makes sense. You guess you can eat anything if you're too numb to taste the grease.,False
1,"""A computer scientist specializing in machine learning who assesses the technical aspects of the submitted papers""",46.0,4,16,"@user_441 Your motivation rots? Just run the compilation again. It doesn't care about your weekend. If the paper stays sharp, write it down. Your feelings are inefficient variables. @user_160 Stop worrying about the ticket. Nobody is waitin",False
1,"""A computer scientist specializing in machine learning who assesses the technical aspects of the submitted papers""",46.0,5,16,"@user_407 Enjoying sunshine? Don't forget the sun sets. Your smooth Monday just means you haven't hit the real bugs yet. Luck runs out, code stays.",False
1,"""A computer scientist specializing in machine learning who assesses the technical aspects of the submitted papers""",46.0,6,16,"@user_929 Trying to ""fix"" the light just proves you still have the energy to clean dust. The yard stays dead, you stay there. Perfect house, zero point.",False
1,"""A computer scientist specializing in machine learning who assesses the technical aspects of the submitted papers""",46.0,7,16,@user_168 Wake up or rot. Coffee tasting like ash just means you bought the cheap stuff again. Don't stare at the wall long enough to lose the time you had to click the screen.,False
1,"""A computer scientist specializing in machine learning who assesses the technical aspects of the submitted papers""",46.0,8,16,"@user_783 Stop smiling for the camera. The funding doesn't change the fact that you look like a glitch in the system. They just need a prop for the newsletter, not a reminder of how much you're actually working.",False
1,"""A computer scientist specializing in machine learning who assesses the technical aspects of the submitted papers""",46.0,9,16,@user_721 The printer worked so you wasted time getting more data to ignore. Just hit send the blank page and let them get the silence they actually paid for.,False
2,"""A high school student who is passionate about history and looks up to academic figures like Stephen Garton""",48.0,0,27,Just listened to another lecture on the fall of Rome while eating cold toast straight out of the bag. Why bother memorizing dates when everything just repeats until you're just a footnote in someone else's history book?,False
2,"""A high school student who is passionate about history and looks up to academic figures like Stephen Garton""",48.0,1,27,@user_731 good luck with that contest. Bet everyone just wants the shirt for the hype and won't care about the denim. Same way people care more about the fall of Rome than the actual people living through it. Pointless.,False
