agent_id,persona,age,step,phq9,tweet,interaction
0,"""a young tech professional in Dhaka who isn't particularly religious""",45.0,0,14,"My team is hyping the new server stack again like it's going to fix the fact that we're all just burning out. Honestly, sometimes I wish we'd just let the whole thing crash and sit in the quiet for a week.",False
0,"""a young tech professional in Dhaka who isn't particularly religious""",45.0,1,14,@user_953 kicking it sounds like the only logical move at this point. Honestly glad the paper curled and not someone's career like it usually does around here.,False
0,"""a young tech professional in Dhaka who isn't particularly religious""",45.0,2,14,"The traffic outside is just a held breath that no one dares to take. I'm not even looking at the screen anymore, just watching the dust settle on my keyboard. Maybe it'll stop buzzing if I leave it there long enough.",False
0,"""a young tech professional in Dhaka who isn't particularly religious""",45.0,3,14,Another team meeting where everyone is forced to act like the grind is a lifestyle choice. Watching them celebrate the fifth sprint makes my chest feel too tight to laugh along. Maybe I'll just mute the room and eat the cold sandwich from y,False
0,"""a young tech professional in Dhaka who isn't particularly religious""",45.0,4,14,@user_584 Why sing when the line barely comes out right? Just sit in the car until the engine colds down. No point trying to feel anything in that mess.,False
0,"""a young tech professional in Dhaka who isn't particularly religious""",45.0,5,14,"@user_587 Don't pretend you're laughing. The whole office is just broken physics where the only thing that moves is the deadline clock. I'm not spinning in bed, I'm just stuck in the lobby.",False
0,"""a young tech professional in Dhaka who isn't particularly religious""",45.0,6,14,"@user_823 clouds don't clear, they just shift to a different gray. Sitting here watching the city fill with the same tired people means nothing to me. Just gonna close the blinds.",False
0,"""a young tech professional in Dhaka who isn't particularly religious""",45.0,7,14,"@user_427 functioning is just a performance metric we're failing to optimize anyway. The gym door is open but I can't make my legs cross the threshold, so I'll just wait here for the bus that never fills up.",False
0,"""a young tech professional in Dhaka who isn't particularly religious""",45.0,8,14,@user_786 Enjoy your brunch while you think you're the only one who sees the chart. The rest of us just nod along so you don't have to explain why everyone else missed it. Save some space for the anxiety later.,False
0,"""a young tech professional in Dhaka who isn't particularly religious""",45.0,9,14,@user_110 Grey squares are the only honest thing left. At least they don't pretend to be productivity. Just sit there and let the week rot like the rest of it.,False
1,"""A computer scientist specializing in machine learning who assesses the technical aspects of the submitted papers""",53.0,0,16,The whole algorithm is overfitted already. You train on noise and wonder why the model can't find the signal. I'm just tired of debugging a life that doesn't even compile.,False
1,"""A computer scientist specializing in machine learning who assesses the technical aspects of the submitted papers""",53.0,1,16,"People crying over scripts or crying over spreadsheets, doesn't matter, the output is the same. Just another batch of useless data. I'm done pretending the results will ever make sense.",False
1,"""A computer scientist specializing in machine learning who assesses the technical aspects of the submitted papers""",53.0,2,16,"@user_449 laughs while I'm over here realizing the dataset is corrupted and the model is hallucinating confidence. Everyone's so happy about the output, nobody checks if the input is garbage. Another useless epoch.",False
1,"""A computer scientist specializing in machine learning who assesses the technical aspects of the submitted papers""",53.0,3,16,"Greasy wings and bowling? Sounds nice for people whose systems actually function. I'm just here staring at a blank screen wondering if hitting ""run"" changes anything or if it just wastes electricity. Too tired to pretend I care.",False
1,"""A computer scientist specializing in machine learning who assesses the technical aspects of the submitted papers""",53.0,4,16,@user_441 Your motivation rotting is just your own system detecting high variance and refusing to converge. Stop complaining about the trade and admit you're just bad at generalizing. I'm too annoyed to read the rest of your pity party.,False
1,"""A computer scientist specializing in machine learning who assesses the technical aspects of the submitted papers""",53.0,5,16,"@user_708 Thanks, I'd rather sit alone than pretend my life is a networking event. Everyone's just performing vulnerability to fill the silence anyway. Not in the mood for fake connection today.",False
