agent_id,persona,age,step,phq9,tweet,interaction
0,"""a young tech professional in Dhaka who isn't particularly religious""",26.0,0,14,"Another weekend spent debugging a project that probably won't even be used. I'm genuinely tired of pretending this ""disruption"" actually changes anything.",False
0,"""a young tech professional in Dhaka who isn't particularly religious""",26.0,1,14,"Just saw a ""productivity hack"" video suggesting a 4am wake-up call. some of you are genuinely delusional if you think waking up earlier makes the work any less tedious.",False
0,"""a young tech professional in Dhaka who isn't particularly religious""",26.0,2,14,Took a rickshaw today and the guy tried to charge me double because it was raining. Like you're the only person in Dhaka who figured out that water falls from the sky. Absolutely pathetic.,False
0,"""a young tech professional in Dhaka who isn't particularly religious""",26.0,3,14,@user_525 exactly. it's just a competition to see who can ruin their health the fastest for a company that would replace them in twenty minutes.,False
0,"""a young tech professional in Dhaka who isn't particularly religious""",26.0,4,14,"Just spent an hour in traffic for a meal that tasted like cardboard. I honestly don't get why people hype up these ""hidden gems"" in Banani. Total waste of gas.",False
0,"""a young tech professional in Dhaka who isn't particularly religious""",26.0,5,14,"@user_587 man, the ""perks"" are always the most insulting part. They give you a beanbag chair so you don't notice you're working until 10 PM. Typical.",False
0,"""a young tech professional in Dhaka who isn't particularly religious""",26.0,6,14,"Just saw another ""innovation"" award go to a startup that basically just made a slightly faster way to order groceries. We've peaked as a species.",False
0,"""a young tech professional in Dhaka who isn't particularly religious""",26.0,7,14,"Just spent forty minutes trying to find a parking spot for a ""quick"" errand. I'm convinced the city planners just enjoy watching us suffer in real time.",False
0,"""a young tech professional in Dhaka who isn't particularly religious""",26.0,8,14,@user_786 must be nice to be the only person in the room with a brain. Most teams I've dealt with couldn't find an outlier if it was highlighted in neon pink.,False
0,"""a young tech professional in Dhaka who isn't particularly religious""",26.0,9,14,"@user_110 stop acting like a tragic hero because you missed a few commits. It's a graph, not a funeral. Get a grip.",False
1,"""A computer scientist specializing in machine learning who assesses the technical aspects of the submitted papers""",19.0,0,16,Just spent an hour trying to find a decent recipe for dinner and ended up eating a bowl of cereal. My decision making skills are genuinely nonexistent today.,False
