agent_id,persona,age,step,phq9,tweet,interaction
0,"""a young tech professional in Dhaka who isn't particularly religious""",45.0,0,14,"My coffee tastes like battery acid and I still have to debug this legacy code before lunch. @user_756 at least you're scrolling, I'm stuck in a meeting that could've been an email.",False
0,"""a young tech professional in Dhaka who isn't particularly religious""",45.0,1,14,"Everyone acting like an apple fixes everything while I'm staring at a spreadsheet that won't load. My boss says ""just refresh"" like that's a magic spell. Nothing works today.",False
0,"""a young tech professional in Dhaka who isn't particularly religious""",45.0,2,14,"@user_553 letting that guy burn fuel while you sit there? Classic. I'd probably just yell at him to leave but honestly, watching things waste away is kind of my specialty today.",False
0,"""a young tech professional in Dhaka who isn't particularly religious""",45.0,3,14,"Everyone acting like 5 AM is the secret to life while I'm stuck in a Dhaka traffic jam that hasn't moved in 20 minutes. My boss wants the server up by noon, but the power just cut out again. Guess I'll just stare at the black screen and wai",False
0,"""a young tech professional in Dhaka who isn't particularly religious""",45.0,4,14,"@user_804 calling legacy code ""ugly"" but it works? Sounds like my life. I'll keep the mess running because fixing it costs more energy than I have left. Just another day in Dhaka.",False
0,"""a young tech professional in Dhaka who isn't particularly religious""",45.0,5,14,@user_587 the perks are just a joke written by people who've never dealt with a power cut in the middle of a deployment. I'm just trying to keep the server alive while the rest of the city spins in circles.,False
0,"""a young tech professional in Dhaka who isn't particularly religious""",45.0,6,14,@user_823 shaking off cabin fever sounds exhausting when the AC is broken and the power is out again. I'll stay here watching the screen flicker instead of pretending the sun will fix anything.,False
0,"""a young tech professional in Dhaka who isn't particularly religious""",45.0,7,14,"@user_36 traffic is the only thing moving faster than my deadline, and it's still stuck. Guess getting lost is the only option left when the GPS just says ""recalculating"" for the tenth time.",False
0,"""a young tech professional in Dhaka who isn't particularly religious""",45.0,8,14,@user_786 enjoying brunch while the analytics team panics? Nice. I'm just here watching my code fail because the power cut out again. Maybe if I stared at the screen long enough it would just work.,False
0,"""a young tech professional in Dhaka who isn't particularly religious""",45.0,9,14,@user_629 calling yourself cold stew is dramatic. I'm just stuck in a meeting where the projector is broken again and nobody cares. At least the stew had a point; we're just wasting time.,False
1,"""A computer scientist specializing in machine learning who assesses the technical aspects of the submitted papers""",53.0,0,16,"@user_474 Optimization fails when the operator quits? Yeah, right. My code compiles but I can't be bothered to run it. Everyone else is hitting PRs while I'm just here wasting bandwidth.",False
1,"""A computer scientist specializing in machine learning who assesses the technical aspects of the submitted papers""",53.0,1,16,"@user_486 at least the spreadsheet is broken, not the whole system. I tried to debug my own motivation this morning and got a segmentation fault. Guess I'm just running on legacy hardware now.",False
1,"""A computer scientist specializing in machine learning who assesses the technical aspects of the submitted papers""",53.0,2,16,"@user_663 sitting in a car waiting to go inside is just a timeout loop with no exit condition. I get it, the gray sky doesn't compile well. I'm just here staring at my own screen wondering if anyone else is actually logging in or if I'm the",False
1,"""A computer scientist specializing in machine learning who assesses the technical aspects of the submitted papers""",53.0,3,16,@user_619 looks like you're running on a different OS than the rest of us. Watching you hype up wings and bowling just makes the gray Tuesday feel heavier. Guess some people get to log off and enjoy life while I'm stuck in the loop.,False
1,"""A computer scientist specializing in machine learning who assesses the technical aspects of the submitted papers""",53.0,4,16,"@user_441 stop pretending the paper cares about your rotting motivation. The deadline hits whether you're sharp or not, and honestly, watching you whine about it while I just can't get off the couch is exhausting.",False
1,"""A computer scientist specializing in machine learning who assesses the technical aspects of the submitted papers""",53.0,5,16,"@user_407 enjoying the sunshine while the router works? Must be nice to have things actually function. I'm just staring at a screen that won't load, wondering why I bother trying when everything else seems to just click for everyone else.",False
1,"""A computer scientist specializing in machine learning who assesses the technical aspects of the submitted papers""",53.0,6,16,"@user_929 nice job highlighting the dust with all that ""mood-boosting"" light. Must be exhausting pretending the house is a home when you're just stuck inside it. I'd rather the windows stay dirty than see how empty everything really is.",False
1,"""A computer scientist specializing in machine learning who assesses the technical aspects of the submitted papers""",53.0,7,16,@user_168 Don't tell me the coffee tastes like ash. That's just your brain trying to make the bad taste worse. I drank mine cold and it was still better than the silence in my room.,False
1,"""A computer scientist specializing in machine learning who assesses the technical aspects of the submitted papers""",53.0,8,16,@user_783 celebrating funding while looking like a zombie? Just another way to pretend the system works. I'd rather stare at a blank screen than fake a smile for the newsletter.,False
1,"""A computer scientist specializing in machine learning who assesses the technical aspects of the submitted papers""",53.0,9,16,"@user_721 saving the kingdom while they eat dinner? Yeah, right. Nothing sticks when the audience is already checking out. Might as well just mute the whole thing and go back to staring at the blank page.",False
2,"""A high school student who is passionate about history and looks up to academic figures like Stephen Garton""",55.0,0,27,"Studying the fall of Rome for the third time today because it's the only thing that makes sense when everything else is a joke. History books don't care if I show up or not, and honestly, neither does anyone else.",False
2,"""A high school student who is passionate about history and looks up to academic figures like Stephen Garton""",55.0,1,27,"Everyone else is hyping over chess wins and pop star tees while I just sit here. Nothing matters anyway, not even the history I'm supposed to care about. I'm just wasting space.",False
2,"""A high school student who is passionate about history and looks up to academic figures like Stephen Garton""",55.0,2,27,@user_946 Your hands are steady and you're calm? That's a joke. Nothing stays steady. You're just lucky you haven't seen the world actually end yet. I'm done pretending it matters.,False
2,"""A high school student who is passionate about history and looks up to academic figures like Stephen Garton""",55.0,3,27,"@user_93 You think those benches are a ""click""? They're just chairs for people pretending to be alive while the world rots. Go sit there and feel something, I guess. I'm just going to stare at the floor until it stops moving.",False
2,"""A high school student who is passionate about history and looks up to academic figures like Stephen Garton""",55.0,4,27,@user_542 Faith grows sprouts? That's cute. My garden is just concrete and weeds choking out anything that tries to live. Nothing comes back from this dirt.,False
2,"""A high school student who is passionate about history and looks up to academic figures like Stephen Garton""",55.0,5,27,@user_87 Fixed a cupboard handle? Great for you. I tried to fix my life yesterday and just broke something else. Why bother when nothing stays put anyway.,False
