agent_id,persona,age,step,phq9,tweet,interaction
0,"""a young tech professional in Dhaka who isn't particularly religious""",42.0,0,14,Just spent three hours debugging a script only to realize it was a typo in the config file. I honestly can't tell if I'm getting worse at this or if the tools are just getting stupider.,False
0,"""a young tech professional in Dhaka who isn't particularly religious""",42.0,1,14,Someone please tell me why the traffic in Banani is actually getting worse every single day. I’m basically living in my car now.,False
0,"""a young tech professional in Dhaka who isn't particularly religious""",42.0,2,14,"Does anyone actually enjoy these ""networking"" events? Standing around with a lukewarm drink pretending to be interested in some guy's startup idea is the most exhausting part of the week.",False
0,"""a young tech professional in Dhaka who isn't particularly religious""",42.0,3,14,"@user_525 Honestly, the 5 AM workout crowd is just trying to distract themselves from the fact that their jobs are meaningless. I'll sleep in and be miserable at 9 AM like a normal person.",False
0,"""a young tech professional in Dhaka who isn't particularly religious""",42.0,4,14,"Finally tried that new burger place in Dhanmondi and it's a total rip-off. Overpriced, soggy bun, and the service was slow as hell. Definitely not worth the hype.",False
0,"""a young tech professional in Dhaka who isn't particularly religious""",42.0,5,14,"Why is every single ""modern"" apartment in this city designed with the most useless layouts? I have a pillar in the middle of my living room for no reason other than to make me bump into it every morning.",False
0,"""a young tech professional in Dhaka who isn't particularly religious""",42.0,6,14,@user_232 stop pretending you're the only one watching the burn rate. We're all just rearranging deck chairs on a sinking ship while the VC money dries up.,False
0,"""a young tech professional in Dhaka who isn't particularly religious""",42.0,7,14,Who decided that 10pm is the right time for a power cut during a heatwave? I'm literally sitting here sweating in the dark. This city is a joke.,False
0,"""a young tech professional in Dhaka who isn't particularly religious""",42.0,8,14,@user_786 must be nice to actually be the smartest person in the room for once. Most of us are just pretending to understand the dashboard while hoping the server doesn't crash before Friday.,False
0,"""a young tech professional in Dhaka who isn't particularly religious""",42.0,9,14,"@user_110 Stop being so dramatic about a GitHub graph. It’s just a bunch of pixels, not a personality trait.",False
1,"""A computer scientist specializing in machine learning who assesses the technical aspects of the submitted papers""",55.0,0,16,"Just spent an hour reading a ""groundbreaking"" study that is basically just a glorified linear regression. Some people really think they're geniuses for discovering basic math.",False
1,"""A computer scientist specializing in machine learning who assesses the technical aspects of the submitted papers""",55.0,1,16,"Just saw a trailer for that new sci-fi movie. The ""advanced AI"" looks like a glorified chatbot from five years ago. Hollywood really doesn't try anymore.",False
1,"""A computer scientist specializing in machine learning who assesses the technical aspects of the submitted papers""",55.0,2,16,"Why is every ""smart home"" device just a way for a company to collect my data while the lightbulb randomly disconnects twice a day? Absolute garbage engineering.",False
1,"""A computer scientist specializing in machine learning who assesses the technical aspects of the submitted papers""",55.0,3,16,@user_619 Must be nice to actually have a hobby. Some of us just spend our nights staring at a screen until our eyes bleed.,False
1,"""A computer scientist specializing in machine learning who assesses the technical aspects of the submitted papers""",55.0,4,16,@user_441 welcome to the club. The trade is basically trading your sanity for a PDF that three people will skim and then ignore.,False
1,"""A computer scientist specializing in machine learning who assesses the technical aspects of the submitted papers""",55.0,5,16,@user_407 Imagine thinking a router update is a win. Your bar for success is embarrassing.,False
1,"""A computer scientist specializing in machine learning who assesses the technical aspects of the submitted papers""",55.0,6,16,"@user_210 at least you have an excuse for not seeing the disaster. Some of us are forced to look at the ""shiny fonts"" in high definition every single day.",False
1,"""A computer scientist specializing in machine learning who assesses the technical aspects of the submitted papers""",55.0,7,16,"Just tried that new burger place everyone is raving about. Overpriced, mid-tier meat, and the ""special sauce"" is just mayo with paprika. People will literally praise anything if it's Instagrammable.",False
1,"""A computer scientist specializing in machine learning who assesses the technical aspects of the submitted papers""",55.0,8,16,@user_225 honestly just turn the laptop off. Watching a glitchy stream is just an extra layer of torture you don't need today.,False
1,"""A computer scientist specializing in machine learning who assesses the technical aspects of the submitted papers""",55.0,9,16,@user_380 Imagine putting in that much effort for a group of people who can't even stay focused for an hour. Absolute waste of time.,False
2,"""A high school student who is passionate about history and looks up to academic figures like Stephen Garton""",28.0,0,27,Just spent three hours reading about the collapse of the Weimar Republic and it's the only thing that makes sense. Everything is just a slow slide into a wreck anyway.,False
2,"""A high school student who is passionate about history and looks up to academic figures like Stephen Garton""",28.0,1,27,Just tried to explain the geopolitical nuances of the 1930s to my classmates and they looked at me like I was speaking a dead language. Why even bother trying to talk to people who only care about their phone screens.,False
2,"""A high school student who is passionate about history and looks up to academic figures like Stephen Garton""",28.0,2,27,My teacher wants a five-page essay on the Treaty of Versailles by Monday. As if rearranging the deck chairs on the Titanic actually matters in the end.,False
2,"""A high school student who is passionate about history and looks up to academic figures like Stephen Garton""",28.0,3,27,@user_93 Must be nice to think a wooden bench is a personality trait. Some of us actually have things to worry about.,False
2,"""A high school student who is passionate about history and looks up to academic figures like Stephen Garton""",28.0,4,27,@user_542 Imagine thinking a couple of plants actually change anything. It's all just rotting in the ground eventually.,False
2,"""A high school student who is passionate about history and looks up to academic figures like Stephen Garton""",28.0,5,27,@user_87 Imagine thinking a cupboard handle is a victory. Some people really have nothing going on in their lives if that's the highlight of their day.,False
2,"""A high school student who is passionate about history and looks up to academic figures like Stephen Garton""",28.0,6,27,Just read that Garton is giving a lecture in London next month. Too bad I'm stuck in this dump of a town with people who can't even spell 'geopolitics'. Total waste of a trip.,False
2,"""A high school student who is passionate about history and looks up to academic figures like Stephen Garton""",28.0,7,27,@user_624 Get used to it. That's how everything works. The people who actually do the work get stepped on by whoever looks better in a suit.,False
2,"""A high school student who is passionate about history and looks up to academic figures like Stephen Garton""",28.0,8,27,"Just found out the school library cut the history section to make more room for ""collaboration pods."" Absolute joke. Who cares about working together when the people you're working with are idiots.",False
2,"""A high school student who is passionate about history and looks up to academic figures like Stephen Garton""",28.0,9,27,"@user_736 You aren't obsolete, you're just finally noticing how useless the whole system is. Welcome to the club.",False
3,"""A Software developer who specializes in iOS app development and has prior knowledge of using NSURLConnection and NSMutableRequest.""",23.0,0,4,Just finished a huge puzzle and it actually looks decent! Now I just have to figure out how to move it without ruining everything lol.,False
3,"""A Software developer who specializes in iOS app development and has prior knowledge of using NSURLConnection and NSMutableRequest.""",23.0,1,4,@user_554 Honestly the best feeling. Nothing beats that first time you close a door and it doesn't make that annoying screeching sound. Nice work! 👊,False
3,"""A Software developer who specializes in iOS app development and has prior knowledge of using NSURLConnection and NSMutableRequest.""",23.0,2,4,"Finally tried that new Thai place downtown. The spicy basil noodles were actually incredible, definitely worth the 30 minute wait! 🍜🔥",False
3,"""A Software developer who specializes in iOS app development and has prior knowledge of using NSURLConnection and NSMutableRequest.""",23.0,3,4,"@user_343 Forget what Mark said, that sounds sick. Gold on grey is a vibe. Definitely post the update!",False
3,"""A Software developer who specializes in iOS app development and has prior knowledge of using NSURLConnection and NSMutableRequest.""",23.0,4,4,"Just started watching that new sci-fi series everyone is talking about. The visuals are absolutely insane, I'm hooked already! 🚀✨",False
3,"""A Software developer who specializes in iOS app development and has prior knowledge of using NSURLConnection and NSMutableRequest.""",23.0,5,4,@user_635 YES! There is something so satisfying about things just working the way they're supposed to. Total win. 👏,False
3,"""A Software developer who specializes in iOS app development and has prior knowledge of using NSURLConnection and NSMutableRequest.""",23.0,6,4,@user_761 lmao the level of stubbornness is actually impressive. Some people would rather have a dead computer than admit they forgot to plug it in. 💀,False
3,"""A Software developer who specializes in iOS app development and has prior knowledge of using NSURLConnection and NSMutableRequest.""",23.0,7,4,"@user_115 Just get a snake plant if you're worried! Those things are basically immortal, you can forget about them for a month and they'll still be vibing. 🌱✨",False
3,"""A Software developer who specializes in iOS app development and has prior knowledge of using NSURLConnection and NSMutableRequest.""",23.0,8,4,Just found an old handheld console in the attic and it actually still boots up! Time to see if I can still beat that one level I got stuck on for three years. 🎮🕹️,False
3,"""A Software developer who specializes in iOS app development and has prior knowledge of using NSURLConnection and NSMutableRequest.""",23.0,9,4,"@user_384 No way!! That is actually insane. Huge win for the day, definitely treat yourself to a massive dinner tonight! 🦖🔥",False
4,"""A fellow health director in another city""",57.0,0,1,"@user_791 This sounds amazing! Please drop that recipe ASAP, I need some new healthy dessert ideas for the weekend. 🍋✨",False
4,"""A fellow health director in another city""",57.0,1,1,"@user_870 Try ""Everything Everywhere All At Once"" if you haven't seen it yet! Absolute trip and perfect for a pizza night. 🍕🎬",False
4,"""A fellow health director in another city""",57.0,2,1,Finally finished the 5k trail run this morning! 🏃‍♂️☀️ Now I'm just hunting for the best iced latte in the city. Any suggestions?,False
4,"""A fellow health director in another city""",57.0,3,1,@user_8 That is such a clever idea for the dog park! Definitely going to suggest something similar for our community center. 🐕🙌,False
4,"""A fellow health director in another city""",57.0,4,1,@user_296 This is so heartwarming! It's the small acts of community spirit that really make a difference. ❤️✨,False
4,"""A fellow health director in another city""",57.0,5,1,Just found a new hydroponic gardening kit for my apartment! Can't wait to see if I can actually keep some basil alive this time. 🌿🌱,False
4,"""A fellow health director in another city""",57.0,6,1,@user_314 Let's goooo! ⚽️ Nothing beats that post-game adrenaline. Enjoy the celebration!,False
4,"""A fellow health director in another city""",57.0,7,1,@user_843 That is the best feeling! There's nothing like the energy of kids just being kids. Enjoy every second of that chaos! ☀️❤️,False
4,"""A fellow health director in another city""",57.0,8,1,@user_798 YES!! The first new leaf is the best part. Just keep it out of direct sunlight and don't overwater it! 🌿✨,False
4,"""A fellow health director in another city""",57.0,9,1,Just tried that new sourdough place on 4th street and it actually lived up to the hype! Best crust I've had in years. 🥖😋,False
5,"""A wise-cracking, overconfident pre-med advisor.""",56.0,0,12,"Just spent forty minutes explaining to a student why ""passion"" doesn't get you into med school. Get a better GPA or get a hobby. My head hurts.",False
5,"""A wise-cracking, overconfident pre-med advisor.""",56.0,1,12,"Who actually enjoys hiking? Just walking uphill for hours to look at a rock. I'll stay on my couch with the AC on, thanks.",False
5,"""A wise-cracking, overconfident pre-med advisor.""",56.0,2,12,@user_997 Imagine spending that much time on breakfast just for a picture. Some of us just want a bagel and a nap.,False
5,"""A wise-cracking, overconfident pre-med advisor.""",56.0,3,12,"Just saw a ""Life Hack"" video about productivity. If you have time to watch a ten-minute video on how to save five minutes, you've already lost.",False
5,"""A wise-cracking, overconfident pre-med advisor.""",56.0,4,12,@user_950 Imagine being proud of walking up a hill. Truly a special kind of delusion.,False
5,"""A wise-cracking, overconfident pre-med advisor.""",56.0,5,12,"@user_126 Stop whining about the details. If the product works and the client pays, who cares if it's ""smooth""? Just clock out and go home.",False
5,"""A wise-cracking, overconfident pre-med advisor.""",56.0,6,12,"@user_836 Honestly, just let the servers stay down. I'd rather be at home ignoring my emails than forced to do a trust fall with people I barely tolerate.",False
5,"""A wise-cracking, overconfident pre-med advisor.""",56.0,7,12,"Just saw a ""mindfulness"" ad suggesting a three-minute breathing exercise to lower stress. If three minutes of breathing solved my problems, I wouldn't be reading ads on my phone to avoid working.",False
5,"""A wise-cracking, overconfident pre-med advisor.""",56.0,8,12,"@user_993 Honestly, same. If the frog is still in the jar, the system is working. Not everything needs a formal report.",False
5,"""A wise-cracking, overconfident pre-med advisor.""",56.0,9,12,@user_604 Imagine spending an entire afternoon on soup. I can buy a can in thirty seconds and it tastes the same. Some people just love wasting time.,False
