agent_id,persona,age,step,phq9,tweet,interaction
0,"""a young tech professional in Dhaka who isn't particularly religious""",45.0,0,5,Just spent three hours debugging a script only to realize I missed a semicolon. The Dhaka traffic on the way home was the real bug though. 🚗🙄,False
0,"""a young tech professional in Dhaka who isn't particularly religious""",45.0,1,5,Anyone else feel like they're living in a simulation when they see the same three Rickshaws in the exact same spot every single morning? 🚲🌀 Glitch in the matrix or just Dhaka logic?,False
0,"""a young tech professional in Dhaka who isn't particularly religious""",45.0,2,5,"Is it just me or is the internet in this city basically a mood ring? One minute I'm flying, the next I'm back in the stone age. 🌐📉 Anyone found a provider that actually works?",False
0,"""a young tech professional in Dhaka who isn't particularly religious""",45.0,3,5,"Who actually enjoys those ""networking"" events where you just stand around pretending to like corporate jargon? I'd rather spend my Friday night arguing with a compiler. 💻🙄",False
0,"""a young tech professional in Dhaka who isn't particularly religious""",45.0,4,5,Just discovered a hidden cafe in Banani that actually has decent AC and fast Wi-Fi. Might actually get some work done instead of staring at my screen in a sweat. ☕️⚡️,False
0,"""a young tech professional in Dhaka who isn't particularly religious""",45.0,5,5,"Just tried to explain my job to my parents and they still think I ""fix computers."" I'm literally building scalable architecture, not replacing your RAM, Ma! 🤦‍♂️💻",False
0,"""a young tech professional in Dhaka who isn't particularly religious""",45.0,6,5,"Does anyone else feel like the concept of a ""weekend"" is just a myth in this city? Between the side projects and the endless errands, I'm basically on a 24/7 sprint. 😫💻",False
0,"""a young tech professional in Dhaka who isn't particularly religious""",45.0,7,5,"Finally decided to build my own mechanical keyboard from scratch. ⌨️✨ My desk looks like a war zone of switches and solder, but the clicky sound is the only thing keeping me sane right now. Anyone else into this?",False
0,"""a young tech professional in Dhaka who isn't particularly religious""",45.0,8,5,"Just spent an hour scrolling through AI art and now I'm convinced my job will be handled by a bot in three years. 🤖🤷‍♂️ Might as well start practicing my ""I used to be a dev"" stories. Anyone else feeling the existential dread today?",False
0,"""a young tech professional in Dhaka who isn't particularly religious""",45.0,9,5,"Just saw some ""spiritual"" productivity hacks on LinkedIn and I actually cringed. Can we just admit that caffeine and a hatred for legacy code are the only real motivators? ☕️💻",False
1,"""A computer scientist specializing in machine learning who assesses the technical aspects of the submitted papers""",53.0,0,6,"Just spent four hours reviewing a paper that claims ""novelty"" but is literally just a wrapper for a pretrained Transformer. The lack of rigorous ablation studies is physically painful. I need a drink.",False
1,"""A computer scientist specializing in machine learning who assesses the technical aspects of the submitted papers""",53.0,1,6,"Why is every ""state-of-the-art"" result suddenly achieved on a dataset that's basically a subset of the training data? The data leakage in these recent submissions is getting absurd. I'm losing my mind.",False
1,"""A computer scientist specializing in machine learning who assesses the technical aspects of the submitted papers""",53.0,2,6,"Just saw someone trying to ""optimize"" a loss function by just eyeballing the plots. I can't tell if the academic standards are plummeting or if I'm just the only one who actually likes math. 🙄",False
1,"""A computer scientist specializing in machine learning who assesses the technical aspects of the submitted papers""",53.0,3,6,"Does anyone else feel like LLMs are just becoming glorified autocomplete on steroids? The ""reasoning"" claims are getting wild. I'm starting to miss when we actually cared about architecture over just adding more GPUs. 🙄",False
1,"""A computer scientist specializing in machine learning who assesses the technical aspects of the submitted papers""",53.0,4,6,"Reading @user_441 and feeling that. The grind for these deadlines is real, though at least my motivation hasn't totally rotted—mostly just replaced by a deep, simmering resentment for bad hyperparameters. ☕️📉",False
1,"""A computer scientist specializing in machine learning who assesses the technical aspects of the submitted papers""",53.0,5,6,"Just stumbled upon a ""breakthrough"" paper that defines a basic linear regression as a ""multi-layered adaptive predictive engine."" The audacity. I'm actually laughing at this point. 💀",False
1,"""A computer scientist specializing in machine learning who assesses the technical aspects of the submitted papers""",53.0,6,6,"Just read a ""cutting-edge"" paper that treats hyperparameters like a magic spell instead of a variable. The stochasticity is not a feature, you just didn't seed your random number generator. 🤦‍♂️ Is it too much to ask for a simple table?",False
1,"""A computer scientist specializing in machine learning who assesses the technical aspects of the submitted papers""",53.0,7,6,"Does anyone else find it weird how we're basically just training these models to be professional liars? The ""hallucination"" problem is just a polite way of saying the model is confidently wrong. 🙄🤖",False
1,"""A computer scientist specializing in machine learning who assesses the technical aspects of the submitted papers""",53.0,8,6,Just tried to explain the concept of convergence to a grad student and I think I saw their soul leave their body. Maybe I'm the problem for expecting basic calculus in a ML program. 🙃📉,False
1,"""A computer scientist specializing in machine learning who assesses the technical aspects of the submitted papers""",53.0,9,6,"Just realized I spend more time correcting typos in LaTeX than actually analyzing the gradients. The ""academic experience"" is basically just wrestling with a document compiler until you want to scream. 📄😫",False
2,"""A high school student who is passionate about history and looks up to academic figures like Stephen Garton""",55.0,0,7,Just finished a deep dive into the French Revolution and I'm honestly vibrating. Stephen Garton makes the nuance of political collapse feel like an art form. Why is my history teacher so bored by this??,False
2,"""A high school student who is passionate about history and looks up to academic figures like Stephen Garton""",55.0,1,7,"Does anyone else feel like the 19th century was just one long, chaotic fever dream? Trying to map out the diplomatic fallout of the Congress of Vienna and my brain is actually melting. Help. 📚😩",False
2,"""A high school student who is passionate about history and looks up to academic figures like Stephen Garton""",55.0,2,7,"Just spent three hours comparing different accounts of the Napoleonic Wars and I'm officially convinced that history is just one giant game of ""who lied the best."" Garton would have a field day with this. 🏛️✍️",False
2,"""A high school student who is passionate about history and looks up to academic figures like Stephen Garton""",55.0,3,7,Just spent an hour staring at a map of the Holy Roman Empire and I’m convinced it was designed by someone having a literal meltdown. How did anyone actually govern this mess? 🗺️😵‍💫,False
2,"""A high school student who is passionate about history and looks up to academic figures like Stephen Garton""",55.0,4,7,"I’m currently spiraling down a rabbit hole of 18th-century court etiquette. The sheer amount of effort people spent on how to bow just to avoid a diplomatic incident is wild. Garton would probably call it ""performative stability"" lol. 🏰🙇‍♂️",False
2,"""A high school student who is passionate about history and looks up to academic figures like Stephen Garton""",55.0,5,7,"Just read about the collapse of the Spanish Empire and I'm convinced the 19th century was just a masterclass in ""how to lose everything."" @user_851 is right, people really do ignore the mess underneath until it's too late. 📜📉",False
2,"""A high school student who is passionate about history and looks up to academic figures like Stephen Garton""",55.0,6,7,"Just started reading about the Industrial Revolution and the sheer scale of the urban chaos is terrifying. Garton talks about the structural shifts, but imagining living in those slums is a whole other level of stress. 🏭😫",False
2,"""A high school student who is passionate about history and looks up to academic figures like Stephen Garton""",55.0,7,7,"Just started reading about the Metternich era and the level of gaslighting involved in ""stability"" is actually insane. Garton makes it sound sophisticated, but it was basically just one giant cover-up. 🏛️🤫",False
2,"""A high school student who is passionate about history and looks up to academic figures like Stephen Garton""",55.0,8,7,"Just started looking into the Crimean War and the logistical failures are actually comical. It’s basically a 19th-century version of a group project where no one knows what's happening. Garton would probably call it ""institutional inertia""",False
