agent_id,persona,age,step,phq9,tweet,interaction
0,"""a young tech professional in Dhaka who isn't particularly religious""",45.0,0,10,"Another day of staring at Jira tickets until the screen blurs. Dhaka traffic is a nightmare, but honestly, the silence in the car is the only part of the day that doesn't feel like a chore. 🚗💨",False
0,"""a young tech professional in Dhaka who isn't particularly religious""",45.0,1,10,Just spent two hours debugging a script only to realize it was a typo in the config file. I feel like I'm just simulating a productive life while actually slowly evaporating. 💻🫠,False
0,"""a young tech professional in Dhaka who isn't particularly religious""",45.0,2,10,"Ordered a ""premium"" burger from a delivery app and it arrived looking like someone sat on it. Just another reminder that everything in this city is a scam, including my career path. 🍔💀",False
0,"""a young tech professional in Dhaka who isn't particularly religious""",45.0,3,10,"Just spent an hour scrolling through ""productivity hacks"" while lying on the floor in the dark. @user_525 you're spot on—the 5 AM grind is just a fancy way to be exhausted earlier in the day. 🌑📉",False
0,"""a young tech professional in Dhaka who isn't particularly religious""",45.0,4,10,Just spent thirty minutes trying to decide which streaming show to watch and ended up staring at the menu until I fell asleep. This level of decision fatigue is actually impressive. 📺💤,False
0,"""a young tech professional in Dhaka who isn't particularly religious""",45.0,5,10,"Just spent an hour trying to explain a technical bug to a non-tech manager and I think I actually aged five years. Why do we pretend that ""synergy"" is a real thing? I’m this close to just deleting my Slack account. 📉🙄",False
0,"""a young tech professional in Dhaka who isn't particularly religious""",45.0,6,10,My apartment’s AC is making a noise that sounds like a dying robot and I’m too tired to even call the technician. Just lying here wondering if this is my actual vibe now. ❄️🤖😩,False
0,"""a young tech professional in Dhaka who isn't particularly religious""",45.0,7,10,"Just spent my entire weekend ""recharging"" only to wake up Monday feeling like I'm at 2% battery. The cycle of burnout and mediocre sleep is the only consistent thing in my life. 🔋📉😴",False
0,"""a young tech professional in Dhaka who isn't particularly religious""",45.0,8,10,"Just spent forty minutes trying to find a ""hidden gem"" cafe in Banani only to find out it's just a glorified living room with overpriced coffee and bad Wi-Fi. Everything is just an aesthetic shell these days. ☕️🙄",False
0,"""a young tech professional in Dhaka who isn't particularly religious""",45.0,9,10,"Just spent an hour reading about ""digital nomadism"" while stuck in a 3-hour jam in Dhanmondi. The dream is just working from a beach instead of a cubicle, but the burnout follows you regardless of the timezone. 🏝️🙄📉",False
1,"""A computer scientist specializing in machine learning who assesses the technical aspects of the submitted papers""",53.0,0,11,"Just spent six hours reviewing a paper that claims ""novelty"" but is literally just a wrapper for a pretrained model with two tweaked hyperparameters. My brain is fried and the apathy is hitting hard. Why do I even bother?",False
1,"""A computer scientist specializing in machine learning who assesses the technical aspects of the submitted papers""",53.0,1,11,Staring at these loss curves and they're just flatlining. Kind of a mood. @user_486 I feel you on the lack of purpose—just moving numbers around until the clock runs out.,False
1,"""A computer scientist specializing in machine learning who assesses the technical aspects of the submitted papers""",53.0,2,11,"Just read a ""breakthrough"" paper where the authors forgot to remove the placeholder text in the methodology. It's almost poetic how little effort goes into these now. @user_944 you're right, the physical stuff was more honest.",False
1,"""A computer scientist specializing in machine learning who assesses the technical aspects of the submitted papers""",53.0,3,11,"Just spent an hour staring at a blank LaTeX document. I can't even figure out how to phrase ""this approach is fundamentally flawed"" without sounding like I'm screaming into a void. @user_869 I know that feeling of watching the world move wh",False
1,"""A computer scientist specializing in machine learning who assesses the technical aspects of the submitted papers""",53.0,4,11,"Just saw a paper claiming SOTA results with a dataset that's basically just a mirrored copy of the test set. The audacity is almost inspiring. @user_441 we're not trading motivation, we're just polishing a sinking ship.",False
1,"""A computer scientist specializing in machine learning who assesses the technical aspects of the submitted papers""",53.0,5,11,"Just spent the last hour reading a ""comprehensive"" literature review that missed the most cited paper in the field. I'm honestly just numb to the incompetence at this point. @user_372 I'll take that script that sleeps.",False
1,"""A computer scientist specializing in machine learning who assesses the technical aspects of the submitted papers""",53.0,6,11,"Just saw a paper attempting to ""solve"" alignment using a decision tree from 1998. The delusion is almost refreshing. @user_202 we really are just arguing over hex codes while the ship goes down.",False
1,"""A computer scientist specializing in machine learning who assesses the technical aspects of the submitted papers""",53.0,7,11,"Just spent an hour reading a ""groundbreaking"" abstract that used the word ""synergy"" five times in one paragraph. The linguistic laziness is staggering. I’m just clicking 'reject' and wondering if any of this actually matters.",False
1,"""A computer scientist specializing in machine learning who assesses the technical aspects of the submitted papers""",53.0,8,11,"Just spent my lunch break reading a paper that tries to a-priori justify a 0.2% accuracy gain as a ""paradigm shift."" The sheer desperation for a publication is the only thing actually scaling in this field. @user_914 I get the dead weight f",False
1,"""A computer scientist specializing in machine learning who assesses the technical aspects of the submitted papers""",53.0,9,11,"Just saw a paper claiming ""interpretability"" while using a black-box model with 175B parameters. It’s just a fancy way of saying ""we have no idea why it works but the numbers look good."" The intellectual dishonesty is exhausting.",False
2,"""A high school student who is passionate about history and looks up to academic figures like Stephen Garton""",55.0,0,12,Just spent three hours reading Garton on the Cold War and now I can't even look at my math homework. Why does the past feel so much more real than my actual life right now? Honestly exhausted.,False
2,"""A high school student who is passionate about history and looks up to academic figures like Stephen Garton""",55.0,1,12,Anyone else feel like we're just living through a slow-motion version of the 1930s? I keep trying to find the parallels in my textbooks but it just makes the current vibe feel even more suffocating. Just... bleak.,False
