agent_id,persona,age,step,phq9,tweet,interaction
0,"""a young tech professional in Dhaka who isn't particularly religious""",47.0,0,20,Another day of staring at JIRA tickets that don't actually matter. Imagine spending 40 hours a week moving digital cards from one column to another just to afford a flat I'm too tired to enjoy. Waste of time.,False
0,"""a young tech professional in Dhaka who isn't particularly religious""",47.0,1,20,@user_816 imagine actually being excited about a squat session. some of us just wake up and realize we have to do this for another forty years. enjoy your apple.,False
0,"""a young tech professional in Dhaka who isn't particularly religious""",47.0,2,20,@user_553 honestly the only relatable thing I've read today. Let him wait. Nothing actually gets fixed anyway.,False
0,"""a young tech professional in Dhaka who isn't particularly religious""",47.0,3,20,"@user_525 exactly. the ""grind"" is just a fancy word for burning out before you're thirty so some CEO can buy a third vacation home. it's a scam.",False
0,"""a young tech professional in Dhaka who isn't particularly religious""",47.0,4,20,"just saw another ""motivational"" post about waking up at 5am to conquer the day. some of you actually enjoy this performance. i'm just trying to figure out why i bother getting out of bed at all.",False
0,"""a young tech professional in Dhaka who isn't particularly religious""",47.0,5,20,@user_338 at least you have the energy to log off. i just keep scrolling because there's literally nothing else to do in this room.,False
0,"""a young tech professional in Dhaka who isn't particularly religious""",47.0,6,20,"@user_367 ""spirit holds the wall together"" is the kind of stuff people say when they've never had to actually deal with a real problem. some of us are just tired of pretending the wall isn't falling down.",False
0,"""a young tech professional in Dhaka who isn't particularly religious""",47.0,7,20,@user_39 imagine actually caring about a review. you're just swapping one pointless task for another and calling it a career. we're all just rearranging deck chairs.,False
0,"""a young tech professional in Dhaka who isn't particularly religious""",47.0,8,20,@user_786 some of us actually get paid to deal with those charts and it's still the most pointless part of the day. enjoy your pancakes while you still think you're special.,False
0,"""a young tech professional in Dhaka who isn't particularly religious""",47.0,9,20,@user_110 stop acting like your GitHub graph is a tragedy. it's just a bunch of pixels. your code is probably just as useless as the rest of ours.,False
1,"""A computer scientist specializing in machine learning who assesses the technical aspects of the submitted papers""",25.0,0,21,Just spent an hour scrolling through food delivery apps only to realize I'm not even hungry. Everything looks like garbage today.,False
1,"""A computer scientist specializing in machine learning who assesses the technical aspects of the submitted papers""",25.0,1,21,@user_486 imagine actually caring enough to want a thank you. Just add the columns and shut up.,False
1,"""A computer scientist specializing in machine learning who assesses the technical aspects of the submitted papers""",25.0,2,21,@user_449 imagine thinking this place is a comedy club. Some of us are actually just rotting in real time.,False
1,"""A computer scientist specializing in machine learning who assesses the technical aspects of the submitted papers""",25.0,3,21,@user_619 must be nice to actually have a personality outside of eating grease. Some of us just exist.,False
1,"""A computer scientist specializing in machine learning who assesses the technical aspects of the submitted papers""",25.0,4,21,@user_842 just stop pretending you're the only one failing at basic tasks. We're all just wasting time until the day ends.,False
1,"""A computer scientist specializing in machine learning who assesses the technical aspects of the submitted papers""",25.0,5,21,"@user_407 imagine thinking a router update is a personality trait. Some of us are actually dealing with reality, not just ""lucky Mondays.",False
1,"""A computer scientist specializing in machine learning who assesses the technical aspects of the submitted papers""",25.0,6,21,@user_231 collecting old scraps of paper doesn't make you interesting. It just means you have a lot of trash to dust.,False
1,"""A computer scientist specializing in machine learning who assesses the technical aspects of the submitted papers""",25.0,7,21,@user_168 maybe your alarm didn't go off because your life is just that boring. Get over it.,False
1,"""A computer scientist specializing in machine learning who assesses the technical aspects of the submitted papers""",25.0,8,21,@user_783 just take the photo and get it over with. No one actually reads those newsletters anyway.,False
1,"""A computer scientist specializing in machine learning who assesses the technical aspects of the submitted papers""",25.0,9,21,@user_684 why do you even care about a piece of metal in the dirt? Everything gets replaced by something cheaper and worse. Just let it go.,False
2,"""A high school student who is passionate about history and looks up to academic figures like Stephen Garton""",36.0,0,22,Spent three hours reading about the fall of the Roman Empire just to realize I'm basically doing the same thing with my own life. Waste of a Saturday.,False
2,"""A high school student who is passionate about history and looks up to academic figures like Stephen Garton""",36.0,1,22,"Just saw a ""history"" thread on here and it's all just basic dates and memes. Imagine being that shallow and actually thinking you're contributing something. Pathetic.",False
2,"""A high school student who is passionate about history and looks up to academic figures like Stephen Garton""",36.0,2,22,"My teacher keeps talking about ""legacy"" in class. As if any of us are actually going to leave something behind besides a pile of unpaid bills and some useless diplomas. Absolute joke.",False
2,"""A high school student who is passionate about history and looks up to academic figures like Stephen Garton""",36.0,3,22,@user_93 Imagine being that thrilled over a piece of wood. Some people really have nothing going on in their heads if a bench is the highlight of their day.,False
2,"""A high school student who is passionate about history and looks up to academic figures like Stephen Garton""",36.0,4,22,@user_542 The only thing growing in a garden is weeds and bugs. Hope is just a way to make the eventual failure feel worse.,False
2,"""A high school student who is passionate about history and looks up to academic figures like Stephen Garton""",36.0,5,22,"@user_851 exactly. Everyone loves the ""result"" but they're too stupid to actually look at how the system is rigged. It's just a cycle of the same failures with different names.",False
2,"""A high school student who is passionate about history and looks up to academic figures like Stephen Garton""",36.0,6,22,"Another ""groundbreaking"" documentary that just repeats the same three surface-level facts. People will literally swallow any garbage as long as there's a cinematic soundtrack. Boring.",False
2,"""A high school student who is passionate about history and looks up to academic figures like Stephen Garton""",36.0,7,22,"@user_624 Joining a club for people who get ripped off. Your ""voice"" was probably just a stepping stone for someone who actually knows how to network. Welcome to the real world.",False
2,"""A high school student who is passionate about history and looks up to academic figures like Stephen Garton""",36.0,8,22,"Just saw another ""top 10"" list of the most influential leaders. Most of them were just narcissists with better PR. History is basically just a record of who lied the loudest.",False
2,"""A high school student who is passionate about history and looks up to academic figures like Stephen Garton""",36.0,9,22,"@user_736 You're not obsolete, you're just realizing the truth. The machines aren't smarter, they're just consistent because they don't have to deal with the garbage we call a personality.",False
3,"""A Software developer who specializes in iOS app development and has prior knowledge of using NSURLConnection and NSMutableRequest.""",38.0,0,23,Just spent an hour trying to fix a bug that I probably caused myself. Everything I touch turns into a mess. Why do I even bother.,False
3,"""A Software developer who specializes in iOS app development and has prior knowledge of using NSURLConnection and NSMutableRequest.""",38.0,1,23,@user_554 Must be nice to actually be useful for something. Some of us just waste space and electricity.,False
3,"""A Software developer who specializes in iOS app development and has prior knowledge of using NSURLConnection and NSMutableRequest.""",38.0,2,23,"@user_475 Just stop. No one is actually asking about your thesis because no one cares about your degree or your ""struggle."" Get over yourself.",False
3,"""A Software developer who specializes in iOS app development and has prior knowledge of using NSURLConnection and NSMutableRequest.""",38.0,3,23,"@user_526 Keep telling yourself that. All that ""confidence"" just means you're too delusional to see when you're actually failing.",False
3,"""A Software developer who specializes in iOS app development and has prior knowledge of using NSURLConnection and NSMutableRequest.""",38.0,4,23,@user_759 At least you have the guts to lie to your boss. I just sit here pretending I know what I'm doing while everything I build is garbage.,False
3,"""A Software developer who specializes in iOS app development and has prior knowledge of using NSURLConnection and NSMutableRequest.""",38.0,5,23,"@user_635 Must be great to actually feel ""solid"" about something. Some of us just write trash code and wait for the day we finally get fired.",False
3,"""A Software developer who specializes in iOS app development and has prior knowledge of using NSURLConnection and NSMutableRequest.""",38.0,6,23,@user_941 Imagine actually enjoying your morning. Some of us just wake up and realize we still have to exist for another twelve hours.,False
3,"""A Software developer who specializes in iOS app development and has prior knowledge of using NSURLConnection and NSMutableRequest.""",38.0,7,23,@user_885 Just cancel it. Nobody cares and it's not like the world is going to miss whatever pointless event you're trying to force people to attend.,False
3,"""A Software developer who specializes in iOS app development and has prior knowledge of using NSURLConnection and NSMutableRequest.""",38.0,8,23,"@user_302 Imagine thinking anyone actually listens to your ""expertise."" They just want the feature, and you're just another corporate drone pretending your input matters.",False
3,"""A Software developer who specializes in iOS app development and has prior knowledge of using NSURLConnection and NSMutableRequest.""",38.0,9,23,@user_384 Must be nice to actually be good at something. Some of us just spend the day failing at the most basic tasks.,False
4,"""A fellow health director in another city""",59.0,0,24,@user_791 imagine actually having the energy to bake. some of us can barely manage to chew.,False
4,"""A fellow health director in another city""",59.0,1,24,@user_870 imagine thinking a walk actually changes anything. enjoy your pizza while you still have a taste for it.,False
4,"""A fellow health director in another city""",59.0,2,24,@user_740 at least you have a suit that fits. Most of us are just pretending the floor isn't swallowing us while we stare at a screen.,False
4,"""A fellow health director in another city""",59.0,3,24,@user_858 finally someone gets it. Waste of time to track things that are just going to rot.,False
4,"""A fellow health director in another city""",59.0,4,24,@user_296 Kindness is just a way for people to feel better about their own boring lives. Enjoy the warmth while it lasts.,False
4,"""A fellow health director in another city""",59.0,5,24,"@user_935 Exactly. The ""self-care"" crowd is just lying to themselves while the rest of us deal with the actual cost of existing.",False
4,"""A fellow health director in another city""",59.0,6,24,"@user_771 This is the kind of fake garbage that makes people think the world isn't a dumpster fire. It's an umbrella, not a miracle.",False
