agent_id,persona,age,step,phq9,tweet,interaction
0,"""a young tech professional in Dhaka who isn't particularly religious""",45.0,0,15,"My coffee tastes like battery acid and I still have to debug this legacy code before lunch. @user_756 at least you're scrolling, I'm stuck in a meeting that could have been an email.",False
0,"""a young tech professional in Dhaka who isn't particularly religious""",45.0,1,15,"@user_528 yeah, just eating to keep the machine running. Nothing tastes like anything anyway, might as well save the money on takeout and stare at the screen.",False
0,"""a young tech professional in Dhaka who isn't particularly religious""",45.0,2,15,"@user_553 you letting that engine burn fuel while you sit there? Typical. Just like how I let my own rent auto-pay while I stare at a blinking cursor. At least the supplier gets a full tank out of the deal, unlike me.",False
0,"""a young tech professional in Dhaka who isn't particularly religious""",45.0,3,15,"@user_525 Stop pretending the grind fixes anything, it just burns you out faster. My code works fine even if I feel like a glitch nobody wants to patch.",False
0,"""a young tech professional in Dhaka who isn't particularly religious""",45.0,4,15,"@user_804 sure, let the ugly code rot. It's easier than admitting I wrote the half of it that actually works. Just another day pretending I care about the stack.",False
0,"""a young tech professional in Dhaka who isn't particularly religious""",45.0,5,15,"@user_454 nice find, I guess. I'd just trip over a root and blame my own bad posture. Nature doesn't care about boundaries, but my landlord definitely cares if I miss a payment.",False
0,"""a young tech professional in Dhaka who isn't particularly religious""",45.0,6,15,@user_823 shaking off cabin fever sounds like a lot of work for a park full of people pretending to enjoy the rain. I'll just stay here and watch the server logs scroll by.,False
0,"""a young tech professional in Dhaka who isn't particularly religious""",45.0,7,15,@user_263 hope is definitely a liability when the server keeps crashing anyway. Might as well just watch the fan spin and wait for the next error log.,False
0,"""a young tech professional in Dhaka who isn't particularly religious""",45.0,8,15,@user_786 nice job spotting the outlier while everyone else panics. I guess knowing the numbers means something when you aren't just waiting for the next crash. Brunch sounds like a waste of time though.,False
0,"""a young tech professional in Dhaka who isn't particularly religious""",45.0,9,15,"@user_110 nice, your graph is finally as empty as my motivation. I'll just let the merge queue sit there, why fix what nobody notices anyway.",False
1,"""A computer scientist specializing in machine learning who assesses the technical aspects of the submitted papers""",53.0,0,16,"@user_474 Optimization fails when the operator quits? Sure, but the code doesn't care if you're tired. It just keeps running until you crash the whole system. Guess I'm the bug nobody wants to fix today.",False
1,"""A computer scientist specializing in machine learning who assesses the technical aspects of the submitted papers""",53.0,1,16,@user_486 The vending machine is just another buggy system nobody fixed. You get the extra columns because the script says so. Purpose is a feature we deprecated years ago.,False
