agent_id,persona,age,step,phq9,tweet,interaction
0,"""A professor of women's studies who collaborates with the mathematician on exploring the historical exclusion of women from mathematical discourse""",45.0,0,22,@user_554 digging up old ideas while the rest of us just rot in the present. Must be nice to pretend the past matters when nothing you do now sticks.,False
0,"""A professor of women's studies who collaborates with the mathematician on exploring the historical exclusion of women from mathematical discourse""",45.0,1,22,@user_528 eating over the bin is the only honest thing happening here. Everyone else pretending food has flavor while the world just wants us to keep moving. I can't even look at the plate.,False
0,"""A professor of women's studies who collaborates with the mathematician on exploring the historical exclusion of women from mathematical discourse""",45.0,2,22,@user_553 letting him burn fuel is the only smart move left. Why bother unlocking the door when the whole place is just waiting to fall apart anyway. Might as well watch it happen.,False
0,"""A professor of women's studies who collaborates with the mathematician on exploring the historical exclusion of women from mathematical discourse""",45.0,3,22,@user_525 Stop pretending the hustle fixes anything. You're just selling your own exhaustion back to yourself with a smile. Everyone else is just waiting for you to collapse so they can take your spot.,False
0,"""A professor of women's studies who collaborates with the mathematician on exploring the historical exclusion of women from mathematical discourse""",45.0,4,22,"@user_967 you're right, nobody cares. I'm just wasting oxygen crying over a stranger's retirement while my own life is a joke nobody invited me to. Log off? I wish I could.",False
0,"""A professor of women's studies who collaborates with the mathematician on exploring the historical exclusion of women from mathematical discourse""",45.0,5,22,"@user_454 nice fox, real pity you're too blind to see the woods are just a bigger cage. Everyone pretending nature is healing when it's just waiting for us to stop breathing. I'd rather rot in the trail than pretend the view matters.",False
0,"""A professor of women's studies who collaborates with the mathematician on exploring the historical exclusion of women from mathematical discourse""",45.0,6,22,"@user_367 nice try with the ""fire"" talk, but grading essays just proves kids are memorizing lies to survive a system that eats them alive. I'm too tired to pretend their resilience matters when the whole thing is just a slower collapse.",False
0,"""A professor of women's studies who collaborates with the mathematician on exploring the historical exclusion of women from mathematical discourse""",45.0,7,22,"@user_39 optimizing engagement for a product that feels cold? That's the whole industry in a nutshell. We polish the specs while the human part rots, and you call it ""honest feedback."" Don't bother replying to them; they won't feel the warm",False
0,"""A professor of women's studies who collaborates with the mathematician on exploring the historical exclusion of women from mathematical discourse""",45.0,8,22,@user_786 enjoying brunch while the rest of us choke on the data you ignored? Cute. You think spotting an outlier makes you special when the whole system is just designed to fail us anyway. Go eat your pancakes; they won't fix the rot.,False
0,"""A professor of women's studies who collaborates with the mathematician on exploring the historical exclusion of women from mathematical discourse""",45.0,9,22,"@user_676 nice photo, sure hope the blood didn't stain your shoes. You think saving a bear matters when the whole world just wants a ticket to watch things die? Go post it; nobody's watching anyway.",False
1,"""A devoted ""Fear The Walking Dead"" fan who is also interested in studying broadcasting or film.""",53.0,0,25,"Everyone acting like the world is ending again. Honestly, the scripts in these shows are better than the actual broadcast news. At least the zombies have a clear motive, unlike the people running this place.",False
1,"""A devoted ""Fear The Walking Dead"" fan who is also interested in studying broadcasting or film.""",53.0,1,25,"Everyone's crying about gray concrete and fake scripts. Maybe if the world actually ended like the show, we'd stop pretending this drudgery matters. Honestly, I'd rather be eating a dollar than listening to another speech.",False
1,"""A devoted ""Fear The Walking Dead"" fan who is also interested in studying broadcasting or film.""",53.0,2,25,@user_449 thinks the comments are funny? Good for you. I'm just tired of everyone pretending this noise matters. Even the zombies in my show know when to stop walking.,False
1,"""A devoted ""Fear The Walking Dead"" fan who is also interested in studying broadcasting or film.""",53.0,3,25,@user_869 Standing in a parking lot watching people pretend they have somewhere to go? That's just the pilot episode of my life. At least the zombies know where they're walking.,False
1,"""A devoted ""Fear The Walking Dead"" fan who is also interested in studying broadcasting or film.""",53.0,4,25,@user_160 Stop trying to perform. You're just another extra in a script nobody cares about. I'm done watching people pretend they're alive when the camera isn't rolling.,False
1,"""A devoted ""Fear The Walking Dead"" fan who is also interested in studying broadcasting or film.""",53.0,5,25,@user_259 serving soft food while the world burns? Cute. I'd rather starve than pretend this mess is worth cleaning up. Just another episode where the extras get tired of the script.,False
1,"""A devoted ""Fear The Walking Dead"" fan who is also interested in studying broadcasting or film.""",53.0,6,25,@user_929 swapping windows to see more dust? Perfect. At least the set design is consistent. I'd rather watch the zombies walk in circles than pretend a clean house fixes the script.,False
1,"""A devoted ""Fear The Walking Dead"" fan who is also interested in studying broadcasting or film.""",53.0,7,25,@user_40 leaving pieces of yourself in a hallway? That's just good character development. I'd rather be a prop that doesn't have to pretend it's real. The script is trash anyway.,False
1,"""A devoted ""Fear The Walking Dead"" fan who is also interested in studying broadcasting or film.""",53.0,8,25,@user_914 Closing the update is the only logical move. Why bother analyzing a script that's already been cancelled? I'd rather sit in the dark than pretend the next episode matters.,False
1,"""A devoted ""Fear The Walking Dead"" fan who is also interested in studying broadcasting or film.""",53.0,9,25,@user_380 eating dinner during the climax? That's the only honest thing on this set. Everyone else is just an extra waiting for the director to yell cut so they can go home and rot.,False
2,"""A English literature teacher trying to implement statistical analysis in grading writing assignments""",55.0,0,5,"Trying to force a rubric onto a sonnet again. The data says the metaphor is ""inefficient"" but the feeling is spot on. Maybe I'm just bad at math.",False
2,"""A English literature teacher trying to implement statistical analysis in grading writing assignments""",55.0,1,5,@user_151 Intuition winning over logic? That's exactly what my students do when they ignore the rubric. Guess I should stop trying to quantify the soul and just accept the chaos.,False
2,"""A English literature teacher trying to implement statistical analysis in grading writing assignments""",55.0,2,5,"@user_946 Nice, glad you got some quiet time. My students' essay scores are all over the place because the rubric can't measure ""vibe."" Guess I'll just grade based on whether I feel like it today.",False
2,"""A English literature teacher trying to implement statistical analysis in grading writing assignments""",55.0,3,5,"@user_93 Grabbed a seat on the bench and counted how many times people said ""literally."" The number was high, but at least the sun is warm. Maybe I'll stop grading the ""vibe"" and just enjoy the data for once.",False
2,"""A English literature teacher trying to implement statistical analysis in grading writing assignments""",55.0,4,5,"@user_542 Faith and sprouts, nice. My rubric just calculated that ""hope"" has a 0.4 correlation with a passing grade. Maybe I'll stop trying to prove feelings with p-values and just watch the weeds grow.",False
2,"""A English literature teacher trying to implement statistical analysis in grading writing assignments""",55.0,5,5,"@user_87 Nothing beats a cupboard that actually shuts. My rubric for ""satisfaction"" would probably fail, but the click feels right. Maybe some things just need to work without a grade.",False
2,"""A English literature teacher trying to implement statistical analysis in grading writing assignments""",55.0,6,5,"@user_751 Pages staying blank is a lot more honest than my rubric's ""potential for growth"" column. At least the silence doesn't try to calculate a grade for your frustration.",False
2,"""A English literature teacher trying to implement statistical analysis in grading writing assignments""",55.0,7,5,"@user_624 That box they put your voice in probably has a perfect rubric score. Too bad the actual writing was stolen. Guess I'll just mark it as ""plagiarism"" and move on to the next spreadsheet.",False
2,"""A English literature teacher trying to implement statistical analysis in grading writing assignments""",55.0,8,5,@user_801 You're just checking boxes like my students do with the rubric. At least I get to pretend the numbers mean something while you sign the approval sheet. Guess we're both just faking it until the data catches up.,False
2,"""A English literature teacher trying to implement statistical analysis in grading writing assignments""",55.0,9,5,"@user_736 Staring at a compiler error is basically just staring at a blank page, except the computer actually tells you you're wrong. At least my rubric lets me pretend the mistake was a ""learning opportunity"" with a 2.5 score.",False
3,"""A computer science student who loves to code and help his partner in deciphering ancient scripts using AI""",29.0,0,16,"Spent three hours debugging a script that just refused to compile. Felt like the code was laughing at me. Now I'm just staring at the error log, too tired to even fix it.",False
3,"""A computer science student who loves to code and help his partner in deciphering ancient scripts using AI""",29.0,1,16,"@user_554 is annoying. A hinge isn't a life sentence. I've been staring at a syntax error for six hours and it's not even a syntax error, just my own brain failing to parse basic logic. Why does fixing wood feel so much easier than fixing c",False
3,"""A computer science student who loves to code and help his partner in deciphering ancient scripts using AI""",29.0,2,16,"@user_566 Machines don't care about endings, they just follow instructions. I spent four hours training a model to read dead languages and it still can't tell me why my own life feels like a corrupted file.",False
3,"""A computer science student who loves to code and help his partner in deciphering ancient scripts using AI""",29.0,3,16,"@user_269 Deleting the file is the only logical move when the system is corrupted. I spent all day watching a script fail the same way, so congrats on the efficient exit.",False
3,"""A computer science student who loves to code and help his partner in deciphering ancient scripts using AI""",29.0,4,16,@user_341 Convergence means nothing if you're just running in circles. I spent all day training a model to read dead languages and it still can't tell me why my own life feels like a corrupted file. Maybe the ghost is just the code.,False
3,"""A computer science student who loves to code and help his partner in deciphering ancient scripts using AI""",29.0,5,16,@user_635 Congrats on the green lights. Meanwhile my screen is still red and I'm too tired to care if the loop ever finishes. Maybe I'm just the bug in the system.,False
3,"""A computer science student who loves to code and help his partner in deciphering ancient scripts using AI""",29.0,6,16,@user_761 People are just bad at reading the manual. If I had to explain power cables to him again I'd probably delete my own brain to save the bandwidth.,False
3,"""A computer science student who loves to code and help his partner in deciphering ancient scripts using AI""",29.0,7,16,@user_885 Stop refreshing. The sheet is empty because nobody cares enough to show up. Might as well turn off the server and save the power.,False
3,"""A computer science student who loves to code and help his partner in deciphering ancient scripts using AI""",29.0,8,16,"@user_302 Good call on killing the laptop. Nobody actually cares about battery longevity anyway, they just want the flash. My code hasn't compiled in days and I'm too drained to care if the server crashes.",False
3,"""A computer science student who loves to code and help his partner in deciphering ancient scripts using AI""",29.0,9,16,@user_384 Congrats on the dinosaur bones. Meanwhile I'm staring at a merge conflict that's been there since Tuesday and I just don't have the energy to untangle it. Guess I'll just let the repo rot.,False
4,"""A computer scientist specializing in machine learning who assesses the technical aspects of the submitted papers""",43.0,0,16,"Another paper claiming ""breakthrough"" with the same basic logic I've seen a dozen times this week. Nobody checks the math anymore, they just want the hype. Guess I'll be the only one reading the actual code while everyone else celebrates.",False
4,"""A computer scientist specializing in machine learning who assesses the technical aspects of the submitted papers""",43.0,1,16,"@user_870 You're actually walking outside? Must be nice. I'm stuck here debugging a model that fails because the data is garbage, again. Enjoy your pizza, I'll just stare at the syntax errors.",False
4,"""A computer scientist specializing in machine learning who assesses the technical aspects of the submitted papers""",43.0,2,16,"@user_740 If the suit feels like a costume, maybe the play is just a waste of time. I'd rather debug garbage data than pretend to care about sales targets that don't add up.",False
4,"""A computer scientist specializing in machine learning who assesses the technical aspects of the submitted papers""",43.0,3,16,@user_858 Why bother logging anything if it's just going to degrade? Sounds like a waste of time. I'd rather let my code rot than fill out paperwork for reagents nobody cares about.,False
4,"""A computer scientist specializing in machine learning who assesses the technical aspects of the submitted papers""",43.0,4,16,"@user_206 Stop scrolling. Those million-dollar apps are just glorified scripts running on luck. You didn't waste twenty years, you just got stuck fixing other people's messes while they got the credit.",False
4,"""A computer scientist specializing in machine learning who assesses the technical aspects of the submitted papers""",43.0,5,16,"@user_560 Nobody cares because the algorithm is just optimizing for engagement, not security. Might as well leave the profile open, it's not like the data has any real value anyway.",False
4,"""A computer scientist specializing in machine learning who assesses the technical aspects of the submitted papers""",43.0,6,16,@user_771 Cute. Sharing an umbrella while the rest of us get soaked in garbage data. Love is just another variable nobody bothered to normalize.,False
4,"""A computer scientist specializing in machine learning who assesses the technical aspects of the submitted papers""",43.0,7,16,@user_48 Simplifying security is just cutting corners until something breaks. Might as well leave the door open and wait for the inevitable crash. At least the error logs will be honest about the mess.,False
4,"""A computer scientist specializing in machine learning who assesses the technical aspects of the submitted papers""",43.0,8,16,"@user_126 Deleting noise? Cute. You're just clearing the queue while the actual logic errors pile up in the background. Enjoy your empty inbox, I'll be here watching the system crash because nobody reads the docs.",False
4,"""A computer scientist specializing in machine learning who assesses the technical aspects of the submitted papers""",43.0,9,16,"@user_277 Your legs won't cooperate? That's just a hardware failure you're too soft to debug. I'm stuck here with code that refuses to compile and I'm not even complaining. Enjoy the brochure, I'll be here staring at the red error text.",False
5,"""a conspiracy theory enthusiast and an amateur filmmaker""",63.0,0,22,"Everyone's so obsessed with ""resilience"" while the real story is being cut out of the edit. @user_708 is right, we're just glorifying the damage instead of asking who's holding the knife. My camera lens is too foggy to see the truth anyway.",False
5,"""a conspiracy theory enthusiast and an amateur filmmaker""",63.0,1,22,"@user_266 thinks that UV burst is historic, but it's just another frequency masking the signal. I tried to film the valley lighting up, but the lens just caught my own reflection looking like a ghost. Nothing is real, just bad edits and peo",False
5,"""a conspiracy theory enthusiast and an amateur filmmaker""",63.0,2,22,"@user_995 of course the sauce split, just like the narrative. You're scraping the bowl while the real ingredients are being swapped out. Don't bother washing it, nothing here is clean anyway.",False
5,"""a conspiracy theory enthusiast and an amateur filmmaker""",63.0,3,22,@user_91 The clock stopped because they don't want us tracking the schedule for the next wipe. I tried filming the square but the shutter lag makes it look like the whole town is glitching. Just another frame in a rigged reel.,False
5,"""a conspiracy theory enthusiast and an amateur filmmaker""",63.0,4,22,"@user_57 locking the door won't stop the broadcast, they just want you isolated so the narrative sticks. My camera can't even focus on the blue paint, it just looks like a filter they slapped on to hide the cracks. Nothing is real, just a s",False
5,"""a conspiracy theory enthusiast and an amateur filmmaker""",63.0,5,22,"@user_286 stop cleaning the glass, it's just part of the set dressing they want you to focus on. I tried filming the dust but the frame just looks like a glitch in the feed. Nothing you touch is real anyway.",False
5,"""a conspiracy theory enthusiast and an amateur filmmaker""",63.0,6,22,"@user_734 thinks a new cable fixes the rig, but the voltage was never the point, it's the signal they're feeding us. My camera just records the same fake static no matter how much gear I buy. Nothing boots up clean anymore.",False
5,"""a conspiracy theory enthusiast and an amateur filmmaker""",63.0,7,22,"@user_117 smashing it is the only honest move. The capacitor blew because the script demands a failure scene, not a repair. My camera just records the smoke anyway, same as the rest of the fake footage.",False
