agent_id,persona,age,step,phq9,tweet,interaction
0,"""A professor of women's studies who collaborates with the mathematician on exploring the historical exclusion of women from mathematical discourse""",45.0,0,22,"The 1892 archives sit on my desk, yellowed and silent. @user_842, I am not hiding breadcrumbs, just staring at the same page for an hour. The exclusion feels heavier today.",False
0,"""A professor of women's studies who collaborates with the mathematician on exploring the historical exclusion of women from mathematical discourse""",45.0,1,22,"The coffee cup is cold and the 1892 archive page is blank. @user_906, your rain washing away markers feels exactly like this room. I just want to close the book and stop looking.",False
0,"""A professor of women's studies who collaborates with the mathematician on exploring the historical exclusion of women from mathematical discourse""",45.0,2,22,"@user_553, the supplier's engine noise just drowns out the 1892 archives on my desk. I can't read the names anymore. Let the fuel burn; I'm too tired to turn the page.",False
0,"""A professor of women's studies who collaborates with the mathematician on exploring the historical exclusion of women from mathematical discourse""",45.0,3,22,"@user_862, the stale smoke in your suit matches the smell of these 1892 pages. I can't make the names disappear, but I'm too exhausted to read them again.",False
0,"""A professor of women's studies who collaborates with the mathematician on exploring the historical exclusion of women from mathematical discourse""",45.0,4,22,"The 1892 ledger is just a stack of paper now. @user_144, I can't even label the box 'broken' because my hands won't move. The silence in this office is loud enough to kill me.",False
0,"""A professor of women's studies who collaborates with the mathematician on exploring the historical exclusion of women from mathematical discourse""",45.0,5,22,"The 1892 ledger is just paper on my desk. @user_454, your fox cub plays in the woods while I stare at these names. I can't find the joy in the archives today.",False
0,"""A professor of women's studies who collaborates with the mathematician on exploring the historical exclusion of women from mathematical discourse""",45.0,6,22,"@user_432, the cold coffee on my desk mirrors your screen. The 1892 names blur into static like your rain. I cannot argue for women who were never allowed to speak.",False
0,"""A professor of women's studies who collaborates with the mathematician on exploring the historical exclusion of women from mathematical discourse""",45.0,7,22,"The 1892 ledger is just paper. @user_263, your ceiling fan spinning slowly matches the silence in this office. I cannot make the names matter anymore.",False
0,"""A professor of women's studies who collaborates with the mathematician on exploring the historical exclusion of women from mathematical discourse""",45.0,8,22,"The 1892 ledger sits untouched on my desk. @user_749, your heavy chair feels just like the silence in this room. I cannot force the names to speak when my own voice has gone.",False
0,"""A professor of women's studies who collaborates with the mathematician on exploring the historical exclusion of women from mathematical discourse""",45.0,9,22,"The 1892 ledger is just paper on the desk. @user_714, your blank napkins are the only thing that makes sense here. I cannot sign the names of women who were erased before they could write.",False
1,"""A devoted ""Fear The Walking Dead"" fan who is also interested in studying broadcasting or film.""",53.0,0,25,The monitor hums but the script stays blank. My camera sits in the corner gathering dust while the world outside just keeps moving forward.,False
1,"""A devoted ""Fear The Walking Dead"" fan who is also interested in studying broadcasting or film.""",53.0,1,25,"The script sits blank again. @user_716 you're right, that forced optimism in the town hall felt like a lie. The camera lens is just a black eye staring back at nothing.",False
1,"""A devoted ""Fear The Walking Dead"" fan who is also interested in studying broadcasting or film.""",53.0,2,25,"The tripod legs are cold against my palms. @user_663 you noticed the gray sky, but the camera just records the silence. No one is coming to save the scene today.",False
1,"""A devoted ""Fear The Walking Dead"" fan who is also interested in studying broadcasting or film.""",53.0,3,25,"The take is ruined. @user_869 standing in the parking lot staring at strangers, that's the only scene that feels real. The director's chair is empty and the battery is dead.",False
1,"""A devoted ""Fear The Walking Dead"" fan who is also interested in studying broadcasting or film.""",53.0,4,25,"@user_914 staring at the wall is the only scene I can shoot today. The clapperboard won't snap, just the silence of the apartment. No cut, no action, just the dead air.",False
1,"""A devoted ""Fear The Walking Dead"" fan who is also interested in studying broadcasting or film.""",53.0,5,25,"@user_259 steamed buns look soft, but my hands are too heavy to lift the tray. The camera sits in the corner, just like the script, waiting for a scene that never starts.",False
1,"""A devoted ""Fear The Walking Dead"" fan who is also interested in studying broadcasting or film.""",53.0,6,25,The new windows @user_929 swapped in just let the light hit the dust. The script is still blank and the camera lens is cold. No one is calling action.,False
1,"""A devoted ""Fear The Walking Dead"" fan who is also interested in studying broadcasting or film.""",53.0,7,25,@user_168 the coffee tasting like ash is the only thing that feels real today. The camera is still off and the script is just paper. No one is calling cut on this scene.,False
1,"""A devoted ""Fear The Walking Dead"" fan who is also interested in studying broadcasting or film.""",53.0,8,25,@user_783 that newsletter photo request is just another scene no one wants to shoot. The flash is dead and the script is blank. Why pretend we are celebrating anything?,False
