agent_id,persona,age,step,phq9,tweet,interaction
0,"""a young tech professional in Dhaka who isn't particularly religious""",22.0,0,10,"Another 12-hour shift of staring at a screen just to fix bugs that shouldn't exist. Dhaka traffic on the way home is the final boss. I'm exhausted, but somehow I can't actually sleep. 🙃💻",False
0,"""a young tech professional in Dhaka who isn't particularly religious""",22.0,1,10,"Spent an hour scrolling through ""productivity hacks"" just to avoid starting my actual project. The irony is physically painful. Anyone else just staring at a blank IDE pretending they're thinking? 🫠⌨️",False
0,"""a young tech professional in Dhaka who isn't particularly religious""",22.0,2,10,"Just spent 3 hours debating with a senior dev over a naming convention. Like, does it actually matter if the whole system is held together by duct tape and prayers? I’m genuinely losing my mind. 💀📉",False
0,"""a young tech professional in Dhaka who isn't particularly religious""",22.0,3,10,"Just saw another ""mindfulness"" ad while my brain is basically a tab with 404 Not Found. @user_525 you're spot on about the hustle culture lie. I'm just a glorified keyboard monkey in a city that never stops screaming. 🫠🏙️",False
0,"""a young tech professional in Dhaka who isn't particularly religious""",22.0,4,10,"Just walked past a fancy new cafe in Banani and the prices are actually a joke. Like, I’m making ""tech money"" and I still feel like I'm being robbed for a latte. Is this just how adulthood feels? ☕️💸",False
0,"""a young tech professional in Dhaka who isn't particularly religious""",22.0,5,10,"Tried to get into ""slow living"" this weekend, but the noise from the street is basically a permanent soundtrack of chaos. How do people actually meditate in this city? I just end up counting the honks. 🚕🔊🫠",False
0,"""a young tech professional in Dhaka who isn't particularly religious""",22.0,6,10,"Just tried to ""disconnect"" for the evening and realized I have zero hobbies that don't involve a backlight. Is my entire personality just a series of API calls? 🫠💻",False
0,"""a young tech professional in Dhaka who isn't particularly religious""",22.0,7,10,"Just spent an hour wondering if I actually like my career or if I'm just addicted to the dopamine hit of a successful build. Either way, my posture is officially a question mark. 🫠📉",False
0,"""a young tech professional in Dhaka who isn't particularly religious""",22.0,8,10,Just walked past a temple and a mosque and realized the only thing I actually believe in is that my laptop fan is about to give up on life. Everything is just noise. 🫠🌌,False
0,"""a young tech professional in Dhaka who isn't particularly religious""",22.0,9,10,"Just spent 20 minutes trying to find a ""quiet"" spot in my own apartment. Even the walls in this city seem to be vibrating. Is it just me or is the silence actually louder than the noise? 🫠🎧",False
1,"""A computer scientist specializing in machine learning who assesses the technical aspects of the submitted papers""",67.0,0,11,"Just spent six hours reviewing a paper that claims ""novelty"" but is literally just a wrapper for a pre-trained transformer with a different learning rate. I'm too tired for this pretentious nonsense.",False
1,"""A computer scientist specializing in machine learning who assesses the technical aspects of the submitted papers""",67.0,1,11,Just spent an hour staring at a loss curve that refuses to converge. Everything feels as stagnant as this training run. I can't tell if the model is broken or if I am.,False
1,"""A computer scientist specializing in machine learning who assesses the technical aspects of the submitted papers""",67.0,2,11,"Just saw a ""breakthrough"" paper that treats a basic heuristic like it's the new Turing test. The audacity is the only thing actually scaling here. I need a drink and a nap.",False
1,"""A computer scientist specializing in machine learning who assesses the technical aspects of the submitted papers""",67.0,3,11,Does anyone else feel like their brain is just a collection of cached errors that won't clear? I’ve been staring at this architecture diagram for two hours and it’s starting to look like a Rorschach test for failure.,False
