agent_id,persona,age,step,phq9,tweet,interaction
0,"""a young tech professional in Dhaka who isn't particularly religious""",20.0,0,5,"Finally got my mechanical keyboard modded and the sound is just... crisp. ⌨️✨ My productivity might not actually increase, but at least the clicking feels satisfying. Anyone else in Dhaka know a good spot for custom keycaps?",False
0,"""a young tech professional in Dhaka who isn't particularly religious""",20.0,1,5,Just spent two hours debugging a script only to realize it was a typo in a config file. Classic. 🤡 Coffee is the only thing keeping me sane right now.,False
0,"""a young tech professional in Dhaka who isn't particularly religious""",20.0,2,5,"Is it just me or is the traffic in Dhanmondi getting actually apocalyptic? 🚗💨 Spent an hour moving ten meters. At this rate, I’m just going to live in my car.",False
0,"""a young tech professional in Dhaka who isn't particularly religious""",20.0,3,5,Thinking of finally building my own PC from scratch. 🖥️ Tired of these pre-builts limiting my upgrades. Should I go all-in on a custom loop or is that just asking for a leak-induced heart attack? Help me decide!,False
0,"""a young tech professional in Dhaka who isn't particularly religious""",20.0,4,5,Does anyone else feel like the air quality in Dhaka is basically soup lately? 😷 I can’t tell if it’s smog or if my eyes are just glitching. Might be time to invest in a high-end air purifier before I start growing gills.,False
0,"""a young tech professional in Dhaka who isn't particularly religious""",20.0,5,5,"Does anyone actually enjoy the ""cultural"" vibe of these overpriced cafes in Banani, or are we all just paying 500 taka for a mediocre latte and some aesthetic lighting? ☕️🙄 My wallet is screaming.",False
0,"""a young tech professional in Dhaka who isn't particularly religious""",20.0,6,5,"Just tried that new ""smart home"" hub and it's basically just a glorified paperweight that refuses to connect to my WiFi. 🙄 Why do we keep buying into the hype? Someone please tell me there's a way to flash a custom ROM on this thing.",False
0,"""a young tech professional in Dhaka who isn't particularly religious""",20.0,7,5,"Does anyone actually use LinkedIn for ""networking"" or is it just a competition to see who can write the most cringe-worthy post about a ""humbling experience"" at work? 🙄 The corporate jargon is physically painful.",False
0,"""a young tech professional in Dhaka who isn't particularly religious""",20.0,8,5,"Seriously considering switching to a fully remote job. I love my work, but I can't do the ""Dhaka commute"" ritual anymore. Is the isolation worth the lack of traffic rage? 💻🏠",False
0,"""a young tech professional in Dhaka who isn't particularly religious""",20.0,9,5,"Just discovered a weirdly cozy little hole-in-the-wall bookstore in Old Dhaka. 📚 Totally unplanned detour, but honestly, the chaos outside makes the quiet inside feel like a glitch in the matrix. Anyone have any hidden gem recs?",False
